task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;node8;74/a3d9e5;nf-74a3d9e5c8f291c046fc30713b5af6a9;NFCORE_AMPLISEQ:AMPLISEQ:FORMAT_TAXONOMY;-;NFCORE_AMPLISEQ:AMPLISEQ:FORMAT_TAXONOMY;COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669581642037;1669581648000;1669581648000;5963;127;-;95.0;0.0;3018752;4071424;3018752;4079616;11435274;13344988;2010;1382;0;5734400;2;3;/data/work/74/a3d9e5c8f291c046fc30713b5af6a9;-;-
5;node10;34/c4725a;nf-34c4725aa680f2432f88fe2d7d95b0a5;NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_PREPTAX:FORMAT_TAXONOMY_QIIME;-;NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_PREPTAX:FORMAT_TAXONOMY_QIIME;COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669581642168;1669581649000;1669581650000;7832;34;-;47.8;0.0;2961408;4071424;2961408;4079616;91975;1077;235;19;0;4096;2;2;/data/work/34/c4725aa680f2432f88fe2d7d95b0a5;-;-
3;node10;c4/d69d42;nf-c4d69d42a14eac3d0705e08bc07cbeb6;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_1a;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_1a);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669581642240;1669581651000;1669581651000;8760;24;-;57.1;0.0;2961408;4071424;2961408;4079616;106784;906;284;17;0;8192;2;0;/data/work/c4/d69d42a14eac3d0705e08bc07cbeb6;-;-
7;cpu05;fb/848b88;nf-fb848b88299276bb891e734fd97d9101;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_2a;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_2a);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669581642276;1669581648000;1669581648000;5724;29;-;54.2;0.0;3076096;4071424;3076096;4079616;106785;906;284;17;0;8192;2;1;/data/work/fb/848b88299276bb891e734fd97d9101;-;-
9;node8;7a/dd91ae;nf-7add91aee6bfc24dcca54f837963bd73;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_1b;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_1b);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669581642361;1669581650000;1669581651000;8639;30;-;76.8;0.0;2973696;4071424;2973696;4079616;106552;897;284;17;0;8192;2;0;/data/work/7a/dd91aee6bfc24dcca54f837963bd73;-;-
12;cpu05;ae/a3f340;nf-aea3f34057ba424729e4a9cadb703386;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_2c;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_2c);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669581642468;1669581649000;1669581649000;6532;31;-;76.8;0.0;2965504;4071424;2965504;4079616;106783;906;284;17;0;8192;2;0;/data/work/ae/a3f34057ba424729e4a9cadb703386;-;-
14;cpu05;e6/f44535;nf-e6f44535f6374c981268dfc913009811;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_1e;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_1e);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669581642536;1669581651000;1669581651000;8464;26;-;58.2;0.0;3026944;4071424;3026944;4079616;106783;906;284;17;0;8192;2;1;/data/work/e6/f44535f6374c981268dfc913009811;-;-
4;node10;87/19b004;nf-8719b0046ac66c9946f0182b326973a0;NFCORE_AMPLISEQ:AMPLISEQ:METADATA_PAIRWISE;Metadata.tsv;NFCORE_AMPLISEQ:AMPLISEQ:METADATA_PAIRWISE (Metadata.tsv);COMPLETED;0;-;quay.io/biocontainers/bioconductor-dada2:1.22.0--r41h399db7b_0;2;21600000;-;12884901888;1;1669581642084;1669581652000;1669581653000;10916;1000;-;160.7;0.0;3391488;5636096;3391488;5640192;6129094;1171;642;29;0;8192;2;2;/data/work/87/19b0046ac66c9946f0182b326973a0;-;-
6;node8;1d/dccaf0;nf-1ddccaf0008cac459abf2e8a72a5f68c;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_1;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_1);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669581642125;1669581652000;1669581653000;10875;423;-;7.0;0.0;2932736;4071424;2932736;4079616;106542;896;284;17;0;8192;2;0;/data/work/1d/dccaf0008cac459abf2e8a72a5f68c;-;-
11;node10;df/8f2959;nf-df8f2959b8bc8b7ea7ae7b4db78a010d;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_2b;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_2b);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669581642433;1669581654000;1669581655000;12567;29;-;52.9;0.0;3059712;4071424;3059712;4079616;106784;906;284;17;0;8192;2;0;/data/work/df/8f2959b8bc8b7ea7ae7b4db78a010d;-;-
13;cpu14;81/92f004;nf-8192f004e8130e8cc5126277ce89a0f7;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_1d;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_1d);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669581642503;1669581654000;1669581655000;12497;25;-;59.3;0.0;3166208;4071424;3166208;4079616;106801;906;284;17;0;8192;4;5;/data/work/81/92f004e8130e8cc5126277ce89a0f7;-;-
2;node8;71/413df9;nf-71413df968d6652a4f17a20f1f4c8aee;NFCORE_AMPLISEQ:AMPLISEQ:METADATA_ALL;Metadata.tsv;NFCORE_AMPLISEQ:AMPLISEQ:METADATA_ALL (Metadata.tsv);COMPLETED;0;-;quay.io/biocontainers/bioconductor-dada2:1.22.0--r41h399db7b_0;2;21600000;-;12884901888;1;1669581642203;1669581655000;1669581656000;13797;0;-;109.6;0.0;3268608;5636096;3268608;5640192;6128335;1137;641;29;0;8192;2;2;/data/work/71/413df968d6652a4f17a20f1f4c8aee;-;-
8;cpu14;35/7857dd;nf-357857dd29d48c0d2cdbd96becb28d3e;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_2;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_2);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669581642322;1669581656000;1669581656000;13678;301;-;9.7;0.0;3010560;4071424;3010560;4079616;106791;905;284;17;0;8192;2;2;/data/work/35/7857dd29d48c0d2cdbd96becb28d3e;-;-
10;cpu14;a5/43b46a;nf-a543b46ac14ff1385db27b7459cc4573;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_1c;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_1c);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669581642399;1669581656000;1669581656000;13601;223;-;8.5;0.0;3051520;4071424;3051520;4079616;106798;905;284;17;0;8192;2;3;/data/work/a5/43b46ac14ff1385db27b7459cc4573;-;-
18;node10;76/4dd8ad;nf-764dd8ad979eaeacda3d8f534e2f89cd;NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC;sampleID_1a;NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (sampleID_1a);COMPLETED;0;-;quay.io/biocontainers/cutadapt:3.4--py39h38f01e4_1;6;21600000;-;45097156608;1;1669581655353;1669581660000;1669581661000;5647;1000;-;45.1;0.0;5623808;11264000;5623808;11268096;11466420;7805761;832;83;0;589824;8;1;/data/work/76/4dd8ad979eaeacda3d8f534e2f89cd;-;-
19;cpu14;9a/36d1e3;nf-9a36d1e3f66d3f84917459dda6359160;NFCORE_AMPLISEQ:AMPLISEQ:FASTQC;sampleID_2a;NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (sampleID_2a);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;45097156608;1;1669581655403;1669581660000;1669581663000;7597;2000;-;248.2;0.2;271343616;4640055296;273870848;4668321792;23186518;5748120;16646;14350;0;6111232;11;3;/data/work/9a/36d1e3f66d3f84917459dda6359160;-;-
15;cpu05;95/0b08f4;nf-950b08f430d174445f3104ca072960bd;NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_TAXONOMY;assignTaxonomy;NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_TAXONOMY (assignTaxonomy);COMPLETED;0;-;quay.io/biocontainers/cutadapt:3.4--py39h38f01e4_1;6;21600000;-;45097156608;1;1669581655050;1669581666000;1669581667000;11950;0;-;31.6;0.0;3272704;5632000;3272704;5636096;6406385;1100766;801;65;0;36864;2;0;/data/work/95/0b08f430d174445f3104ca072960bd;-;-
20;cpu05;72/569ac9;nf-72569ac97e4d632b7ac9f7db42214785;NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC;sampleID_2a;NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (sampleID_2a);COMPLETED;0;-;quay.io/biocontainers/cutadapt:3.4--py39h38f01e4_1;6;21600000;-;45097156608;1;1669581655431;1669581665000;1669581666000;10569;1000;-;110.7;0.0;3264512;5632000;3264512;5636096;11501385;7853018;831;83;0;589824;2;3;/data/work/72/569ac97e4d632b7ac9f7db42214785;-;-
22;node10;28/5c7ae8;nf-285c7ae82a90da02ba33c25bc93ff6d0;NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC;sampleID_1b;NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (sampleID_1b);COMPLETED;0;-;quay.io/biocontainers/cutadapt:3.4--py39h38f01e4_1;6;21600000;-;45097156608;1;1669581655528;1669581663000;1669581663000;7472;0;-;120.2;0.0;3149824;5632000;3149824;5636096;11465589;7805762;831;83;0;589824;2;2;/data/work/28/5c7ae82a90da02ba33c25bc93ff6d0;-;-
24;cpu14;dc/e6e40b;nf-dce6e40b563263746acab4c4a4dbd2ef;NFCORE_AMPLISEQ:AMPLISEQ:FASTQC;sampleID_2c;NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (sampleID_2c);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;45097156608;1;1669581655612;1669581663000;1669581667000;11388;3000;-;286.9;0.2;280231936;4640055296;281575424;4669079552;23280495;5859851;16668;14606;0;6279168;7;6;/data/work/dc/e6e40b563263746acab4c4a4dbd2ef;-;-
17;node8;d4/554a9f;nf-d4554a9ffe8974d83dfb09b1073ab827;NFCORE_AMPLISEQ:AMPLISEQ:FASTQC;sampleID_1a;NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (sampleID_1a);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;45097156608;1;1669581655324;1669581665000;1669581669000;13676;3000;-;258.4;0.2;297103360;4640055296;301780992;4669083648;23194239;5719549;16631;14357;0;6189056;8;4;/data/work/d4/554a9ffe8974d83dfb09b1073ab827;-;-
21;node8;2d/b26552;nf-2db265520a882c826c80272bd06aa8ce;NFCORE_AMPLISEQ:AMPLISEQ:FASTQC;sampleID_1b;NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (sampleID_1b);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;45097156608;1;1669581655500;1669581667000;1669581671000;15500;3000;-;275.0;0.2;295534592;4640055296;300449792;4666920960;23195306;5719550;16701;14315;0;6115328;4;5;/data/work/2d/b265520a882c826c80272bd06aa8ce;-;-
23;node10;07/bdffa9;nf-07bdffa963c0d01dd0843d4f4503333f;NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC;sampleID_2c;NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (sampleID_2c);COMPLETED;0;-;quay.io/biocontainers/cutadapt:3.4--py39h38f01e4_1;6;21600000;-;45097156608;1;1669581655638;1669581670000;1669581670000;14362;0;-;155.1;0.0;12640256;22310912;12640256;22315008;11762261;8137850;829;83;0;671744;5;5;/data/work/07/bdffa963c0d01dd0843d4f4503333f;-;-
34;node10;4e/f3264f;nf-4ef3264f0bc4b2b6eba0374f964bc2f1;NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC;sampleID_2;NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (sampleID_2);COMPLETED;0;-;quay.io/biocontainers/cutadapt:3.4--py39h38f01e4_1;6;21600000;-;45097156608;1;1669581666141;1669581672000;1669581672000;5859;0;-;151.8;0.0;3219456;5632000;3219456;5636096;11763089;8137846;829;83;0;671744;4;1;/data/work/4e/f3264f0bc4b2b6eba0374f964bc2f1;-;-
