task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
5;cpu05;5c/db85f4;nf-5cdb85f439c13fb82e277ec3b5b723d6;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_1a;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_1a);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669647511929;1669647521000;1669647522000;10071;299;-;9.7;0.0;3133440;4071424;3133440;4079616;106785;905;284;17;0;8192;2;0;/data/work/5c/db85f439c13fb82e277ec3b5b723d6;-;-
10;cpu05;7d/1719d4;nf-7d1719d48bd6fe78ff01c9267e8aa8bf;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_1c;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_1c);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669647512074;1669647518000;1669647519000;6926;29;-;52.9;0.0;3125248;4071424;3125248;4079616;106783;906;284;17;0;8192;2;2;/data/work/7d/1719d48bd6fe78ff01c9267e8aa8bf;-;-
12;cpu05;3d/75c451;nf-3d75c4511564bb963e8d33ac3d6d75fe;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_2c;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_2c);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669647512138;1669647517000;1669647519000;6862;33;-;72.2;0.0;2985984;4071424;2985984;4079616;106783;906;284;17;0;8192;2;0;/data/work/3d/75c4511564bb963e8d33ac3d6d75fe;-;-
1;node10;df/a33b19;nf-dfa33b194ab6906ca6bd4195aaf7aaf1;NFCORE_AMPLISEQ:AMPLISEQ:METADATA_PAIRWISE;Metadata.tsv;NFCORE_AMPLISEQ:AMPLISEQ:METADATA_PAIRWISE (Metadata.tsv);COMPLETED;0;-;quay.io/biocontainers/bioconductor-dada2:1.22.0--r41h399db7b_0;2;21600000;-;12884901888;1;1669647511731;1669647524000;1669647525000;13269;0;-;153.0;0.0;3276800;5636096;3276800;5640192;6129177;1171;642;29;0;8192;3;4;/data/work/df/a33b194ab6906ca6bd4195aaf7aaf1;-;-
6;cpu14;dc/714355;nf-dc714355b56e4cfc23e092f1ec304da7;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_1;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_1);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669647511774;1669647524000;1669647524000;12226;352;-;5.5;0.0;3039232;4071424;3039232;4079616;106792;905;284;17;0;8192;2;1;/data/work/dc/714355b56e4cfc23e092f1ec304da7;-;-
2;node8;54/5fcc9d;nf-545fcc9d2784117f81184eba63157112;NFCORE_AMPLISEQ:AMPLISEQ:METADATA_ALL;Metadata.tsv;NFCORE_AMPLISEQ:AMPLISEQ:METADATA_ALL (Metadata.tsv);COMPLETED;0;-;quay.io/biocontainers/bioconductor-dada2:1.22.0--r41h399db7b_0;2;21600000;-;12884901888;1;1669647511815;1669647523000;1669647524000;12185;0;-;166.0;0.0;3317760;5636096;3317760;5640192;6128679;1137;641;29;0;8192;2;1;/data/work/54/5fcc9d2784117f81184eba63157112;-;-
7;node8;65/596b74;nf-65596b745b58720441c7fba0a2fe0509;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_2a;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_2a);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669647511964;1669647524000;1669647524000;12036;33;-;73.3;0.0;2875392;4071424;2875392;4079616;106552;897;284;17;0;8192;2;3;/data/work/65/596b745b58720441c7fba0a2fe0509;-;-
8;cpu14;10/fa4df3;nf-10fa4df37255e51876d5884ac974c765;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_2;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_2);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669647512003;1669647525000;1669647525000;12997;34;-;69.1;0.0;3080192;4071424;3080192;4079616;106793;906;284;17;0;8192;4;5;/data/work/10/fa4df37255e51876d5884ac974c765;-;-
9;node10;dc/6b1f1f;nf-dc6b1f1fac8221e3ad11a2862aed4966;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_1b;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_1b);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669647512041;1669647525000;1669647526000;13959;1051;-;2.8;0.0;2940928;4071424;2940928;4079616;106804;920;284;17;45056;8192;5;3;/data/work/dc/6b1f1fac8221e3ad11a2862aed4966;-;-
11;cpu14;9f/e71d31;nf-9fe71d31bb25569ccdbb3203d6fc6061;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_2b;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_2b);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669647512107;1669647526000;1669647526000;13893;34;-;43.2;0.0;3063808;4071424;3063808;4079616;106802;906;284;17;0;8192;2;0;/data/work/9f/e71d31bb25569ccdbb3203d6fc6061;-;-
13;node8;71/14679b;nf-7114679bca5e94619a15268ab41a9a79;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_1d;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_1d);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669647512173;1669647524000;1669647524000;11827;33;-;72.7;0.0;2994176;4071424;2994176;4079616;106553;897;284;17;0;8192;2;4;/data/work/71/14679bca5e94619a15268ab41a9a79;-;-
14;node10;43/dc784c;nf-43dc784ce93c608477d218bdcd4f939b;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_1e;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_1e);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669647512210;1669647527000;1669647528000;15790;45;-;36.6;0.0;3047424;4071424;3047424;4079616;106780;906;284;17;0;8192;2;0;/data/work/43/dc784ce93c608477d218bdcd4f939b;-;-
15;cpu05;7f/9cc10e;nf-7f9cc10e404c8b40b112a8784c01814a;NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC;sampleID_1a;NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (sampleID_1a);COMPLETED;0;-;quay.io/biocontainers/cutadapt:3.4--py39h38f01e4_1;6;21600000;-;45097156608;1;1669647524697;1669647528000;1669647528000;3303;0;-;148.7;0.0;3235840;5632000;3235840;5636096;11463928;7805762;829;83;0;589824;6;0;/data/work/7f/9cc10e404c8b40b112a8784c01814a;-;-
20;cpu05;7f/98f51c;nf-7f98f51cf671cfc47c86dbe8f0182ece;NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC;sampleID_2c;NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (sampleID_2c);COMPLETED;0;-;quay.io/biocontainers/cutadapt:3.4--py39h38f01e4_1;6;21600000;-;45097156608;1;1669647525711;1669647531000;1669647531000;5289;0;-;130.0;0.0;3170304;5632000;3170304;5636096;11765591;8137850;832;83;0;671744;2;0;/data/work/7f/98f51cf671cfc47c86dbe8f0182ece;-;-
4;node10;ab/fcb624;nf-abfcb624b41522b4c3298d585fa8d26a;NFCORE_AMPLISEQ:AMPLISEQ:FORMAT_TAXONOMY;-;NFCORE_AMPLISEQ:AMPLISEQ:FORMAT_TAXONOMY;COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669647511856;1669647527000;1669647528000;16144;275;-;45.6;0.0;3198976;4071424;3198976;4079616;11435506;13344997;2009;1382;32768;5734400;2;0;/data/work/ab/fcb624b41522b4c3298d585fa8d26a;-;-
3;node8;d7/62932e;nf-d762932ea77af852e20d4b9e7bca795d;NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_PREPTAX:FORMAT_TAXONOMY_QIIME;-;NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_PREPTAX:FORMAT_TAXONOMY_QIIME;COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669647511891;1669647526000;1669647527000;15109;897;-;2.2;0.0;3084288;4071424;3084288;4079616;91743;1067;235;19;0;4096;2;2;/data/work/d7/62932ea77af852e20d4b9e7bca795d;-;-
16;cpu14;96/b95547;nf-96b95547a0744841060f3a64cc0896d4;NFCORE_AMPLISEQ:AMPLISEQ:FASTQC;sampleID_1a;NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (sampleID_1a);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;45097156608;1;1669647524734;1669647530000;1669647534000;9266;3000;-;223.9;0.2;232378368;4635860992;232378368;4697346048;23160672;5719557;16663;14357;0;6086656;9;8;/data/work/96/b95547a0744841060f3a64cc0896d4;-;-
