task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
5;cpu14;14/c3642e;nf-14c3642e8e5693e77fe27aff4e09f2a4;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_1a;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_1a);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669653915234;1669653921000;1669653921000;5766;26;-;56.6;0.0;2973696;4071424;2973696;4079616;106802;906;284;17;0;8192;2;0;/data/work/14/c3642e8e5693e77fe27aff4e09f2a4;-;-
6;cpu05;cc/bf9ab9;nf-ccbf9ab91194058b316571b928452509;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_1;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_1);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669653915317;1669653921000;1669653921000;5683;26;-;84.2;0.0;3104768;4071424;3104768;4079616;106777;906;284;17;0;8192;3;3;/data/work/cc/bf9ab91194058b316571b928452509;-;-
8;cpu05;95/4da7d1;nf-954da7d106893aab74bfaa3baa438dab;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_2;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_2);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669653915461;1669653924000;1669653924000;8539;25;-;62.1;0.0;3215360;4071424;3215360;4079616;106777;906;284;17;0;8192;4;0;/data/work/95/4da7d106893aab74bfaa3baa438dab;-;-
10;cpu05;f9/13ca13;nf-f913ca137facb3c908671729ff52d1dd;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_1c;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_1c);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669653915487;1669653922000;1669653924000;8513;1829;-;1.6;0.0;2985984;4071424;2985984;4079616;106782;905;284;17;0;8192;2;0;/data/work/f9/13ca137facb3c908671729ff52d1dd;-;-
9;cpu14;dd/7833fe;nf-dd7833fe933228589dc33f2c42ca9549;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_1b;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_1b);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669653915515;1669653924000;1669653924000;8485;22;-;66.0;0.0;2969600;4071424;2969600;4079616;106801;906;284;17;0;8192;3;1;/data/work/dd/7833fe933228589dc33f2c42ca9549;-;-
2;node10;63/99b47f;nf-6399b47f6ce5ffaaa0a1b3540dcb7505;NFCORE_AMPLISEQ:AMPLISEQ:METADATA_ALL;Metadata.tsv;NFCORE_AMPLISEQ:AMPLISEQ:METADATA_ALL (Metadata.tsv);COMPLETED;0;-;quay.io/biocontainers/bioconductor-dada2:1.22.0--r41h399db7b_0;2;21600000;-;12884901888;1;1669653915279;1669653930000;1669653931000;15721;1000;-;130.4;0.0;3305472;5636096;3305472;5640192;6128980;1146;642;29;0;8192;2;0;/data/work/63/99b47f6ce5ffaaa0a1b3540dcb7505;-;-
3;node8;90/a866d2;nf-90a866d2f837456a9c2769e9aaec9256;NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_PREPTAX:FORMAT_TAXONOMY_QIIME;-;NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_PREPTAX:FORMAT_TAXONOMY_QIIME;COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669653915351;1669653925000;1669653925000;9649;132;-;14.2;0.0;3026944;4071424;3026944;4079616;91744;1068;235;19;0;4096;2;1;/data/work/90/a866d2f837456a9c2769e9aaec9256;-;-
1;cpu14;ec/787ee1;nf-ec787ee12b31b99177479b09192162e4;NFCORE_AMPLISEQ:AMPLISEQ:METADATA_PAIRWISE;Metadata.tsv;NFCORE_AMPLISEQ:AMPLISEQ:METADATA_PAIRWISE (Metadata.tsv);COMPLETED;0;-;quay.io/biocontainers/bioconductor-dada2:1.22.0--r41h399db7b_0;2;21600000;-;12884901888;1;1669653915382;1669653925000;1669653926000;10618;1000;-;127.6;0.0;3248128;5636096;3248128;5640192;6128879;1170;642;29;0;8192;2;2;/data/work/ec/787ee12b31b99177479b09192162e4;-;-
7;node8;c0/9b0197;nf-c09b019751b4d98e6fc9189acadb6156;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_2a;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_2a);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669653915438;1669653926000;1669653927000;11562;662;-;3.0;0.0;2969600;4071424;2969600;4079616;106552;896;284;17;0;8192;2;0;/data/work/c0/9b019751b4d98e6fc9189acadb6156;-;-
12;node8;43/d5d5d3;nf-43d5d5d3c94e8e64fda747efa9cc1dd4;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_2c;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_2c);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669653915571;1669653926000;1669653926000;10429;52;-;33.2;0.0;3076096;4071424;3076096;4079616;106549;897;284;17;0;8192;2;1;/data/work/43/d5d5d3c94e8e64fda747efa9cc1dd4;-;-
13;cpu14;66/2d5048;nf-662d504829ed28e00ec7e94eb0fc8f57;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_1d;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_1d);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669653915602;1669653927000;1669653929000;13398;2469;-;1.2;0.0;3117056;4071424;3117056;4079616;106800;905;284;17;0;8192;2;2;/data/work/66/2d504829ed28e00ec7e94eb0fc8f57;-;-
14;node10;8b/ee7f0b;nf-8bee7f0bca28eddaa60245b30cbaeaf3;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_1e;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_1e);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669653915628;1669653931000;1669653931000;15372;153;-;11.9;0.0;3014656;4071424;3014656;4079616;106781;906;284;17;0;8192;2;1;/data/work/8b/ee7f0bca28eddaa60245b30cbaeaf3;-;-
15;node8;8e/048b74;nf-8e048b74f48d24e40fdadcf87215b4e9;NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC;sampleID_1a;NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (sampleID_1a);COMPLETED;0;-;quay.io/biocontainers/cutadapt:3.4--py39h38f01e4_1;6;21600000;-;45097156608;1;1669653924833;1669653930000;1669653930000;5167;0;-;112.9;0.0;3325952;5632000;3325952;5636096;11463694;7805753;828;83;0;589824;2;0;/data/work/8e/048b74f48d24e40fdadcf87215b4e9;-;-
16;cpu05;23/03c1f2;nf-2303c1f2aa5591dc28a49413285fc610;NFCORE_AMPLISEQ:AMPLISEQ:FASTQC;sampleID_1a;NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (sampleID_1a);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;45097156608;1;1669653924926;1669653930000;1669653935000;10074;4000;-;223.3;0.2;298422272;4640055296;301408256;4666916864;23194276;5719557;16701;14399;0;6086656;9;2;/data/work/23/03c1f2aa5591dc28a49413285fc610;-;-
17;cpu14;b9/0b2f9c;nf-b90b2f9cf71afe947a93f59274b3d196;NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC;sampleID_1;NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (sampleID_1);COMPLETED;0;-;quay.io/biocontainers/cutadapt:3.4--py39h38f01e4_1;6;21600000;-;45097156608;1;1669653925031;1669653930000;1669653931000;5969;1000;-;108.9;0.0;3244032;5632000;3244032;5636096;10078312;6444582;826;79;0;528384;2;4;/data/work/b9/0b2f9cf71afe947a93f59274b3d196;-;-
