task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;cpu14;1f/865ead;nf-1f865ead9f965f0cdd958d032f10597a;NFCORE_AMPLISEQ:AMPLISEQ:FORMAT_TAXONOMY;-;NFCORE_AMPLISEQ:AMPLISEQ:FORMAT_TAXONOMY;COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669671523354;1669671532000;1669671533000;9646;1496;-;8.6;0.0;3121152;4071424;3121152;4079616;11435522;13344996;2011;1382;0;5734400;2;2;/data/work/1f/865ead9f965f0cdd958d032f10597a;-;-
5;cpu14;8f/4f2596;nf-8f4f25969016a7cdfa928de82bd0a9f8;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_1a;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_1a);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669671523393;1669671534000;1669671535000;11607;28;-;82.8;0.0;2879488;4071424;2879488;4079616;106801;906;284;17;0;8192;2;2;/data/work/8f/4f25969016a7cdfa928de82bd0a9f8;-;-
4;cpu05;e7/3cf079;nf-e73cf079139acdc49bfbd1cdbdd30675;NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_PREPTAX:FORMAT_TAXONOMY_QIIME;-;NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_PREPTAX:FORMAT_TAXONOMY_QIIME;COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669671523436;1669671531000;1669671531000;7564;29;-;54.2;0.0;3006464;4071424;3006464;4079616;91976;1077;235;19;0;4096;2;1;/data/work/e7/3cf079139acdc49bfbd1cdbdd30675;-;-
6;cpu05;51/706887;nf-517068874ef2229f0f2ebe07e6b57c8d;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_1;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_1);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669671523521;1669671533000;1669671533000;9479;46;-;37.0;0.0;3010560;4071424;3010560;4079616;106777;906;284;17;0;8192;2;0;/data/work/51/7068874ef2229f0f2ebe07e6b57c8d;-;-
7;node8;06/a440de;nf-06a440dedff2d97f13bd72ffbf2a4dd0;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_2a;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_2a);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669671523560;1669671532000;1669671532000;8440;233;-;12.7;0.0;3059712;4071424;3059712;4079616;106553;897;284;17;0;8192;2;3;/data/work/06/a440dedff2d97f13bd72ffbf2a4dd0;-;-
8;node10;1f/c3a1d6;nf-1fc3a1d6b6703132a64b0c1f475ee9ea;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_2;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_2);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669671523592;1669671530000;1669671530000;6408;24;-;95.0;0.0;3076096;4071424;3076096;4079616;106775;906;284;17;0;8192;4;0;/data/work/1f/c3a1d6b6703132a64b0c1f475ee9ea;-;-
9;cpu05;01/fe0b6b;nf-01fe0b6bd66e4dfb4bd868329b2caf46;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_1b;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_1b);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669671523630;1669671531000;1669671532000;8370;235;-;8.2;0.0;2908160;4071424;2908160;4079616;106784;905;284;17;0;8192;2;0;/data/work/01/fe0b6bd66e4dfb4bd868329b2caf46;-;-
11;cpu14;16/075d56;nf-16075d5636decbbacc2afca803d45234;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_2b;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_2b);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669671523697;1669671531000;1669671531000;7303;31;-;75.6;0.0;3022848;4071424;3022848;4079616;106802;906;284;17;0;8192;2;2;/data/work/16/075d5636decbbacc2afca803d45234;-;-
13;node10;fa/9889f7;nf-fa9889f7f0ce3701f2df1a1bce3280ae;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_1d;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_1d);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669671523736;1669671532000;1669671532000;8264;30;-;75.0;0.0;3043328;4071424;3043328;4079616;106784;906;284;17;0;8192;2;3;/data/work/fa/9889f7f0ce3701f2df1a1bce3280ae;-;-
12;node8;9f/e8ac58;nf-9fe8ac58d21482b9f182eca8569b8e06;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_2c;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_2c);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669671523767;1669671530000;1669671530000;6233;29;-;77.4;0.0;3002368;4071424;3002368;4079616;106550;897;284;17;0;8192;2;1;/data/work/9f/e8ac58d21482b9f182eca8569b8e06;-;-
