task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
2;cpu14;e8/aa6fb3;nf-e8aa6fb322fd32b04c3a8798e79ffd41;NFCORE_AMPLISEQ:AMPLISEQ:FORMAT_TAXONOMY;-;NFCORE_AMPLISEQ:AMPLISEQ:FORMAT_TAXONOMY;COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669585496263;1669585505000;1669585506000;9737;135;-;97.2;0.0;2928640;4071424;2928640;4079616;11435524;13344997;2009;1382;0;5734400;2;1;/data/work/e8/aa6fb322fd32b04c3a8798e79ffd41;-;-
4;cpu05;0e/774ec4;nf-0e774ec4d01ed0d768ecabab62d31940;NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_PREPTAX:FORMAT_TAXONOMY_QIIME;-;NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_PREPTAX:FORMAT_TAXONOMY_QIIME;COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669585496349;1669585504000;1669585505000;8651;30;-;50.8;0.0;2977792;4071424;2977792;4079616;91977;1077;235;19;0;4096;3;0;/data/work/0e/774ec4d01ed0d768ecabab62d31940;-;-
7;cpu05;95/bb2af6;nf-95bb2af6ba811de91e968b231fdc2326;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_2a;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_2a);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669585496505;1669585504000;1669585505000;8495;27;-;83.5;0.0;3047424;4071424;3047424;4079616;106786;906;284;17;0;8192;2;2;/data/work/95/bb2af6ba811de91e968b231fdc2326;-;-
8;node8;c4/c3da40;nf-c4c3da401bcb1e7f5c355ec563cea25e;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_2;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_2);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669585496538;1669585505000;1669585506000;9462;68;-;25.9;0.0;2957312;4071424;2957312;4079616;106543;897;284;17;0;8192;2;0;/data/work/c4/c3da401bcb1e7f5c355ec563cea25e;-;-
10;cpu05;c0/ee1488;nf-c0ee148808717b6f8fd3c8bd928015cd;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_1c;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_1c);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669585496571;1669585503000;1669585504000;7429;301;-;9.7;0.0;2990080;4071424;2990080;4079616;106782;905;284;17;0;8192;2;3;/data/work/c0/ee148808717b6f8fd3c8bd928015cd;-;-
11;cpu14;71/f09688;nf-71f096883203e439cadf2d217eb52087;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_2b;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_2b);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669585496676;1669585505000;1669585505000;8324;25;-;58.2;0.0;3018752;4071424;3018752;4079616;106802;906;284;17;0;8192;2;3;/data/work/71/f096883203e439cadf2d217eb52087;-;-
1;node8;5b/81b4aa;nf-5b81b4aa7125921b4742a6efbe8c66a4;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_1a;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_1a);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669585496389;1669585507000;1669585507000;10611;534;-;5.5;0.0;3031040;4071424;3031040;4079616;106551;896;284;17;0;8192;2;0;/data/work/5b/81b4aa7125921b4742a6efbe8c66a4;-;-
5;cpu14;78/ce11d2;nf-78ce11d2458149c97f7b98142fd7e356;NFCORE_AMPLISEQ:AMPLISEQ:METADATA_PAIRWISE;Metadata.tsv;NFCORE_AMPLISEQ:AMPLISEQ:METADATA_PAIRWISE (Metadata.tsv);COMPLETED;0;-;quay.io/biocontainers/bioconductor-dada2:1.22.0--r41h399db7b_0;2;21600000;-;12884901888;1;1669585496429;1669585507000;1669585508000;11571;0;-;142.2;0.0;3305472;5636096;3305472;5640192;6129027;1170;642;29;0;8192;2;0;/data/work/78/ce11d2458149c97f7b98142fd7e356;-;-
9;node8;87/0b6f73;nf-870b6f7397105914d8521c5f9387c46e;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_1b;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_1b);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669585496604;1669585506000;1669585507000;10396;278;-;10.7;0.0;3018752;4071424;3018752;4079616;106551;897;284;17;0;8192;2;3;/data/work/87/0b6f7397105914d8521c5f9387c46e;-;-
12;cpu14;b3/f8476f;nf-b3f8476fe47925f15d4f0c1e4f9a70ab;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_2c;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_2c);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669585496642;1669585506000;1669585506000;9358;107;-;26.0;0.0;3080192;4071424;3080192;4079616;106799;906;284;17;0;8192;2;3;/data/work/b3/f8476fe47925f15d4f0c1e4f9a70ab;-;-
