task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
4;cpu14;15/d6bd32;nf-15d6bd323643d536b9942733430a1bb9;NFCORE_AMPLISEQ:AMPLISEQ:FORMAT_TAXONOMY;-;NFCORE_AMPLISEQ:AMPLISEQ:FORMAT_TAXONOMY;COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669674373215;1669674384000;1669674384000;10785;122;-;92.3;0.0;3104768;4071424;3104768;4079616;11435524;13344997;2010;1382;32768;5734400;7;1;/data/work/15/d6bd323643d536b9942733430a1bb9;-;-
6;node10;a9/c3eb17;nf-a9c3eb173caaed04d95414f1bdba5965;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_1;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_1);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669674373261;1669674382000;1669674382000;8739;26;-;85.0;0.0;3043328;4071424;3043328;4079616;106775;906;284;17;0;8192;2;1;/data/work/a9/c3eb173caaed04d95414f1bdba5965;-;-
5;node8;0d/f989d0;nf-0df989d01b60785b690d1c9b8f54c81d;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_1a;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_1a);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669674373301;1669674382000;1669674382000;8699;26;-;88.1;0.0;3100672;4071424;3100672;4079616;106554;897;284;17;0;8192;2;2;/data/work/0d/f989d01b60785b690d1c9b8f54c81d;-;-
7;cpu05;be/0ea36c;nf-be0ea36c1bb89a360c56a919384d85c0;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_2a;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_2a);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669674373452;1669674383000;1669674383000;9548;215;-;9.0;0.0;2990080;4071424;2990080;4079616;106785;905;284;17;0;8192;2;3;/data/work/be/0ea36c1bb89a360c56a919384d85c0;-;-
9;cpu14;8b/439d90;nf-8b439d90f9d749cdddf3963af7ea8259;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_1b;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_1b);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669674373567;1669674383000;1669674383000;9433;23;-;62.7;0.0;2981888;4071424;2981888;4079616;106802;906;284;17;0;8192;8;0;/data/work/8b/439d90f9d749cdddf3963af7ea8259;-;-
13;cpu05;67/fac998;nf-67fac9980d74671bfa1f8ad29dfc019c;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_1d;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_1d);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669674373667;1669674384000;1669674384000;10333;27;-;54.7;0.0;3194880;4071424;3194880;4079616;106786;906;284;17;0;8192;2;0;/data/work/67/fac9980d74671bfa1f8ad29dfc019c;-;-
2;cpu05;d4/976ebf;nf-d4976ebfa96c5ca95b2d2bb40739a10c;NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_PREPTAX:FORMAT_TAXONOMY_QIIME;-;NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_PREPTAX:FORMAT_TAXONOMY_QIIME;COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669674373379;1669674384000;1669674384000;10621;241;-;12.0;0.0;3010560;4071424;3010560;4079616;91977;1077;235;19;0;4096;2;1;/data/work/d4/976ebfa96c5ca95b2d2bb40739a10c;-;-
8;node10;3e/154e11;nf-3e154e11d3d7d1c056d180926ec943e1;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_2;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_2);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669674373487;1669674383000;1669674383000;9513;53;-;48.7;0.0;3162112;4071424;3162112;4079616;106775;906;284;17;0;8192;10;7;/data/work/3e/154e11d3d7d1c056d180926ec943e1;-;-
10;node8;b3/9bf5d4;nf-b39bf5d412b406f727680141fb585283;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_1c;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_1c);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669674373529;1669674383000;1669674384000;10471;605;-;4.9;0.0;3059712;4071424;3059712;4079616;106550;896;284;17;0;8192;2;2;/data/work/b3/9bf5d412b406f727680141fb585283;-;-
11;node10;be/13cf0b;nf-be13cf0b18a0f32585a7de8c14ad1e61;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_2b;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_2b);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669674373598;1669674385000;1669674385000;11402;55;-;34.2;0.0;3051520;4071424;3051520;4079616;106784;906;284;17;0;8192;2;3;/data/work/be/13cf0b18a0f32585a7de8c14ad1e61;-;-
12;node8;b1/236871;nf-b1236871b446457abba38cf76fbdbc23;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_2c;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_2c);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669674373632;1669674385000;1669674385000;11368;27;-;80.7;0.0;2969600;4071424;2969600;4079616;106551;897;284;17;0;8192;2;4;/data/work/b1/236871b446457abba38cf76fbdbc23;-;-
14;cpu14;75/a94963;nf-75a94963fbfa7e5f55afc6c02c27ee9c;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_1e;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_1e);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669674373700;1669674384000;1669674385000;11300;27;-;81.4;0.0;2994176;4071424;2994176;4079616;106799;906;284;17;0;8192;2;2;/data/work/75/a94963fbfa7e5f55afc6c02c27ee9c;-;-
3;node8;fa/0826b4;nf-fa0826b40fb1c28e7973840467fff326;NFCORE_AMPLISEQ:AMPLISEQ:METADATA_PAIRWISE;Metadata.tsv;NFCORE_AMPLISEQ:AMPLISEQ:METADATA_PAIRWISE (Metadata.tsv);COMPLETED;0;-;quay.io/biocontainers/bioconductor-dada2:1.22.0--r41h399db7b_0;2;21600000;-;12884901888;1;1669674373340;1669674385000;1669674386000;12660;1000;-;159.0;0.0;3293184;5636096;3293184;5640192;6128913;1162;641;29;0;8192;4;6;/data/work/fa/0826b40fb1c28e7973840467fff326;-;-
1;node10;32/48e76b;nf-3248e76b875240b0dcce4cf37c631b4e;NFCORE_AMPLISEQ:AMPLISEQ:METADATA_ALL;Metadata.tsv;NFCORE_AMPLISEQ:AMPLISEQ:METADATA_ALL (Metadata.tsv);COMPLETED;0;-;quay.io/biocontainers/bioconductor-dada2:1.22.0--r41h399db7b_0;2;21600000;-;12884901888;1;1669674373416;1669674385000;1669674386000;12584;1000;-;158.2;0.0;3403776;5636096;3403776;5640192;6128896;1146;642;29;0;8192;4;0;/data/work/32/48e76b875240b0dcce4cf37c631b4e;-;-
15;cpu14;22/bd366a;nf-22bd366a5d072db4bd8c80574007a607;NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_TAXONOMY;assignTaxonomy;NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_TAXONOMY (assignTaxonomy);COMPLETED;0;-;quay.io/biocontainers/cutadapt:3.4--py39h38f01e4_1;6;21600000;-;45097156608;1;1669674385932;1669674394000;1669674394000;8068;0;-;81.1;0.0;3256320;5632000;3256320;5636096;6405569;1100766;801;65;0;36864;2;0;/data/work/22/bd366a5d072db4bd8c80574007a607;-;-
17;cpu05;4c/fa24ec;nf-4cfa24ecb1b1601901d1aca8515a06f4;NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC;sampleID_1;NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (sampleID_1);COMPLETED;0;-;quay.io/biocontainers/cutadapt:3.4--py39h38f01e4_1;6;21600000;-;45097156608;1;1669674386086;1669674391000;1669674391000;4914;0;-;79.5;0.0;3248128;5632000;3248128;5636096;10079127;6444581;827;79;0;528384;2;2;/data/work/4c/fa24ecb1b1601901d1aca8515a06f4;-;-
19;cpu14;aa/66f3ac;nf-aa66f3ac4e2713c625dfcade00666e73;NFCORE_AMPLISEQ:AMPLISEQ:FASTQC;sampleID_1a;NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (sampleID_1a);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;45097156608;1;1669674386128;1669674391000;1669674395000;8872;3000;-;252.3;0.2;300400640;4640055296;302182400;4668325888;23193903;5719557;16713;14315;221184;6139904;10;2;/data/work/aa/66f3ac4e2713c625dfcade00666e73;-;-
18;node8;0a/d24dff;nf-0ad24dff05e36d8facc4d4b531aeb08c;NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC;sampleID_1a;NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (sampleID_1a);COMPLETED;0;-;quay.io/biocontainers/cutadapt:3.4--py39h38f01e4_1;6;21600000;-;45097156608;1;1669674386157;1669674390000;1669674390000;3843;0;-;134.9;0.0;3244032;5632000;3244032;5636096;11463696;7805753;828;83;0;589824;3;0;/data/work/0a/d24dff05e36d8facc4d4b531aeb08c;-;-
21;cpu05;d0/e1fcf8;nf-d0e1fcf8c408fe44407655b6cefc588e;NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC;sampleID_2a;NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (sampleID_2a);COMPLETED;0;-;quay.io/biocontainers/cutadapt:3.4--py39h38f01e4_1;6;21600000;-;45097156608;1;1669674386314;1669674393000;1669674394000;7686;1000;-;134.9;0.0;3280896;5632000;3280896;5636096;11500554;7853018;830;83;0;589824;4;0;/data/work/d0/e1fcf8c408fe44407655b6cefc588e;-;-
23;node10;eb/e958b4;nf-ebe958b436bb6938aad681f3e500e770;NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC;sampleID_1b;NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (sampleID_1b);COMPLETED;0;-;quay.io/biocontainers/cutadapt:3.4--py39h38f01e4_1;6;21600000;-;45097156608;1;1669674386470;1669674394000;1669674395000;8530;1000;-;136.4;0.0;3313664;5632000;3313664;5636096;11464757;7805762;831;83;0;589824;2;3;/data/work/eb/e958b436bb6938aad681f3e500e770;-;-
25;node8;57/e7e380;nf-57e7e380f6bf549266d32b5b2e0caed9;NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC;sampleID_1d;NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (sampleID_1d);COMPLETED;0;-;quay.io/biocontainers/cutadapt:3.4--py39h38f01e4_1;6;21600000;-;45097156608;1;1669674386584;1669674394000;1669674394000;7416;0;-;128.4;0.0;3239936;5632000;3239936;5636096;11465360;7805753;830;83;0;589824;2;3;/data/work/57/e7e380f6bf549266d32b5b2e0caed9;-;-
30;cpu05;50/05be92;nf-5005be9269f1b2afc78b6aa56354c5ac;NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC;sampleID_1c;NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (sampleID_1c);COMPLETED;0;-;quay.io/biocontainers/cutadapt:3.4--py39h38f01e4_1;6;21600000;-;45097156608;1;1669674391989;1669674398000;1669674398000;6011;0;-;144.7;0.0;3239936;5632000;3239936;5636096;10079964;6444586;828;79;0;528384;2;0;/data/work/50/05be9269f1b2afc78b6aa56354c5ac;-;-
16;node10;36/dbf0bf;nf-36dbf0bf6205fab907646ccaae3cf69f;NFCORE_AMPLISEQ:AMPLISEQ:FASTQC;sampleID_1;NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (sampleID_1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;45097156608;1;1669674386056;1669674392000;1669674397000;10944;3000;-;225.5;0.2;262766592;4640055296;265605120;4666916864;23203859;5990521;16480;14781;0;6496256;8;2;/data/work/36/dbf0bf6205fab907646ccaae3cf69f;-;-
27;node10;2c/eb99e6;nf-2ceb99e6a235d128dfdca5a9524e22ca;NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC;sampleID_2;NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (sampleID_2);COMPLETED;0;-;quay.io/biocontainers/cutadapt:3.4--py39h38f01e4_1;6;21600000;-;45097156608;1;1669674391755;1669674401000;1669674401000;9245;0;-;151.6;0.0;11202560;20819968;11202560;20824064;11763087;8137846;829;83;0;671744;5;1;/data/work/2c/eb99e6a235d128dfdca5a9524e22ca;-;-
31;cpu05;bd/1e4512;nf-bd1e4512de22f60f4fbd790f89315acd;NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC;sampleID_2b;NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (sampleID_2b);COMPLETED;0;-;quay.io/biocontainers/cutadapt:3.4--py39h38f01e4_1;6;21600000;-;45097156608;1;1669674393749;1669674401000;1669674402000;8251;1000;-;154.8;0.0;3239936;5632000;3239936;5636096;11501386;7853018;832;83;0;589824;3;0;/data/work/bd/1e4512de22f60f4fbd790f89315acd;-;-
