task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;node8;32/c1595f;nf-32c1595fd2b22d9a0f22dec4cb16268a;NFCORE_AMPLISEQ:AMPLISEQ:METADATA_ALL;Metadata.tsv;NFCORE_AMPLISEQ:AMPLISEQ:METADATA_ALL (Metadata.tsv);COMPLETED;0;-;quay.io/biocontainers/bioconductor-dada2:1.22.0--r41h399db7b_0;2;21600000;-;12884901888;1;1669588457114;1669588462000;1669588463000;5886;1000;-;151.9;0.0;3244032;5636096;3244032;5640192;6128335;1137;641;29;0;8192;2;2;/data/work/32/c1595fd2b22d9a0f22dec4cb16268a;-;-
13;node10;0e/99087a;nf-0e99087a80fcab746fac4bb19c480397;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_1d;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_1d);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669588457363;1669588463000;1669588464000;6637;454;-;6.5;0.0;3006464;4071424;3006464;4079616;106783;905;284;17;0;8192;2;0;/data/work/0e/99087a80fcab746fac4bb19c480397;-;-
14;node10;43/786d1a;nf-43786d1a2ef2d59880ce7fd4d1ab6891;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_1e;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_1e);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669588457397;1669588462000;1669588462000;4603;29;-;76.2;0.0;3039232;4071424;3039232;4079616;106781;906;284;17;0;8192;2;2;/data/work/43/786d1a2ef2d59880ce7fd4d1ab6891;-;-
8;cpu14;c2/ba829a;nf-c2ba829abf7995cebce01296e7b948d4;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_2;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_2);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669588457182;1669588462000;1669588463000;5818;433;-;6.8;0.0;3010560;4071424;3010560;4079616;106792;905;284;17;0;8192;2;0;/data/work/c2/ba829abf7995cebce01296e7b948d4;-;-
6;cpu05;df/e2d2fa;nf-dfe2d2fa6befbe7dc67990c0d31a2fc1;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_1;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_1);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669588456903;1669588467000;1669588469000;12097;185;-;10.3;0.0;3047424;4071424;3047424;4079616;106777;906;284;17;0;8192;2;0;/data/work/df/e2d2fa6befbe7dc67990c0d31a2fc1;-;-
2;cpu14;d7/e5ff66;nf-d7e5ff6666e813b246b6880bee6a8e66;NFCORE_AMPLISEQ:AMPLISEQ:FORMAT_TAXONOMY;-;NFCORE_AMPLISEQ:AMPLISEQ:FORMAT_TAXONOMY;COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669588456998;1669588465000;1669588467000;10002;143;-;87.9;0.0;3080192;4071424;3080192;4079616;11435524;13344997;2009;1382;0;5734400;2;1;/data/work/d7/e5ff6666e813b246b6880bee6a8e66;-;-
10;cpu14;09/780cf2;nf-09780cf2e86f213633afe5f2644f3925;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_1c;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_1c);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669588457259;1669588467000;1669588467000;9741;79;-;23.4;0.0;2994176;4071424;2994176;4079616;106799;906;284;17;0;8192;2;2;/data/work/09/780cf2e86f213633afe5f2644f3925;-;-
11;cpu05;dd/ebb063;nf-ddebb063303ef5e27d2219363f2dcccd;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_2b;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_2b);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669588457293;1669588469000;1669588469000;11707;26;-;88.1;0.0;3039232;4071424;3039232;4079616;106786;906;284;17;0;8192;3;4;/data/work/dd/ebb063303ef5e27d2219363f2dcccd;-;-
16;node8;1e/2f84a0;nf-1e2f84a0969f740e81e2f184653d4b6c;NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC;sampleID_1d;NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (sampleID_1d);COMPLETED;0;-;quay.io/biocontainers/cutadapt:3.4--py39h38f01e4_1;6;21600000;-;45097156608;1;1669588464996;1669588472000;1669588474000;9004;1000;-;68.0;0.0;3280896;5632000;3280896;5636096;11464525;7805752;829;83;0;589824;2;2;/data/work/1e/2f84a0969f740e81e2f184653d4b6c;-;-
18;node10;8d/063191;nf-8d063191264b5b7484d6c7cf72b48007;NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC;sampleID_1e;NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (sampleID_1e);COMPLETED;0;-;quay.io/biocontainers/cutadapt:3.4--py39h38f01e4_1;6;21600000;-;45097156608;1;1669588465051;1669588468000;1669588469000;3949;1000;-;141.0;0.0;3211264;5632000;3211264;5636096;10078299;6444586;826;79;0;528384;6;0;/data/work/8d/063191264b5b7484d6c7cf72b48007;-;-
