task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
3;cpu05;c8/1e17a7;nf-c81e17a7a00be8aee1a86f81d7004b45;NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_PREPTAX:FORMAT_TAXONOMY_QIIME;-;NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_PREPTAX:FORMAT_TAXONOMY_QIIME;COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669589426314;1669589435000;1669589435000;8686;29;-;52.5;0.0;2985984;4071424;2985984;4079616;91977;1077;235;19;0;4096;2;2;/data/work/c8/1e17a7a00be8aee1a86f81d7004b45;-;-
5;cpu14;ac/83c2e4;nf-ac83c2e4186c468948fc26e93b4163a6;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_1a;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_1a);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669589426392;1669589436000;1669589436000;9608;28;-;55.2;0.0;2961408;4071424;2961408;4079616;106802;906;284;17;0;8192;2;0;/data/work/ac/83c2e4186c468948fc26e93b4163a6;-;-
4;node10;0e/480222;nf-0e48022295b701f09d1792e2cc187327;NFCORE_AMPLISEQ:AMPLISEQ:FORMAT_TAXONOMY;-;NFCORE_AMPLISEQ:AMPLISEQ:FORMAT_TAXONOMY;COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669589426430;1669589437000;1669589437000;10570;126;-;89.9;0.0;2928640;4071424;2928640;4079616;11435505;13344997;2010;1382;0;5734400;2;0;/data/work/0e/48022295b701f09d1792e2cc187327;-;-
7;cpu05;82/90eac3;nf-8290eac3639fefc5c4df81d0c23acd3d;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_2a;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_2a);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669589426465;1669589436000;1669589436000;9535;24;-;90.6;0.0;3043328;4071424;3043328;4079616;106786;906;284;17;0;8192;3;0;/data/work/82/90eac3639fefc5c4df81d0c23acd3d;-;-
9;node10;2e/9fd15d;nf-2e9fd15dd5a8a3ac65a4f3e845ec18b8;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_1b;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_1b);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669589426550;1669589434000;1669589434000;7450;26;-;84.2;0.0;3014656;4071424;3014656;4079616;106784;906;284;17;0;8192;2;0;/data/work/2e/9fd15dd5a8a3ac65a4f3e845ec18b8;-;-
10;cpu14;68/f7d4ad;nf-68f7d4ade3a2adce8303851312ac1a61;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_1c;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_1c);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669589426624;1669589435000;1669589435000;8376;28;-;81.4;0.0;2990080;4071424;2990080;4079616;106799;906;284;17;0;8192;2;2;/data/work/68/f7d4ade3a2adce8303851312ac1a61;-;-
13;cpu05;d1/5eb45c;nf-d15eb45cb30ecfcd2e8ca6b52b47740a;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_1d;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_1d);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669589426663;1669589434000;1669589434000;7337;32;-;48.1;0.0;3059712;4071424;3059712;4079616;106787;906;284;17;0;8192;2;0;/data/work/d1/5eb45cb30ecfcd2e8ca6b52b47740a;-;-
12;cpu14;fe/617a93;nf-fe617a930d60efe9301292db278eba30;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_2c;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_2c);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669589426695;1669589435000;1669589435000;8305;28;-;79.3;0.0;3121152;4071424;3121152;4079616;106798;906;284;17;0;8192;2;2;/data/work/fe/617a930d60efe9301292db278eba30;-;-
14;node10;cf/6da519;nf-cf6da519cc8d33c377d73671f359adf3;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_1e;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_1e);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669589426729;1669589435000;1669589435000;8271;30;-;51.6;0.0;2940928;4071424;2940928;4079616;106780;906;284;17;0;8192;2;0;/data/work/cf/6da519cc8d33c377d73671f359adf3;-;-
2;node8;49/03af3f;nf-4903af3f7edf2f3dac65b9c0f4bb0915;NFCORE_AMPLISEQ:AMPLISEQ:METADATA_ALL;Metadata.tsv;NFCORE_AMPLISEQ:AMPLISEQ:METADATA_ALL (Metadata.tsv);COMPLETED;0;-;quay.io/biocontainers/bioconductor-dada2:1.22.0--r41h399db7b_0;2;21600000;-;12884901888;1;1669589426275;1669589439000;1669589440000;13725;0;-;149.1;0.0;3325952;5636096;3325952;5640192;6128713;1137;641;29;0;8192;2;0;/data/work/49/03af3f7edf2f3dac65b9c0f4bb0915;-;-
