task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
6;node8;f1/60453d;nf-f160453d6e67c58edeaf96cd92ad7f68;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_1;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_1);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669595921172;1669595928000;1669595928000;6828;24;-;90.6;0.0;2932736;4071424;2932736;4079616;106544;897;284;17;0;8192;3;0;/data/work/f1/60453d6e67c58edeaf96cd92ad7f68;-;-
4;cpu14;36/aa7cda;nf-36aa7cda3f03fa634369ab2607d3542d;NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_PREPTAX:FORMAT_TAXONOMY_QIIME;-;NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_PREPTAX:FORMAT_TAXONOMY_QIIME;COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669595921210;1669595931000;1669595931000;9790;29;-;52.9;0.0;3026944;4071424;3026944;4079616;91992;1077;235;19;0;4096;2;2;/data/work/36/aa7cda3f03fa634369ab2607d3542d;-;-
1;cpu05;6a/b15433;nf-6ab154332bfe1b81b5de111a3546a57c;NFCORE_AMPLISEQ:AMPLISEQ:FORMAT_TAXONOMY;-;NFCORE_AMPLISEQ:AMPLISEQ:FORMAT_TAXONOMY;COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669595921320;1669595932000;1669595932000;10680;143;-;84.7;0.0;3104768;4071424;3104768;4079616;11435507;13344997;2009;1382;0;5734400;2;0;/data/work/6a/b154332bfe1b81b5de111a3546a57c;-;-
7;cpu05;ae/2229fa;nf-ae2229fa6f3392dc48a18f928e3afc97;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_2a;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_2a);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669595921362;1669595928000;1669595928000;6638;26;-;61.5;0.0;2981888;4071424;2981888;4079616;106786;906;284;17;0;8192;2;0;/data/work/ae/2229fa6f3392dc48a18f928e3afc97;-;-
8;cpu14;c5/a67017;nf-c5a67017ffc6c4994ab4102117ec3219;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_2;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_2);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669595921401;1669595928000;1669595928000;6599;26;-;87.3;0.0;3022848;4071424;3022848;4079616;106793;906;284;17;0;8192;2;0;/data/work/c5/a67017ffc6c4994ab4102117ec3219;-;-
9;node10;42/5d761c;nf-425d761c68c231292e66c5922338d80f;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_1b;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_1b);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669595921435;1669595932000;1669595932000;10565;59;-;43.8;0.0;3014656;4071424;3014656;4079616;106784;906;284;17;0;8192;2;0;/data/work/42/5d761c68c231292e66c5922338d80f;-;-
11;cpu05;c0/bb3f75;nf-c0bb3f753d5b1ae32e09382e14fc7fd2;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_2b;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_2b);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669595921511;1669595929000;1669595930000;8489;30;-;49.6;0.0;2957312;4071424;2957312;4079616;106785;906;284;17;0;8192;2;0;/data/work/c0/bb3f753d5b1ae32e09382e14fc7fd2;-;-
12;cpu14;92/4ee9d8;nf-924ee9d84371cf663e02288cb3ad691c;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_2c;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_2c);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669595921545;1669595931000;1669595931000;9455;33;-;48.1;0.0;3100672;4071424;3100672;4079616;106799;906;284;17;0;8192;2;2;/data/work/92/4ee9d84371cf663e02288cb3ad691c;-;-
14;node8;2b/1a4ee4;nf-2b1a4ee4225f0dbcd0f0815fe853d1fb;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_1e;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_1e);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669595921613;1669595930000;1669595930000;8387;25;-;58.7;0.0;3006464;4071424;3006464;4079616;106549;897;284;17;0;8192;4;0;/data/work/2b/1a4ee4225f0dbcd0f0815fe853d1fb;-;-
5;node10;ac/c00908;nf-acc00908db91592429ab9f671a85e690;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_1a;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_1a);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669595921127;1669595933000;1669595933000;11873;27;-;55.7;0.0;2961408;4071424;2961408;4079616;106784;906;284;17;0;8192;2;2;/data/work/ac/c00908db91592429ab9f671a85e690;-;-
3;node10;56/230a57;nf-56230a5702d88933a99d5b186d16785e;NFCORE_AMPLISEQ:AMPLISEQ:METADATA_ALL;Metadata.tsv;NFCORE_AMPLISEQ:AMPLISEQ:METADATA_ALL (Metadata.tsv);COMPLETED;0;-;quay.io/biocontainers/bioconductor-dada2:1.22.0--r41h399db7b_0;2;21600000;-;12884901888;1;1669595921286;1669595932000;1669595933000;11714;1000;-;153.3;0.0;3366912;5636096;3366912;5640192;6128897;1146;642;29;0;8192;2;1;/data/work/56/230a5702d88933a99d5b186d16785e;-;-
10;node8;a9/6fd8b0;nf-a96fd8b0c99de7858a4b392ff0c99049;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_1c;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_1c);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669595921473;1669595932000;1669595933000;11527;466;-;6.4;0.0;3051520;4071424;3051520;4079616;106549;896;284;17;0;8192;2;1;/data/work/a9/6fd8b0c99de7858a4b392ff0c99049;-;-
2;node8;2e/d99e1e;nf-2ed99e1e18cf6e89220a0c1d1a3ffb25;NFCORE_AMPLISEQ:AMPLISEQ:METADATA_PAIRWISE;Metadata.tsv;NFCORE_AMPLISEQ:AMPLISEQ:METADATA_PAIRWISE (Metadata.tsv);COMPLETED;0;-;quay.io/biocontainers/bioconductor-dada2:1.22.0--r41h399db7b_0;2;21600000;-;12884901888;1;1669595921246;1669595934000;1669595938000;16754;0;-;137.5;0.0;3244032;5636096;3244032;5640192;6128324;1162;641;29;0;8192;2;3;/data/work/2e/d99e1e18cf6e89220a0c1d1a3ffb25;-;-
13;node10;e6/6279c3;nf-e66279c3e2ccaba4a4acd66f6fa24739;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES;sampleID_1d;NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (sampleID_1d);COMPLETED;0;-;ubuntu:20.04;2;21600000;-;12884901888;1;1669595921579;1669595933000;1669595933000;11421;27;-;86.5;0.0;3092480;4071424;3092480;4079616;106784;906;284;17;0;8192;2;3;/data/work/e6/6279c3e2ccaba4a4acd66f6fa24739;-;-
16;cpu05;45/ac2c37;nf-45ac2c37c6f11d28c50be4c4fa544203;NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC;sampleID_1;NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (sampleID_1);COMPLETED;0;-;quay.io/biocontainers/cutadapt:3.4--py39h38f01e4_1;6;21600000;-;45097156608;1;1669595934037;1669595939000;1669595939000;4963;0;-;92.2;0.0;3244032;5632000;3244032;5636096;10077463;6444581;826;79;0;528384;2;0;/data/work/45/ac2c37c6f11d28c50be4c4fa544203;-;-
18;node8;a7/ac59f5;nf-a7ac59f51fdba3d565d3f7101da48f05;NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_TAXONOMY;assignTaxonomy;NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_TAXONOMY (assignTaxonomy);COMPLETED;0;-;quay.io/biocontainers/cutadapt:3.4--py39h38f01e4_1;6;21600000;-;45097156608;1;1669595934223;1669595939000;1669595939000;4777;0;-;68.5;0.0;3244032;5632000;3244032;5636096;6406152;1100757;800;65;0;36864;2;2;/data/work/a7/ac59f51fdba3d565d3f7101da48f05;-;-
15;cpu14;3e/f326a5;nf-3ef326a5cadf57bc01390263bf6e981e;NFCORE_AMPLISEQ:AMPLISEQ:FASTQC;sampleID_1;NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (sampleID_1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;45097156608;1;1669595933999;1669595940000;1669595945000;11001;3000;-;225.2;0.2;278904832;4640055296;278986752;4666920960;23202880;5990521;16436;14781;0;6373376;9;3;/data/work/3e/f326a5cadf57bc01390263bf6e981e;-;-
20;cpu14;f2/76abf7;nf-f276abf723b71c5ebaf7cad7de1f7807;NFCORE_AMPLISEQ:AMPLISEQ:FASTQC;sampleID_2a;NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (sampleID_2a);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;45097156608;1;1669595934332;1669595941000;1669595945000;10668;3000;-;184.0;0.2;293478400;4640055296;297365504;4666916864;23185704;5748120;16595;14392;0;6111232;7;4;/data/work/f2/76abf723b71c5ebaf7cad7de1f7807;-;-
19;cpu05;be/b76ae2;nf-beb76ae252612b34cd7b49775eb2a6dc;NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC;sampleID_2a;NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (sampleID_2a);COMPLETED;0;-;quay.io/biocontainers/cutadapt:3.4--py39h38f01e4_1;6;21600000;-;45097156608;1;1669595934366;1669595941000;1669595943000;8634;1000;-;43.9;0.0;3239936;5632000;3239936;5636096;11499722;7853017;830;83;0;589824;4;0;/data/work/be/b76ae252612b34cd7b49775eb2a6dc;-;-
21;node8;79/7947a9;nf-797947a90aafc94346f4470cd601cc08;NFCORE_AMPLISEQ:AMPLISEQ:FASTQC;sampleID_2;NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (sampleID_2);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;45097156608;1;1669595934409;1669595942000;1669595946000;11591;3000;-;190.6;0.1;200523776;4635860992;200523776;4666916864;23251120;5859751;16881;14564;0;6225920;13;9;/data/work/79/7947a90aafc94346f4470cd601cc08;-;-
22;node10;83/d0402d;nf-83d0402df34822fb53f510e299f52b2f;NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC;sampleID_2;NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (sampleID_2);COMPLETED;0;-;quay.io/biocontainers/cutadapt:3.4--py39h38f01e4_1;6;21600000;-;45097156608;1;1669595934444;1669595943000;1669595943000;8556;0;-;103.5;0.0;3170304;5632000;3170304;5636096;11763089;8137846;829;83;0;671744;2;2;/data/work/83/d0402df34822fb53f510e299f52b2f;-;-
28;node8;7b/fae62c;nf-7bfae62ca8cfb32f90f5bbd74ffce3f9;NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC;sampleID_2c;NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (sampleID_2c);COMPLETED;0;-;quay.io/biocontainers/cutadapt:3.4--py39h38f01e4_1;6;21600000;-;45097156608;1;1669595934704;1669595947000;1669595947000;12296;0;-;148.8;0.0;3272704;5632000;3272704;5636096;11762030;8137841;827;83;0;671744;2;0;/data/work/7b/fae62ca8cfb32f90f5bbd74ffce3f9;-;-
