task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;node10;6a/d1d244;nf-6ad1d244da757cbfd73bc6584366694f;CHECK_DESIGN;input.csv;CHECK_DESIGN (input.csv);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670041570260;1670041578000;1670041584000;13740;4981;-;1.4;0.0;3235840;5615616;3235840;5632000;613338;3292;225;13;0;4096;2;0;/data/work/6a/d1d244da757cbfd73bc6584366694f;-;-
3;node8;99/df62af;nf-99df62af89e393fa8d135c0c089b2de1;MAKE_GENE_BED;genes.gtf;MAKE_GENE_BED (genes.gtf);COMPLETED;0;-;nfcore/atacseq:1.2.2;2;21600000;-;12884901888;1;1670041589907;1670041600000;1670041601000;11093;478;-;65.9;0.0;3248128;5615616;3248128;5632000;12185232;400811;1619;61;0;401408;2;2;/data/work/99/df62af89e393fa8d135c0c089b2de1;-;-
4;cpu14;9c/7e22f2;nf-9c7e22f2d2026f79e1a5307e0784a3dd;MAKE_GENOME_FILTER;genome.fa;MAKE_GENOME_FILTER (genome.fa);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670041589953;1670041601000;1670041601000;11047;186;-;56.1;0.0;3354624;5615616;3354624;5632000;12988163;1266;463;17;0;16384;2;2;/data/work/9c/7e22f2d2026f79e1a5307e0784a3dd;-;-
9;cpu05;1d/53622e;nf-1d53622eb7933c814a60902af04e5f5d;FASTQC;OSMOTIC_STRESS_T0B_R1_T1;FASTQC (OSMOTIC_STRESS_T0B_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670041590161;1670041597000;1670041603000;12839;4548;-;226.9;0.2;242302976;4554977280;243052544;4614062080;41553316;4199976;35963;12558;0;4689920;11;3;/data/work/1d/53622eb7933c814a60902af04e5f5d;-;-
2;node10;24/e971ec;nf-24e971ec55e014027ee04c4b6c8c1ad1;BWA_INDEX;genome.fa;BWA_INDEX (genome.fa);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670041589856;1670041598000;1670041604000;14144;6023;-;94.0;0.0;60784640;65286144;60784640;65302528;49257412;33434047;1704;50;0;33468416;176;476;/data/work/24/e971ec55e014027ee04c4b6c8c1ad1;-;-
6;cpu14;c2/999f84;nf-c2999f848f913b7ee50606d3b037ff74;FASTQC;OSMOTIC_STRESS_T0_R2_T1;FASTQC (OSMOTIC_STRESS_T0_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670041590052;1670041600000;1670041606000;15948;5550;-;200.9;0.2;290947072;4557074432;293421056;4614062080;41598212;4172430;36031;12525;0;4808704;11;2;/data/work/c2/999f848f913b7ee50606d3b037ff74;-;-
7;node8;f1/85df75;nf-f185df7587c0b4a5c480195dc4f97ed5;FASTQC;OSMOTIC_STRESS_T0A_R1_T1;FASTQC (OSMOTIC_STRESS_T0A_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670041590088;1670041599000;1670041605000;14912;5566;-;204.5;0.2;289435648;4557074432;294522880;4611964928;41554920;4199966;35970;12535;0;4788224;11;8;/data/work/f1/85df7587c0b4a5c480195dc4f97ed5;-;-
8;node10;fb/fc52b4;nf-fbfc52b4aeaf4e9d7e1946f78489871a;FASTQC;OSMOTIC_STRESS_T0A_R2_T1;FASTQC (OSMOTIC_STRESS_T0A_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670041590124;1670041601000;1670041608000;17876;6524;-;171.0;0.2;293994496;4559638528;298504192;4611964928;41591328;4172526;36015;12525;0;4673536;11;9;/data/work/fb/fc52b4aeaf4e9d7e1946f78489871a;-;-
13;node10;b1/0e3ed3;nf-b10e3ed387b084956e6354ca5dc40303;FASTQC;OSMOTIC_STRESS_T0C_R1_T1;FASTQC (OSMOTIC_STRESS_T0C_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670041590265;1670041601000;1670041607000;16735;5563;-;187.0;0.2;284938240;4557074432;289693696;4611964928;41554895;4199974;35974;12535;0;4608000;11;2;/data/work/b1/0e3ed387b084956e6354ca5dc40303;-;-
61;cpu05;e2/b0fa28;nf-e2b0fa286feff48c42c46cc2cd0b0b92;get_software_versions;-;get_software_versions;COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670041591825;1670041602000;1670041607000;15175;4507;-;90.4;0.0;68235264;4421070848;68235264;4485984256;51674392;40462;13151;111;0;208896;37;76;/data/work/e2/b0fa286feff48c42c46cc2cd0b0b92;-;-
62;cpu14;79/862742;nf-79862742e01be300c3825ad678e387da;output_documentation;-;output_documentation;COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670041591857;1670041605000;1670041606000;14143;372;-;52.4;0.0;3350528;5615616;3350528;5632000;3550804;1315241;582;13;0;1318912;2;2;/data/work/79/862742e01be300c3825ad678e387da;-;-
5;cpu05;24/7130bd;nf-247130bd6ae5ee47f9705fd9317c24ef;FASTQC;OSMOTIC_STRESS_T0_R1_T1;FASTQC (OSMOTIC_STRESS_T0_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670041589992;1670041599000;1670041606000;16008;7102;-;155.4;0.2;296456192;4561260544;299585536;4611964928;41553373;4199878;35998;12604;0;4698112;11;4;/data/work/24/7130bd6ae5ee47f9705fd9317c24ef;-;-
10;cpu14;08/cc0fac;nf-08cc0fac70508c65df4df1b1f0f0f1f2;FASTQC;OSMOTIC_STRESS_T0B_R2_T1;FASTQC (OSMOTIC_STRESS_T0B_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670041590198;1670041603000;1670041608000;17802;5525;-;187.4;0.2;289374208;4557074432;289472512;4614062080;41590177;4172524;36074;12571;0;4730880;11;11;/data/work/08/cc0fac70508c65df4df1b1f0f0f1f2;-;-
15;node8;d5/9020c3;nf-d59020c3b1615de18959cc5b61dc32e8;FASTQC;OSMOTIC_STRESS_T0C_R2_T1;FASTQC (OSMOTIC_STRESS_T0C_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670041590231;1670041602000;1670041609000;18769;6490;-;178.9;0.2;288358400;4557074432;293179392;4614062080;41591600;4172513;36060;12525;0;4677632;11;4;/data/work/d5/9020c3b1615de18959cc5b61dc32e8;-;-
16;cpu05;22/eaa384;nf-22eaa38433f07ff521e9c9e0c6b40421;FASTQC;OSMOTIC_STRESS_T0D_R1_T1;FASTQC (OSMOTIC_STRESS_T0D_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670041590301;1670041604000;1670041610000;19699;5546;-;193.9;0.2;280576000;4557074432;281858048;4611964928;41553373;4199975;35972;12535;0;4628480;13;3;/data/work/22/eaa38433f07ff521e9c9e0c6b40421;-;-
18;node8;9e/3df3a5;nf-9e3df3a5e22d221a3749ceba2e50439b;FASTQC;OSMOTIC_STRESS_T0E_R1_T1;FASTQC (OSMOTIC_STRESS_T0E_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670041590372;1670041603000;1670041608000;17628;5504;-;201.9;0.2;282275840;4557074432;282275840;4614062080;41554430;4199965;35925;12581;0;4616192;11;11;/data/work/9e/3df3a5e22d221a3749ceba2e50439b;-;-
17;cpu14;fe/e338ba;nf-fee338ba459359becfe5cfa1292dfaab;FASTQC;OSMOTIC_STRESS_T0D_R2_T1;FASTQC (OSMOTIC_STRESS_T0D_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670041590338;1670041607000;1670041613000;22662;5795;-;178.8;0.2;292151296;4557074432;292151296;4611964928;41582033;4172524;36074;12502;0;4665344;11;9;/data/work/fe/e338ba459359becfe5cfa1292dfaab;-;-
19;node10;11/4c31fb;nf-114c31fb51df57975bf61d794c32e2c4;FASTQC;OSMOTIC_STRESS_T0E_R2_T1;FASTQC (OSMOTIC_STRESS_T0E_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670041590410;1670041608000;1670041614000;23590;5550;-;191.2;0.2;294604800;4557074432;294699008;4614062080;41583647;4172524;36039;12548;0;4620288;10;9;/data/work/11/4c31fb51df57975bf61d794c32e2c4;-;-
21;node8;64/4ca6df;nf-644ca6dfbffedf4e1a1256bcb14912ac;FASTQC;OSMOTIC_STRESS_T0F_R2_T1;FASTQC (OSMOTIC_STRESS_T0F_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670041590477;1670041611000;1670041617000;26523;6519;-;168.8;0.2;295665664;4557074432;295759872;4614062080;41591667;4172515;36046;12571;0;4644864;10;6;/data/work/64/4ca6dfbffedf4e1a1256bcb14912ac;-;-
63;cpu05;be/20b70e;nf-be20b70e51233c3f6548c5e20e3c72e7;MAKE_TSS_BED;genes.bed;MAKE_TSS_BED (genes.bed);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670041604684;1670041612000;1670041613000;8316;90;-;48.2;0.0;3182592;5615616;3182592;5632000;854753;611012;230;39;0;212992;4;0;/data/work/be/20b70e51233c3f6548c5e20e3c72e7;-;-
20;cpu05;43/135c39;nf-43135c39d52113a8d1d7e7a328c2f8ad;FASTQC;OSMOTIC_STRESS_T0F_R1_T1;FASTQC (OSMOTIC_STRESS_T0F_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670041590445;1670041616000;1670041621000;30555;5543;-;200.6;0.2;288886784;4557074432;293351424;4614062080;41553001;4199975;35935;12627;0;4661248;10;8;/data/work/43/135c39d52113a8d1d7e7a328c2f8ad;-;-
22;cpu14;16/9b65f5;nf-169b65f5fcf60b283f6372657d17aeff;FASTQC;OSMOTIC_STRESS_T15_R1_T1;FASTQC (OSMOTIC_STRESS_T15_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670041590512;1670041613000;1670041618000;27488;5490;-;188.0;0.2;288006144;4557074432;288108544;4614062080;41797090;4175167;36464;12537;0;4657152;10;3;/data/work/16/9b65f5fcf60b283f6372657d17aeff;-;-
23;node10;91/66f742;nf-9166f7428bb21cf130d3d01c4ae46194;FASTQC;OSMOTIC_STRESS_T15_R2_T1;FASTQC (OSMOTIC_STRESS_T15_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670041590543;1670041616000;1670041621000;30457;5517;-;188.4;0.2;284409856;4557074432;288784384;4611964928;41779814;4204865;36426;12561;0;4624384;10;3;/data/work/91/66f7428bb21cf130d3d01c4ae46194;-;-
24;node8;84/edbcfd;nf-84edbcfdce0350bf8267a11a9a1e27ce;FASTQC;OSMOTIC_STRESS_T15A_R1_T1;FASTQC (OSMOTIC_STRESS_T15A_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670041590576;1670041615000;1670041622000;31424;6506;-;152.6;0.2;284782592;4557074432;285786112;4614062080;41798399;4175251;36468;12514;0;4636672;11;8;/data/work/84/edbcfdce0350bf8267a11a9a1e27ce;-;-
25;cpu05;e3/a4aea2;nf-e3a4aea2ac417ca512ef802c375e281d;FASTQC;OSMOTIC_STRESS_T15A_R2_T1;FASTQC (OSMOTIC_STRESS_T15A_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670041590605;1670041619000;1670041624000;33395;5476;-;182.3;0.2;291545088;4557074432;291647488;4611964928;41786254;4204961;36423;12538;0;4636672;10;2;/data/work/e3/a4aea2ac417ca512ef802c375e281d;-;-
