task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;cpu14;a7/f9e1a9;nf-a7f9e1a9d61375f03d371b556b2d9422;CHECK_DESIGN;input.csv;CHECK_DESIGN (input.csv);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670021521354;1670021524000;1670021524000;2646;77;-;56.9;0.0;3174400;5615616;3174400;5632000;613360;3293;225;13;0;4096;11;0;/data/work/a7/f9e1a9d61375f03d371b556b2d9422;-;-
3;node8;2f/ebc079;nf-2febc0797f3aadd12d28acd260c9ebef;MAKE_GENE_BED;genes.gtf;MAKE_GENE_BED (genes.gtf);COMPLETED;0;-;nfcore/atacseq:1.2.2;2;21600000;-;12884901888;1;1670021525938;1670021535000;1670021536000;10062;307;-;97.4;0.0;3092480;5615616;3092480;5632000;12185232;400811;1619;61;0;401408;2;2;/data/work/2f/ebc0797f3aadd12d28acd260c9ebef;-;-
4;node8;38/de6c44;nf-38de6c44b7a92b7168d6482d50add977;MAKE_GENOME_FILTER;genome.fa;MAKE_GENOME_FILTER (genome.fa);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670021525984;1670021543000;1670021543000;17016;201;-;47.0;0.0;3051520;5615616;3051520;5632000;12987944;1257;463;17;0;16384;2;2;/data/work/38/de6c44b7a92b7168d6482d50add977;-;-
5;node8;cb/9b631b;nf-cb9b631bbc5d2f9559c03e4a023eb665;FASTQC;OSMOTIC_STRESS_T0_R1_T1;FASTQC (OSMOTIC_STRESS_T0_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670021526014;1670021538000;1670021544000;17986;5662;-;194.8;0.2;282193920;4557074432;286449664;4611964928;41546735;4199869;35997;12558;0;4857856;11;10;/data/work/cb/9b631bbc5d2f9559c03e4a023eb665;-;-
6;cpu14;07/7d4575;nf-077d4575b81e0ccd65d17ac2fed37b76;FASTQC;OSMOTIC_STRESS_T0_R2_T1;FASTQC (OSMOTIC_STRESS_T0_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670021526047;1670021537000;1670021543000;16953;6781;-;171.6;0.2;288612352;4557074432;293314560;4611964928;41589829;4172430;36035;12502;0;4644864;11;10;/data/work/07/7d4575b81e0ccd65d17ac2fed37b76;-;-
9;cpu14;e9/3489c9;nf-e93489c9677ff2487f961c9630f34ca4;FASTQC;OSMOTIC_STRESS_T0B_R1_T1;FASTQC (OSMOTIC_STRESS_T0B_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670021526153;1670021535000;1670021541000;14847;5538;-;193.6;0.2;293793792;4557074432;293896192;4611964928;41553518;4199976;35984;12558;0;4681728;11;3;/data/work/e9/3489c9677ff2487f961c9630f34ca4;-;-
11;cpu05;58/c12641;nf-58c12641d6ee4b344fe2c1bf83570e66;FASTQC;OSMOTIC_STRESS_T0B_R2_T1;FASTQC (OSMOTIC_STRESS_T0B_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670021526191;1670021536000;1670021543000;16809;6876;-;166.4;0.2;296898560;4561375232;296898560;4611964928;41598801;4172524;36092;12502;0;4771840;11;11;/data/work/58/c12641d6ee4b344fe2c1bf83570e66;-;-
14;node10;1b/a1eac4;nf-1ba1eac4032b1c20afbd991bf2361b5a;FASTQC;OSMOTIC_STRESS_T0C_R1_T1;FASTQC (OSMOTIC_STRESS_T0C_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670021526228;1670021537000;1670021543000;16772;6145;-;183.1;0.2;276418560;4557074432;277401600;4611964928;41555549;4199974;35989;12535;0;4698112;12;5;/data/work/1b/a1eac4032b1c20afbd991bf2361b5a;-;-
15;cpu05;22/45bfb8;nf-2245bfb863de237da6589bd02993d277;FASTQC;OSMOTIC_STRESS_T0C_R2_T1;FASTQC (OSMOTIC_STRESS_T0C_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670021526259;1670021539000;1670021543000;16741;4545;-;231.0;0.2;240271360;4554977280;240271360;4614062080;41590346;4172522;36066;12525;0;4636672;11;3;/data/work/22/45bfb863de237da6589bd02993d277;-;-
16;cpu14;d4/6721b3;nf-d46721b379827675484cb1acf64a0c1c;FASTQC;OSMOTIC_STRESS_T0D_R1_T1;FASTQC (OSMOTIC_STRESS_T0D_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670021526291;1670021536000;1670021541000;14709;4737;-;219.7;0.2;236183552;4552880128;237649920;4611964928;41545067;4199975;35981;12558;0;4591616;11;8;/data/work/d4/6721b379827675484cb1acf64a0c1c;-;-
18;cpu05;1b/2a8d3f;nf-1b2a8d3f4a17e5fb3ec8eb80e12af98a;FASTQC;OSMOTIC_STRESS_T0E_R1_T1;FASTQC (OSMOTIC_STRESS_T0E_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670021526329;1670021537000;1670021543000;16671;6063;-;183.5;0.2;281550848;4561227776;281550848;4611964928;41552926;4199974;35947;12535;0;4722688;11;3;/data/work/1b/2a8d3f4a17e5fb3ec8eb80e12af98a;-;-
