task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;cpu14;2f/a20010;nf-2fa20010d010a2a996581c8fd0f93e92;CHECK_DESIGN;input.csv;CHECK_DESIGN (input.csv);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1669992124513;1669992134000;1669992143000;18487;4965;-;1.4;0.0;3407872;5615616;3407872;5632000;613356;3292;225;13;0;4096;2;0;/data/work/2f/a20010d010a2a996581c8fd0f93e92;-;-
3;node8;0c/22fbae;nf-0c22fbae6eb490e5f077e36ddf32b43f;MAKE_GENE_BED;genes.gtf;MAKE_GENE_BED (genes.gtf);COMPLETED;0;-;nfcore/atacseq:1.2.2;2;21600000;-;12884901888;1;1669992144097;1669992146000;1669992147000;2903;297;-;100.1;0.0;3088384;5615616;3088384;5632000;12185233;400812;1619;61;0;401408;11;0;/data/work/0c/22fbae6eb490e5f077e36ddf32b43f;-;-
62;cpu05;9a/83aa04;nf-9a83aa047ec4216710b0b72731fb31bd;output_documentation;-;output_documentation;COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1669992146038;1669992156000;1669992156000;9962;314;-;77.7;0.0;3129344;5615616;3129344;5632000;3550784;1315241;582;13;0;1318912;2;0;/data/work/9a/83aa047ec4216710b0b72731fb31bd;-;-
2;node10;17/25eaf8;nf-1725eaf8d6a0d2bb36e1780ce6aeea51;BWA_INDEX;genome.fa;BWA_INDEX (genome.fa);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1669992144052;1669992152000;1669992159000;14948;6196;-;86.7;0.0;60731392;65286144;60731392;65302528;49257411;33434047;1704;50;0;33468416;247;447;/data/work/17/25eaf8d6a0d2bb36e1780ce6aeea51;-;-
22;node8;ca/3865a6;nf-ca3865a612b2685b4cd34d2dd2057ef7;FASTQC;OSMOTIC_STRESS_T15_R1_T1;FASTQC (OSMOTIC_STRESS_T15_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1669992144680;1669992151000;1669992159000;14320;7325;-;155.5;0.2;295702528;4557074432;295702528;4611964928;41806832;4175160;36468;12514;0;4644864;11;3;/data/work/ca/3865a612b2685b4cd34d2dd2057ef7;-;-
23;node8;73/8f7eae;nf-738f7eae220647a944c54335b6c37734;FASTQC;OSMOTIC_STRESS_T15_R2_T1;FASTQC (OSMOTIC_STRESS_T15_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1669992144712;1669992155000;1669992160000;15288;4526;-;227.8;0.2;264007680;4562546688;264007680;4614062080;41787653;4204855;36415;12607;0;4624384;11;4;/data/work/73/8f7eae220647a944c54335b6c37734;-;-
24;node10;63/15744c;nf-6315744c673f1eee94932f122b63f1f2;FASTQC;OSMOTIC_STRESS_T15A_R1_T1;FASTQC (OSMOTIC_STRESS_T15A_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1669992144746;1669992154000;1669992160000;15254;6253;-;166.0;0.2;301719552;4557074432;301821952;4614062080;41798680;4175264;36451;12537;0;4612096;11;8;/data/work/63/15744c673f1eee94932f122b63f1f2;-;-
30;cpu14;38/9fcea3;nf-389fcea36fc181aa5fe3fcd5ee59cb48;FASTQC;OSMOTIC_STRESS_T15C_R1_T1;FASTQC (OSMOTIC_STRESS_T15C_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1669992144936;1669992157000;1669992163000;18064;5711;-;173.8;0.2;268873728;4557074432;269836288;4617908224;41797247;4175260;36480;12537;0;4575232;11;9;/data/work/38/9fcea36fc181aa5fe3fcd5ee59cb48;-;-
33;node10;59/2e726b;nf-592e726bdeddd522a1a8c83aea75bbab;FASTQC;OSMOTIC_STRESS_T15D_R1_T1;FASTQC (OSMOTIC_STRESS_T15D_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1669992145155;1669992156000;1669992161000;15845;5568;-;191.2;0.2;302301184;4557074432;302403584;4614062080;41807079;4175263;36476;12537;0;4628480;11;10;/data/work/59/2e726bdeddd522a1a8c83aea75bbab;-;-
36;cpu14;7c/a32884;nf-7ca32884bcf663feda356aac7e280553;FASTQC;OSMOTIC_STRESS_T15E_R1_T1;FASTQC (OSMOTIC_STRESS_T15E_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1669992145220;1669992156000;1669992162000;16780;6219;-;158.9;0.2;267788288;4557074432;267890688;4611964928;41796981;4175262;36478;12491;0;4632576;11;6;/data/work/7c/a32884bcf663feda356aac7e280553;-;-
