task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;cpu14;9a/2f2793;nf-9a2f2793e0596c0d940792bb73ad0e34;CHECK_DESIGN;input.csv;CHECK_DESIGN (input.csv);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1669992985255;1669992996000;1669993003000;17745;4981;-;1.4;0.0;3231744;5615616;3231744;5632000;613357;3292;225;13;0;4096;2;2;/data/work/9a/2f2793e0596c0d940792bb73ad0e34;-;-
3;node8;ca/b8a14c;nf-cab8a14ccdc7dc3f8d3c3067c38e7d60;MAKE_GENE_BED;genes.gtf;MAKE_GENE_BED (genes.gtf);COMPLETED;0;-;nfcore/atacseq:1.2.2;2;21600000;-;12884901888;1;1669993004861;1669993009000;1669993009000;4139;308;-;97.4;0.0;3072000;5615616;3072000;5632000;12185231;400811;1619;61;0;401408;5;0;/data/work/ca/b8a14ccdc7dc3f8d3c3067c38e7d60;-;-
24;cpu05;23/3d8196;nf-233d81961147de0f55011bc68b1108da;FASTQC;OSMOTIC_STRESS_T15A_R1_T1;FASTQC (OSMOTIC_STRESS_T15A_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1669993005502;1669993013000;1669993018000;12498;4570;-;222.9;0.2;245792768;4552880128;246464512;4614062080;41796829;4175264;36464;12537;0;4595712;11;13;/data/work/23/3d81961147de0f55011bc68b1108da;-;-
38;cpu05;77/d6b278;nf-77d6b2781e1cfd4ff9c88e4c4184067e;FASTQC;OSMOTIC_STRESS_T15E_R1_T1;FASTQC (OSMOTIC_STRESS_T15E_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1669993006018;1669993014000;1669993019000;12982;5515;-;190.6;0.2;297140224;4557074432;298971136;4617908224;41804650;4175263;36430;12537;0;4595712;11;13;/data/work/77/d6b2781e1cfd4ff9c88e4c4184067e;-;-
2;cpu05;3b/1d202c;nf-3b1d202cca465e129610faaaf27ccec2;BWA_INDEX;genome.fa;BWA_INDEX (genome.fa);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1669993004808;1669993013000;1669993019000;14192;5947;-;90.5;0.0;60620800;65286144;60620800;65302528;49257416;33434047;1704;50;0;33468416;273;482;/data/work/3b/1d202cca465e129610faaaf27ccec2;-;-
4;node10;70/9e64eb;nf-709e64eb1d00fea7a51d275deff0adc6;MAKE_GENOME_FILTER;genome.fa;MAKE_GENOME_FILTER (genome.fa);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1669993004907;1669993020000;1669993021000;16093;146;-;69.8;0.0;3350528;5615616;3350528;5632000;12988141;1266;463;17;0;16384;4;3;/data/work/70/9e64eb1d00fea7a51d275deff0adc6;-;-
22;cpu14;ad/b34317;nf-adb343175f0c0ff2c7fd0ea397478895;FASTQC;OSMOTIC_STRESS_T15_R1_T1;FASTQC (OSMOTIC_STRESS_T15_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1669993005433;1669993016000;1669993022000;16567;5561;-;199.9;0.2;290238464;4557074432;295006208;4614062080;41805079;4175169;36444;12537;249856;4665344;12;9;/data/work/ad/b343175f0c0ff2c7fd0ea397478895;-;-
26;node8;e8/99c4e6;nf-e899c4e6326f1dc2a9d5dd1ee27852cd;FASTQC;OSMOTIC_STRESS_T15B_R1_T1;FASTQC (OSMOTIC_STRESS_T15B_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1669993005630;1669993013000;1669993020000;14370;6694;-;169.4;0.2;292360192;4557074432;296964096;4614062080;41798404;4175256;36442;12491;0;4706304;11;11;/data/work/e8/99c4e6326f1dc2a9d5dd1ee27852cd;-;-
30;node10;20/cdfa25;nf-20cdfa2570353a6ff4813ee18574e689;FASTQC;OSMOTIC_STRESS_T15C_R1_T1;FASTQC (OSMOTIC_STRESS_T15C_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1669993005757;1669993014000;1669993020000;14243;6499;-;171.7;0.2;293859328;4557074432;296304640;4614062080;41806563;4175261;36448;12560;0;4640768;11;4;/data/work/20/cdfa2570353a6ff4813ee18574e689;-;-
34;cpu14;51/3c4da0;nf-513c4da07e004f5b4555d59f256bdaa0;FASTQC;OSMOTIC_STRESS_T15D_R1_T1;FASTQC (OSMOTIC_STRESS_T15D_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1669993005894;1669993018000;1669993024000;18106;6533;-;168.5;0.2;294043648;4557074432;296501248;4611964928;41796287;4175263;36411;12514;0;4657152;11;11;/data/work/51/3c4da07e004f5b4555d59f256bdaa0;-;-
