task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;node10;92/d41423;nf-92d41423874fae22aa44d7eb1c1a660f;CHECK_DESIGN;input.csv;CHECK_DESIGN (input.csv);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670069934414;1670069943000;1670069950000;15586;4971;-;1.0;0.0;3260416;5615616;3260416;5632000;613339;3292;225;13;0;4096;2;0;/data/work/92/d41423874fae22aa44d7eb1c1a660f;-;-
3;node8;51/f57921;nf-51f57921a751d1ff0d4221e32c2de2cf;MAKE_GENE_BED;genes.gtf;MAKE_GENE_BED (genes.gtf);COMPLETED;0;-;nfcore/atacseq:1.2.2;2;21600000;-;12884901888;1;1670070020499;1670070027000;1670070027000;6501;333;-;90.3;0.0;3244032;5615616;3244032;5632000;12185232;400811;1619;61;0;401408;2;0;/data/work/51/f57921a751d1ff0d4221e32c2de2cf;-;-
2;node10;eb/d612a2;nf-ebd612a27f768ea4d1155097111770a7;BWA_INDEX;genome.fa;BWA_INDEX (genome.fa);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670070020449;1670070026000;1670070033000;12551;5966;-;94.2;0.0;60678144;65286144;60678144;65302528;49257411;33434047;1704;50;0;33468416;299;539;/data/work/eb/d612a27f768ea4d1155097111770a7;-;-
12;node8;0e/2616ec;nf-0e2616ec01ce11479575efd7cf28489a;FASTQC;OSMOTIC_STRESS_T0B_R1_T1;FASTQC (OSMOTIC_STRESS_T0B_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670070020735;1670070028000;1670070034000;13265;5183;-;191.6;0.1;196210688;4549033984;196210688;4611964928;41554780;4199966;36005;12535;0;4595712;11;5;/data/work/0e/2616ec01ce11479575efd7cf28489a;-;-
14;node10;9c/3dde87;nf-9c3dde872511f479cc9122367d7a2a46;FASTQC;OSMOTIC_STRESS_T0C_R1_T1;FASTQC (OSMOTIC_STRESS_T0C_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670070020797;1670070027000;1670070033000;12203;4670;-;218.8;0.2;238338048;4552880128;238338048;4614062080;41555036;4199974;35993;12535;0;4620288;11;3;/data/work/9c/3dde872511f479cc9122367d7a2a46;-;-
62;cpu05;a0/aa582e;nf-a0aa582e30a5e9c7523cae6dc738ca1f;output_documentation;-;output_documentation;COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670070022427;1670070030000;1670070030000;7573;354;-;57.3;0.0;3149824;5615616;3149824;5632000;3550786;1315241;582;13;81920;1318912;4;4;/data/work/a0/aa582e30a5e9c7523cae6dc738ca1f;-;-
63;node8;d2/a72409;nf-d2a724094377fe47b88a199779c7e01c;MAKE_TSS_BED;genes.bed;MAKE_TSS_BED (genes.bed);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670070030488;1670070035000;1670070035000;4512;43;-;55.8;0.0;3297280;5615616;3297280;5632000;854550;611003;230;39;0;212992;6;5;/data/work/d2/a724094377fe47b88a199779c7e01c;-;-
4;cpu05;aa/d6298a;nf-aad6298aa95faa142733ba55cd3b98cf;MAKE_GENOME_FILTER;genome.fa;MAKE_GENOME_FILTER (genome.fa);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670070020551;1670070031000;1670070031000;10449;184;-;72.0;0.0;3280896;5615616;3280896;5632000;12988147;1266;463;17;282624;16384;2;2;/data/work/aa/d6298aa95faa142733ba55cd3b98cf;-;-
18;node10;47/09f044;nf-4709f044c1d85bfa404cfcd07167c0f5;FASTQC;OSMOTIC_STRESS_T0E_R1_T1;FASTQC (OSMOTIC_STRESS_T0E_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670070020992;1670070029000;1670070034000;13008;5063;-;201.8;0.2;207331328;4552880128;207331328;4611964928;41554951;4199974;35959;12581;0;4608000;11;10;/data/work/47/09f044c1d85bfa404cfcd07167c0f5;-;-
5;cpu14;c8/f32611;nf-c8f32611b48ebc4fccb8badc66918464;FASTQC;OSMOTIC_STRESS_T0_R1_T1;FASTQC (OSMOTIC_STRESS_T0_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670070020588;1670070033000;1670070040000;19412;6113;-;175.1;0.2;290705408;4557074432;290807808;4614062080;41545000;4199878;35969;12535;0;4726784;11;4;/data/work/c8/f32611b48ebc4fccb8badc66918464;-;-
6;node10;d6/f0cd91;nf-d6f0cd91cff5f43dd6669bec22762ec1;FASTQC;OSMOTIC_STRESS_T0_R2_T1;FASTQC (OSMOTIC_STRESS_T0_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670070020624;1670070037000;1670070042000;21376;4489;-;231.0;0.2;242089984;4557074432;242089984;4611964928;41591346;4172430;36017;12502;0;4616192;10;3;/data/work/d6/f0cd91cff5f43dd6669bec22762ec1;-;-
