task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;cpu05;aa/838bed;nf-aa838bed6b0030c5fe6c8e2b6447d37e;CHECK_DESIGN;input.csv;CHECK_DESIGN (input.csv);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670068245615;1670068256000;1670068265000;19385;4978;-;1.4;0.0;3297280;5615616;3297280;5632000;613342;3292;225;13;0;4096;2;2;/data/work/aa/838bed6b0030c5fe6c8e2b6447d37e;-;-
3;node8;fa/e0241c;nf-fae0241c00449a5e6b3c91a74e19a7ca;MAKE_GENE_BED;genes.gtf;MAKE_GENE_BED (genes.gtf);COMPLETED;0;-;nfcore/atacseq:1.2.2;2;21600000;-;12884901888;1;1670068275449;1670068279000;1670068280000;4551;305;-;97.9;0.0;3198976;5615616;3198976;5632000;12185231;400811;1619;61;0;401408;11;0;/data/work/fa/e0241c00449a5e6b3c91a74e19a7ca;-;-
62;cpu14;f1/5a5a0e;nf-f15a5a0e795bb295699a919621696ad6;output_documentation;-;output_documentation;COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670068277388;1670068285000;1670068285000;7612;280;-;75.7;0.0;3268608;5615616;3268608;5632000;3550803;1315241;582;13;0;1318912;8;8;/data/work/f1/5a5a0e795bb295699a919621696ad6;-;-
61;node8;ee/71ee6f;nf-ee71ee6f7eedadb2a05be2c6abe62ff4;get_software_versions;-;get_software_versions;COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670068277356;1670068282000;1670068287000;9644;4628;-;91.0;0.0;69763072;4421070848;69763072;4485984256;51676168;40453;13123;111;0;221184;46;68;/data/work/ee/71ee6f7eedadb2a05be2c6abe62ff4;-;-
4;node8;8b/033c0f;nf-8b033c0f8e1aa719997509e8544b15fe;MAKE_GENOME_FILTER;genome.fa;MAKE_GENOME_FILTER (genome.fa);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670068275495;1670068292000;1670068292000;16505;181;-;62.3;0.0;4853760;12120064;4853760;12136448;12987944;1257;463;17;0;16384;8;10;/data/work/8b/033c0f8e1aa719997509e8544b15fe;-;-
5;node10;e9/c00230;nf-e9c002307f162b04cbf72a7c82044d0a;FASTQC;OSMOTIC_STRESS_T0_R1_T1;FASTQC (OSMOTIC_STRESS_T0_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670068275536;1670068288000;1670068292000;16464;4523;-;216.9;0.2;247783424;4557541376;247783424;4614062080;41555055;4199877;35994;12581;0;4698112;11;3;/data/work/e9/c002307f162b04cbf72a7c82044d0a;-;-
7;cpu05;c8/e50efc;nf-c8e50efc06c59081f3f68947f345de24;FASTQC;OSMOTIC_STRESS_T0A_R1_T1;FASTQC (OSMOTIC_STRESS_T0A_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670068275604;1670068288000;1670068292000;16396;4510;-;219.6;0.2;235384832;4554977280;235384832;4614062080;41553429;4199974;35979;12535;0;4694016;11;3;/data/work/c8/e50efc06c59081f3f68947f345de24;-;-
9;node8;ff/5d3a95;nf-ff5d3a9532ad665d3390865088168d69;FASTQC;OSMOTIC_STRESS_T0B_R1_T1;FASTQC (OSMOTIC_STRESS_T0B_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670068275669;1670068289000;1670068294000;18331;4532;-;229.3;0.2;256401408;4557074432;256401408;4614062080;41554669;4199967;35947;12581;0;4640768;11;9;/data/work/ff/5d3a9532ad665d3390865088168d69;-;-
14;cpu05;c1/dd05ff;nf-c1dd05ff7c708c7fd869ba7530c3075f;FASTQC;OSMOTIC_STRESS_T0C_R1_T1;FASTQC (OSMOTIC_STRESS_T0C_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670068275702;1670068287000;1670068291000;15298;4547;-;228.3;0.2;258416640;4557074432;258416640;4611964928;41545248;4199974;35978;12581;0;4677632;11;11;/data/work/c1/dd05ff7c708c7fd869ba7530c3075f;-;-
16;cpu14;1c/085c30;nf-1c085c3077a1c6863292de37e14f4b59;FASTQC;OSMOTIC_STRESS_T0D_R1_T1;FASTQC (OSMOTIC_STRESS_T0D_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670068275806;1670068286000;1670068291000;15194;5478;-;201.5;0.2;286945280;4557074432;291717120;4614062080;41553175;4199975;35972;12581;0;4702208;11;9;/data/work/1c/085c3077a1c6863292de37e14f4b59;-;-
63;cpu14;5f/3c551b;nf-5f3c551b12c5653db10e9bc42d8853e7;MAKE_TSS_BED;genes.bed;MAKE_TSS_BED (genes.bed);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670068285470;1670068293000;1670068293000;7530;65;-;55.4;0.0;3207168;5615616;3207168;5632000;854771;611012;230;39;0;212992;4;3;/data/work/5f/3c551b12c5653db10e9bc42d8853e7;-;-
2;node10;13/b99910;nf-13b99910abc557ac68c2b6d0f48feba0;BWA_INDEX;genome.fa;BWA_INDEX (genome.fa);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670068275400;1670068289000;1670068294000;18600;5805;-;95.0;0.0;60891136;65286144;60891136;65302528;49257412;33434047;1704;50;0;33468416;309;504;/data/work/13/b99910abc557ac68c2b6d0f48feba0;-;-
18;cpu14;fc/770a59;nf-fc770a595b8da4fee2c2cea56586c5be;FASTQC;OSMOTIC_STRESS_T0E_R1_T1;FASTQC (OSMOTIC_STRESS_T0E_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670068275875;1670068288000;1670068293000;17125;5516;-;200.8;0.2;288374784;4557074432;293257216;4614062080;41553164;4199974;35948;12627;0;4734976;11;4;/data/work/fc/770a595b8da4fee2c2cea56586c5be;-;-
20;node10;9e/2573ea;nf-9e2573ea1f7a8a276585f8417242c74f;FASTQC;OSMOTIC_STRESS_T0F_R1_T1;FASTQC (OSMOTIC_STRESS_T0F_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670068275943;1670068289000;1670068294000;18057;5491;-;199.4;0.2;288768000;4557074432;293629952;4614062080;41554782;4199975;35965;12558;0;4644864;11;12;/data/work/9e/2573ea1f7a8a276585f8417242c74f;-;-
10;node8;e5/9e2a10;nf-e59e2a104d3fc34faff5b540e610eac0;TRIMGALORE;OSMOTIC_STRESS_T0_R1_T1;TRIMGALORE (OSMOTIC_STRESS_T0_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670068276011;1670068286000;1670068296000;19989;10207;-;231.5;0.2;265080832;3212267520;269922304;3269255168;341835988;291748845;56620;25530;0;24915968;5136;153;/data/work/e5/9e2a104d3fc34faff5b540e610eac0;-;-
6;cpu14;7b/2fcf91;nf-7b2fcf9164ffd05364f4b9e9ab8fc708;FASTQC;OSMOTIC_STRESS_T0_R2_T1;FASTQC (OSMOTIC_STRESS_T0_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670068275572;1670068290000;1670068297000;21428;6534;-;174.7;0.2;287088640;4557074432;291549184;4614062080;41598231;4172430;36033;12548;0;4743168;11;10;/data/work/7b/2fcf9164ffd05364f4b9e9ab8fc708;-;-
11;cpu05;ee/ea31ce;nf-eeea31cebca7815d00bb53f2d07fd407;FASTQC;OSMOTIC_STRESS_T0B_R2_T1;FASTQC (OSMOTIC_STRESS_T0B_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670068275736;1670068297000;1670068302000;26264;4507;-;229.3;0.2;248631296;4557074432;251744256;4614062080;41598060;4172524;36043;12548;0;4624384;11;10;/data/work/ee/ea31cebca7815d00bb53f2d07fd407;-;-
15;node8;e3/8a18cb;nf-e38a18cb8cbdcba4a2c3d52b766f98ea;FASTQC;OSMOTIC_STRESS_T0C_R2_T1;FASTQC (OSMOTIC_STRESS_T0C_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670068275769;1670068297000;1670068302000;26231;4493;-;226.7;0.2;285282304;4557074432;285282304;4614062080;41591628;4172513;36065;12571;0;4583424;11;11;/data/work/e3/8a18cb8cbdcba4a2c3d52b766f98ea;-;-
13;cpu05;28/c5585c;nf-28c5585c949b97f732e8391375cb1674;TRIMGALORE;OSMOTIC_STRESS_T0A_R1_T1;TRIMGALORE (OSMOTIC_STRESS_T0A_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670068276144;1670068290000;1670068300000;23856;10195;-;218.4;0.2;270856192;3215089664;270856192;3267244032;341835269;291749026;56505;25530;0;24846336;4380;145;/data/work/28/c5585c949b97f732e8391375cb1674;-;-
