task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;cpu14;2d/005f8a;nf-2d005f8a19c4bfda47e3097cd05d7ead;CHECK_DESIGN;input.csv;CHECK_DESIGN (input.csv);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670050910593;1670050913000;1670050913000;2407;71;-;60.4;0.0;3309568;5615616;3309568;5632000;613362;3293;225;13;0;4096;10;0;/data/work/2d/005f8a19c4bfda47e3097cd05d7ead;-;-
62;cpu14;07/df18ab;nf-07df18ab404c78a4fc2971f5949cbc66;output_documentation;-;output_documentation;COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670050917135;1670050924000;1670050924000;6865;277;-;76.5;0.0;3252224;5615616;3252224;5632000;3550804;1315241;582;13;0;1318912;3;3;/data/work/07/df18ab404c78a4fc2971f5949cbc66;-;-
2;node10;94/627d11;nf-94627d11207b001dff77d421cec2ec50;BWA_INDEX;genome.fa;BWA_INDEX (genome.fa);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670050915154;1670050923000;1670050929000;13846;5888;-;94.4;0.0;60747776;65286144;60747776;65302528;49257411;33434047;1704;50;0;33468416;351;494;/data/work/94/627d11207b001dff77d421cec2ec50;-;-
3;node8;37/bfde91;nf-37bfde91f47c749b3163098750e14a1c;MAKE_GENE_BED;genes.gtf;MAKE_GENE_BED (genes.gtf);COMPLETED;0;-;nfcore/atacseq:1.2.2;2;21600000;-;12884901888;1;1670050915201;1670050924000;1670050925000;9799;391;-;71.9;0.0;3186688;5615616;3186688;5632000;12185232;400811;1619;61;0;401408;2;3;/data/work/37/bfde91f47c749b3163098750e14a1c;-;-
5;node10;19/ebe98e;nf-19ebe98e7cb67b7d475342a712f36586;FASTQC;OSMOTIC_STRESS_T0_R1_T1;FASTQC (OSMOTIC_STRESS_T0_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670050915324;1670050922000;1670050928000;12676;5713;-;186.5;0.2;296329216;4557074432;296329216;4559814656;41546973;4199878;35977;12581;0;4661248;11;4;/data/work/19/ebe98e7cb67b7d475342a712f36586;-;-
16;node10;85/8dc81d;nf-858dc81dc810520e6961fc84ad03ab32;FASTQC;OSMOTIC_STRESS_T0D_R1_T1;FASTQC (OSMOTIC_STRESS_T0D_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670050915582;1670050923000;1670050928000;12418;4498;-;216.3;0.2;239669248;4557074432;239669248;4617908224;41554771;4199974;35968;12558;0;4608000;11;10;/data/work/85/8dc81dc810520e6961fc84ad03ab32;-;-
4;cpu14;8f/4ac1af;nf-8f4ac1af145da54f4e03f804ff2f9a1c;MAKE_GENOME_FILTER;genome.fa;MAKE_GENOME_FILTER (genome.fa);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670050915249;1670050929000;1670050929000;13751;183;-;57.7;0.0;4911104;12120064;4911104;12136448;12988166;1266;463;17;12288;16384;8;13;/data/work/8f/4ac1af145da54f4e03f804ff2f9a1c;-;-
7;node8;10/055a5d;nf-10055a5dff192bf04ca4cd8944fbca2e;FASTQC;OSMOTIC_STRESS_T0A_R1_T1;FASTQC (OSMOTIC_STRESS_T0A_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670050915363;1670050922000;1670050929000;13637;6489;-;171.4;0.2;291983360;4557713408;292085760;4611964928;41546905;4199966;35987;12535;0;4796416;11;11;/data/work/10/055a5dff192bf04ca4cd8944fbca2e;-;-
8;cpu05;7f/65500a;nf-7f65500a1837cb85046ba82e1991c1a0;FASTQC;OSMOTIC_STRESS_T0A_R2_T1;FASTQC (OSMOTIC_STRESS_T0A_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670050915397;1670050927000;1670050933000;17603;5550;-;189.8;0.2;298844160;4557074432;301174784;4614062080;41590063;4172526;36038;12525;0;4698112;11;11;/data/work/7f/65500a1837cb85046ba82e1991c1a0;-;-
14;cpu14;7c/203d32;nf-7c203d3216726eddb9aa0a24352e7786;FASTQC;OSMOTIC_STRESS_T0C_R1_T1;FASTQC (OSMOTIC_STRESS_T0C_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670050915517;1670050926000;1670050932000;16483;5539;-;189.8;0.2;279371776;4557172736;282910720;4616159232;41553280;4199974;35988;12581;241664;4689920;11;10;/data/work/7c/203d3216726eddb9aa0a24352e7786;-;-
