task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;cpu05;6c/d183fb;nf-6cd183fbf3b13f4e0541bdac8bece09d;CHECK_DESIGN;input.csv;CHECK_DESIGN (input.csv);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670020673926;1670020676000;1670020676000;2074;66;-;75.3;0.0;3305472;5615616;3305472;5632000;613343;3293;225;13;0;4096;11;0;/data/work/6c/d183fbf3b13f4e0541bdac8bece09d;-;-
3;cpu14;76/be7759;nf-76be7759ec8778fa4099da2694bdb473;MAKE_GENE_BED;genes.gtf;MAKE_GENE_BED (genes.gtf);COMPLETED;0;-;nfcore/atacseq:1.2.2;2;21600000;-;12884901888;1;1670020678649;1670020686000;1670020687000;8351;315;-;91.5;0.0;3391488;5615616;3391488;5632000;12185451;400820;1619;61;0;401408;2;1;/data/work/76/be7759ec8778fa4099da2694bdb473;-;-
6;cpu05;c2/bd99c0;nf-c2bd99c0262f672864cde245e685b9f9;FASTQC;OSMOTIC_STRESS_T0_R2_T1;FASTQC (OSMOTIC_STRESS_T0_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670020678713;1670020684000;1670020689000;10287;4551;-;228.1;0.2;257363968;4557074432;257363968;4614062080;41598057;4172430;36045;12594;0;4702208;11;10;/data/work/c2/bd99c0262f672864cde245e685b9f9;-;-
11;cpu05;b4/4132f9;nf-b44132f96d0ccb763cd12a4ff2c10518;FASTQC;OSMOTIC_STRESS_T0A_R2_T1;FASTQC (OSMOTIC_STRESS_T0A_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670020678803;1670020684000;1670020689000;10197;4526;-;229.8;0.2;256905216;4557074432;256905216;4614062080;41589937;4172526;36026;12548;0;4681728;11;11;/data/work/b4/4132f96d0ccb763cd12a4ff2c10518;-;-
2;node10;2f/adab3d;nf-2fadab3d15c3abf465b878aeca5b9078;BWA_INDEX;genome.fa;BWA_INDEX (genome.fa);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670020678616;1670020688000;1670020695000;16384;6071;-;92.9;0.0;60571648;65286144;60571648;65302528;49257412;33434047;1704;50;0;33468416;334;466;/data/work/2f/adab3d15c3abf465b878aeca5b9078;-;-
4;node8;a4/42a9ff;nf-a442a9ffed725e408a1d9c04c7b1a4f1;MAKE_GENOME_FILTER;genome.fa;MAKE_GENOME_FILTER (genome.fa);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670020678682;1670020695000;1670020695000;16318;342;-;31.3;0.0;3117056;5615616;3117056;5632000;12987943;1257;463;17;0;16384;2;3;/data/work/a4/42a9ffed725e408a1d9c04c7b1a4f1;-;-
5;node8;63/7c4860;nf-637c4860e763a42fa67fef689a335951;FASTQC;OSMOTIC_STRESS_T0_R1_T1;FASTQC (OSMOTIC_STRESS_T0_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670020678741;1670020689000;1670020694000;15259;4676;-;211.3;0.2;230866944;4554977280;230866944;4614062080;41555354;4199868;36016;12558;0;4784128;11;10;/data/work/63/7c4860e763a42fa67fef689a335951;-;-
7;cpu14;fa/26aad9;nf-fa26aad950c25c4f18b43450005debfe;FASTQC;OSMOTIC_STRESS_T0A_R1_T1;FASTQC (OSMOTIC_STRESS_T0A_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670020678774;1670020687000;1670020694000;15226;6508;-;175.0;0.2;287793152;4557074432;292429824;4614062080;41553521;4199975;35979;12535;0;4661248;11;11;/data/work/fa/26aad950c25c4f18b43450005debfe;-;-
13;cpu14;14/3fba5f;nf-143fba5fb45e4d6209a0dd46ec558dc3;FASTQC;OSMOTIC_STRESS_T0B_R2_T1;FASTQC (OSMOTIC_STRESS_T0B_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670020678863;1670020691000;1670020695000;16137;4520;-;229.5;0.2;260710400;4557434880;260710400;4614062080;41590146;4172524;36044;12502;0;4612096;58;9;/data/work/14/3fba5fb45e4d6209a0dd46ec558dc3;-;-
14;node10;8c/b1a26a;nf-8cb1a26a1e2b46dd17e160faa504bd05;FASTQC;OSMOTIC_STRESS_T0C_R1_T1;FASTQC (OSMOTIC_STRESS_T0C_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670020678894;1670020689000;1670020695000;16106;5835;-;188.0;0.2;288317440;4562292736;288317440;4614062080;41555211;4199974;35984;12581;0;4640768;11;10;/data/work/8c/b1a26a1e2b46dd17e160faa504bd05;-;-
15;cpu05;97/580813;nf-97580813f1225b8c115643a6bb70794b;FASTQC;OSMOTIC_STRESS_T0C_R2_T1;FASTQC (OSMOTIC_STRESS_T0C_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670020679056;1670020687000;1670020693000;13944;5500;-;192.5;0.2;291856384;4557074432;294211584;4614062080;41589750;4172522;36033;12571;0;4689920;11;10;/data/work/97/580813f1225b8c115643a6bb70794b;-;-
16;node8;03/108af8;nf-03108af86695231a10a88a57435c8826;FASTQC;OSMOTIC_STRESS_T0D_R1_T1;FASTQC (OSMOTIC_STRESS_T0D_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670020679084;1670020690000;1670020697000;17916;6570;-;161.2;0.2;286531584;4557074432;291209216;4614062080;41554657;4199966;35968;12558;0;4841472;12;11;/data/work/03/108af86695231a10a88a57435c8826;-;-
20;cpu14;cc/57b2f9;nf-cc57b2f9a8d60c866851acce864689b9;FASTQC;OSMOTIC_STRESS_T0E_R1_T1;FASTQC (OSMOTIC_STRESS_T0E_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670020679142;1670020691000;1670020695000;15858;4574;-;224.4;0.2;246218752;4554977280;246218752;4614062080;41553328;4199974;35996;12604;0;4608000;66;10;/data/work/cc/57b2f9a8d60c866851acce864689b9;-;-
17;node10;43/e93337;nf-43e933379a78cd1262ae8e767f636767;FASTQC;OSMOTIC_STRESS_T0D_R2_T1;FASTQC (OSMOTIC_STRESS_T0D_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670020679171;1670020691000;1670020695000;15829;4535;-;228.5;0.2;260030464;4557451264;260030464;4614062080;41591714;4172524;36034;12502;0;4620288;11;11;/data/work/43/e933379a78cd1262ae8e767f636767;-;-
61;cpu05;1f/848ba2;nf-1f848ba221a11d6f50079505d146854e;get_software_versions;-;get_software_versions;COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670020680345;1670020690000;1670020694000;13655;4751;-;89.6;0.0;67121152;4421070848;67121152;4485984256;51674294;40447;13141;111;0;208896;59;94;/data/work/1f/848ba221a11d6f50079505d146854e;-;-
62;node8;1d/915ab0;nf-1d915ab0061c5d4bd01c6c327f741b7f;output_documentation;-;output_documentation;COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670020680373;1670020694000;1670020695000;14627;274;-;75.5;0.0;3080192;5615616;3080192;5632000;3550584;1315232;582;13;0;1318912;2;3;/data/work/1d/915ab0061c5d4bd01c6c327f741b7f;-;-
63;cpu05;82/19e8a5;nf-8219e8a5494eccec607c8a08136e8355;MAKE_TSS_BED;genes.bed;MAKE_TSS_BED (genes.bed);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670020693609;1670020699000;1670020699000;5391;78;-;56.7;0.0;3215360;5615616;3215360;5632000;854751;611012;230;39;0;212992;4;0;/data/work/82/19e8a5494eccec607c8a08136e8355;-;-
12;node8;8a/741cb9;nf-8a741cb929cb2a488dec1f872a5ac20a;FASTQC;OSMOTIC_STRESS_T0B_R1_T1;FASTQC (OSMOTIC_STRESS_T0B_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670020678832;1670020692000;1670020699000;20168;6594;-;162.6;0.2;285945856;4557074432;288100352;4611964928;41555021;4199967;35982;12581;0;4907008;11;11;/data/work/8a/741cb929cb2a488dec1f872a5ac20a;-;-
9;cpu05;e8/3ee995;nf-e83ee99543d2f2d3cc786dbe2a88183b;TRIMGALORE;OSMOTIC_STRESS_T0_R2_T1;TRIMGALORE (OSMOTIC_STRESS_T0_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670020678920;1670020701000;1670020711000;32080;10089;-;225.0;0.2;269209600;3212386304;269549568;3271471104;344128174;294033597;56424;25692;0;25067520;5127;150;/data/work/e8/3ee99543d2f2d3cc786dbe2a88183b;-;-
21;cpu14;aa/d60a7f;nf-aad60a7f4914601bd57ca3d2cbe5cc45;FASTQC;OSMOTIC_STRESS_T0E_R2_T1;FASTQC (OSMOTIC_STRESS_T0E_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670020679256;1670020708000;1670020715000;35744;6511;-;172.1;0.2;286621696;4557074432;288792576;4614062080;41590807;4172524;36107;12548;0;4640768;10;9;/data/work/aa/d60a7f4914601bd57ca3d2cbe5cc45;-;-
