task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;node10;dc/4f5ed1;nf-dc4f5ed18f767011c246b31d0ed1f72f;CHECK_DESIGN;input.csv;CHECK_DESIGN (input.csv);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670009703260;1670009713000;1670009724000;20740;4981;-;1.0;0.0;3174400;5615616;3174400;5632000;613337;3292;225;13;0;4096;2;0;/data/work/dc/4f5ed18f767011c246b31d0ed1f72f;-;-
3;node8;05/c97ac6;nf-05c97ac6cd3e66a82e7888eea35de669;MAKE_GENE_BED;genes.gtf;MAKE_GENE_BED (genes.gtf);COMPLETED;0;-;nfcore/atacseq:1.2.2;2;21600000;-;12884901888;1;1670009734212;1670009744000;1670009745000;10788;585;-;53.8;0.0;3014656;5615616;3014656;5632000;12185231;400811;1619;61;0;401408;2;2;/data/work/05/c97ac6cd3e66a82e7888eea35de669;-;-
4;node10;50/886ff8;nf-50886ff84568d8e5dc9aaee34f4cbac0;MAKE_GENOME_FILTER;genome.fa;MAKE_GENOME_FILTER (genome.fa);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670009734256;1670009746000;1670009746000;11744;123;-;82.1;0.0;3309568;5615616;3309568;5632000;12988141;1266;463;17;0;16384;2;2;/data/work/50/886ff84568d8e5dc9aaee34f4cbac0;-;-
61;cpu05;6b/17a607;nf-6b17a60734caf2b91d4e0cb919be7cb9;get_software_versions;-;get_software_versions;COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670009736175;1670009741000;1670009747000;10825;5107;-;82.0;0.1;97157120;4513099776;97157120;4513165312;51674387;40463;13117;111;0;229376;54;63;/data/work/6b/17a60734caf2b91d4e0cb919be7cb9;-;-
62;node8;19/0ca684;nf-190ca68418577ae1c55055ad4328253b;output_documentation;-;output_documentation;COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670009736207;1670009748000;1670009748000;11793;317;-;63.6;0.0;3059712;5615616;3059712;5632000;3550584;1315232;582;13;0;1318912;2;3;/data/work/19/0ca68418577ae1c55055ad4328253b;-;-
2;node10;e5/732c9c;nf-e5732c9c4bec2de1c024e5f6650c1eef;BWA_INDEX;genome.fa;BWA_INDEX (genome.fa);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670009734164;1670009745000;1670009751000;16836;5922;-;95.1;0.0;60796928;65286144;60796928;65302528;49257411;33434047;1704;50;0;33468416;419;511;/data/work/e5/732c9c4bec2de1c024e5f6650c1eef;-;-
13;cpu14;9d/dc46ae;nf-9ddc46ae7c81a00afc429f411a8ed536;FASTQC;OSMOTIC_STRESS_T0B_R2_T1;FASTQC (OSMOTIC_STRESS_T0B_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670009734471;1670009744000;1670009751000;16529;6527;-;162.4;0.2;291946496;4557074432;292048896;4611964928;41590436;4172524;36074;12502;0;4616192;12;7;/data/work/9d/dc46ae7c81a00afc429f411a8ed536;-;-
28;cpu14;f6/b1e1f5;nf-f6b1e1f5034a4daf1075605e61b979ef;FASTQC;OSMOTIC_STRESS_T15C_R1_T1;FASTQC (OSMOTIC_STRESS_T15C_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670009735057;1670009742000;1670009749000;13943;6729;-;166.8;0.2;294268928;4557074432;295481344;4614062080;41797420;4175261;36495;12560;0;4673536;11;4;/data/work/f6/b1e1f5034a4daf1075605e61b979ef;-;-
34;cpu05;f4/43f2e2;nf-f443f2e2b9b2a8816b1d28598b73ad4a;TRIMGALORE;OSMOTIC_STRESS_T0B_R2_T1;TRIMGALORE (OSMOTIC_STRESS_T0B_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670009735265;1670009742000;1670009753000;17735;10182;-;214.2;0.2;282005504;3212361728;282107904;3269349376;344129232;294033720;56830;25715;0;24969216;4610;131;/data/work/f4/43f2e2b9b2a8816b1d28598b73ad4a;-;-
36;node8;01/ebfb93;nf-01ebfb93ff02a93b840c7ad5fe458097;FASTQC;OSMOTIC_STRESS_T15E_R1_T1;FASTQC (OSMOTIC_STRESS_T15E_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670009735366;1670009745000;1670009752000;16634;6891;-;155.9;0.2;284069888;4557074432;285724672;4611964928;41798046;4175254;36433;12514;0;4739072;11;4;/data/work/01/ebfb93ff02a93b840c7ad5fe458097;-;-
63;node10;f1/183648;nf-f1183648ebc3325a415f010676c8b3f2;MAKE_TSS_BED;genes.bed;MAKE_TSS_BED (genes.bed);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670009749201;1670009752000;1670009752000;2799;66;-;51.6;0.0;3362816;5615616;3362816;5632000;854748;611012;230;39;0;212992;6;4;/data/work/f1/183648ebc3325a415f010676c8b3f2;-;-
10;cpu05;24/1dfa22;nf-241dfa2271727d6eef7dd8faba1c5a77;TRIMGALORE;OSMOTIC_STRESS_T0_R1_T1;TRIMGALORE (OSMOTIC_STRESS_T0_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670009734950;1670009745000;1670009755000;20050;10293;-;216.7;0.2;276627456;3215736832;276627456;3269349376;341835037;291748834;55710;25530;0;24846336;3759;163;/data/work/24/1dfa2271727d6eef7dd8faba1c5a77;-;-
44;node8;e2/496c83;nf-e2496c837d23054a967257ad0a93db20;TRIMGALORE;OSMOTIC_STRESS_T0E_R2_T1;TRIMGALORE (OSMOTIC_STRESS_T0E_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670009735636;1670009748000;1670009758000;22364;10280;-;217.0;0.2;269889536;3212263424;272105472;3269251072;344129086;294033757;56801;25692;0;25063424;4200;140;/data/work/e2/496c837d23054a967257ad0a93db20;-;-
51;node10;89/cf1e05;nf-89cf1e0537a0f12ac97ef68c29b2a86f;TRIMGALORE;OSMOTIC_STRESS_T15B_R1_T1;TRIMGALORE (OSMOTIC_STRESS_T15B_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670009735857;1670009748000;1670009759000;23143;10604;-;217.1;0.2;282083328;3212378112;282185728;3269365760;350616791;300192275;57434;25988;0;25825280;2688;132;/data/work/89/cf1e0537a0f12ac97ef68c29b2a86f;-;-
56;cpu14;0a/db8cfc;nf-0adb8cfce635b0717153cf4d41bb83d5;TRIMGALORE;OSMOTIC_STRESS_T15D_R2_T1;TRIMGALORE (OSMOTIC_STRESS_T15D_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670009735992;1670009744000;1670009755000;19008;10432;-;228.4;0.2;275222528;3212357632;275222528;3269345280;345199311;294816163;56986;25644;0;25567232;3713;183;/data/work/0a/db8cfce635b0717153cf4d41bb83d5;-;-
21;cpu14;07/2e5808;nf-072e580895e542abf8417d4ec802ac47;FASTQC;OSMOTIC_STRESS_T0F_R2_T1;FASTQC (OSMOTIC_STRESS_T0F_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670009734752;1670009754000;1670009760000;25248;5517;-;187.0;0.2;282681344;4557074432;282779648;4614062080;41598601;4172524;36067;12548;0;4681728;10;5;/data/work/07/2e580895e542abf8417d4ec802ac47;-;-
33;node8;f4/ddc495;nf-f4ddc4952b1edc4802f5f73c3d2c8c74;FASTQC;OSMOTIC_STRESS_T15D_R2_T1;FASTQC (OSMOTIC_STRESS_T15D_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670009735299;1670009755000;1670009761000;25701;5546;-;188.6;0.2;300937216;4557074432;303493120;4614062080;41787769;4204950;36425;12584;0;4681728;10;4;/data/work/f4/ddc4952b1edc4802f5f73c3d2c8c74;-;-
14;cpu05;2d/a09f5b;nf-2da09f5bfa112401b2774b7156297071;FASTQC;OSMOTIC_STRESS_T0C_R1_T1;FASTQC (OSMOTIC_STRESS_T0C_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670009734504;1670009759000;1670009764000;29496;4518;-;226.4;0.2;260767744;4557074432;260767744;4614062080;41553031;4199974;35966;12558;0;4612096;10;2;/data/work/2d/a09f5bfa112401b2774b7156297071;-;-
16;cpu14;99/228bb0;nf-99228bb0b92ea3c28178dd79fb03fd5b;FASTQC;OSMOTIC_STRESS_T0D_R1_T1;FASTQC (OSMOTIC_STRESS_T0D_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670009734573;1670009759000;1670009763000;28427;4478;-;224.1;0.2;268783616;4557074432;269860864;4617908224;41544757;4199975;35949;12604;0;4702208;10;9;/data/work/99/228bb0b92ea3c28178dd79fb03fd5b;-;-
17;node8;54/d20505;nf-54d205057d319a63ae6d1c94d7314008;FASTQC;OSMOTIC_STRESS_T0D_R2_T1;FASTQC (OSMOTIC_STRESS_T0D_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670009734643;1670009759000;1670009765000;30357;6501;-;169.2;0.2;293269504;4557074432;295313408;4611964928;41591457;4172515;36048;12548;0;4673536;10;4;/data/work/54/d205057d319a63ae6d1c94d7314008;-;-
40;cpu05;71/2d0333;nf-712d0333f2144c0df1dbc815c2183a85;FASTQC;OSMOTIC_STRESS_T15F_R1_T1;FASTQC (OSMOTIC_STRESS_T15F_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670009735509;1670009761000;1670009766000;30491;5528;-;199.0;0.2;291897344;4557074432;296624128;4614062080;41805352;4175262;36472;12537;0;4644864;10;3;/data/work/71/2d0333f2144c0df1dbc815c2183a85;-;-
46;node10;bb/c62ee4;nf-bbc62ee49d844a4d28c1cb118c783a82;TRIMGALORE;OSMOTIC_STRESS_T0F_R2_T1;TRIMGALORE (OSMOTIC_STRESS_T0F_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670009735702;1670009757000;1670009768000;32298;10150;-;225.5;0.2;262840320;3212353536;262938624;3269341184;344130630;294033720;56502;25669;0;25014272;5029;153;/data/work/bb/c62ee49d844a4d28c1cb118c783a82;-;-
20;node8;44/7c8a2c;nf-447c8a2c5bb048790f8a33a93cb93b60;FASTQC;OSMOTIC_STRESS_T0F_R1_T1;FASTQC (OSMOTIC_STRESS_T0F_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670009734717;1670009765000;1670009771000;36283;5498;-;189.6;0.2;272224256;4559810560;272322560;4614062080;41554970;4199966;35981;12581;0;4665344;10;8;/data/work/44/7c8a2c5bb048790f8a33a93cb93b60;-;-
12;node10;ef/d30283;nf-efd3028391b170727b1b0481c039d026;TRIMGALORE;OSMOTIC_STRESS_T0A_R1_T1;TRIMGALORE (OSMOTIC_STRESS_T0A_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670009735135;1670009763000;1670009774000;38865;10182;-;226.6;0.2;253267968;3212300288;253501440;3267190784;341828453;291749006;56110;25553;0;24834048;4821;135;/data/work/ef/d3028391b170727b1b0481c039d026;-;-
42;cpu14;7d/034954;nf-7d0349548021f23aab7802c149651766;FASTQC;OSMOTIC_STRESS_T15F_R2_T1;FASTQC (OSMOTIC_STRESS_T15F_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670009735571;1670009763000;1670009770000;34429;6496;-;154.9;0.2;299646976;4557074432;299646976;4614062080;41778535;4204959;36445;12561;0;4694016;10;11;/data/work/7d/0349548021f23aab7802c149651766;-;-
8;cpu14;b2/60e2af;nf-b260e2aff0890b899c85c5f727ba6fdf;FASTQC;OSMOTIC_STRESS_T0A_R2_T1;FASTQC (OSMOTIC_STRESS_T0A_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670009734404;1670009772000;1670009777000;42596;4508;-;228.8;0.2;256606208;4562178048;256606208;4611964928;41590277;4172526;36058;12502;0;4644864;10;9;/data/work/b2/60e2aff0890b899c85c5f727ba6fdf;-;-
18;cpu05;aa/dfcf77;nf-aadfcf779a89199238b1b8864d78f939;FASTQC;OSMOTIC_STRESS_T0E_R1_T1;FASTQC (OSMOTIC_STRESS_T0E_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670009734607;1670009766000;1670009773000;38393;6534;-;167.1;0.2;288268288;4557074432;293027840;4614062080;41544960;4199974;35973;12581;0;4661248;10;3;/data/work/aa/dfcf779a89199238b1b8864d78f939;-;-
