task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;node8;5d/ce664a;nf-5dce664ac31d023d06b4e736b4595a33;CHECK_DESIGN;input.csv;CHECK_DESIGN (input.csv);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670008130443;1670008139000;1670008149000;18557;4980;-;1.0;0.0;3018752;5615616;3018752;5632000;613140;3283;225;13;0;4096;2;0;/data/work/5d/ce664ac31d023d06b4e736b4595a33;-;-
2;node8;05/f630b8;nf-05f630b89c102f73c08db8268a1dfb5c;BWA_INDEX;genome.fa;BWA_INDEX (genome.fa);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670008149991;1670008151000;1670008157000;7009;5901;-;94.5;0.0;60432384;65286144;60432384;65302528;49257214;33434038;1704;50;0;33468416;267;501;/data/work/05/f630b89c102f73c08db8268a1dfb5c;-;-
3;cpu14;3a/5e6f45;nf-3a5e6f45ef368575a380323e8b1c6ef5;MAKE_GENE_BED;genes.gtf;MAKE_GENE_BED (genes.gtf);COMPLETED;0;-;nfcore/atacseq:1.2.2;2;21600000;-;12884901888;1;1670008150040;1670008161000;1670008162000;11960;294;-;98.4;0.0;10567680;17522688;10567680;17539072;12185449;400820;1619;61;0;401408;14;15;/data/work/3a/5e6f45ef368575a380323e8b1c6ef5;-;-
4;node8;51/7e9611;nf-517e9611a5c711b44a7f23cb50be026f;MAKE_GENOME_FILTER;genome.fa;MAKE_GENOME_FILTER (genome.fa);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670008150089;1670008157000;1670008157000;6911;200;-;56.9;0.0;4669440;12120064;4669440;12136448;12987944;1257;463;17;0;16384;4;4;/data/work/51/7e9611a5c711b44a7f23cb50be026f;-;-
17;cpu14;ae/162264;nf-ae1622647831b061c957020101d5fd25;FASTQC;OSMOTIC_STRESS_T0D_R2_T1;FASTQC (OSMOTIC_STRESS_T0D_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670008150467;1670008158000;1670008164000;13533;5545;-;202.7;0.2;287440896;4557168640;292372480;4614062080;41590472;4172524;36076;12548;0;4784128;11;11;/data/work/ae/1622647831b061c957020101d5fd25;-;-
32;cpu05;33/a65d1e;nf-33a65d1e605f23ea4d3ed8007121e1df;FASTQC;OSMOTIC_STRESS_T15C_R1_T1;FASTQC (OSMOTIC_STRESS_T15C_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670008151067;1670008157000;1670008164000;12933;6500;-;171.1;0.2;294359040;4557074432;294461440;4611964928;41805280;4175261;36464;12514;0;4677632;11;4;/data/work/33/a65d1e605f23ea4d3ed8007121e1df;-;-
35;cpu14;4d/f5a5bb;nf-4df5a5bb44b2cf192958f9baebc22261;FASTQC;OSMOTIC_STRESS_T15C_R2_T1;FASTQC (OSMOTIC_STRESS_T15C_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670008151101;1670008159000;1670008164000;12899;4519;-;229.3;0.2;261615616;4557074432;261615616;4614062080;41786438;4204960;36418;12607;0;4771840;11;8;/data/work/4d/f5a5bb44b2cf192958f9baebc22261;-;-
18;cpu14;64/727bdd;nf-64727bddf28a7f95d6b03853f71ffac0;FASTQC;OSMOTIC_STRESS_T0E_R1_T1;FASTQC (OSMOTIC_STRESS_T0E_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670008150434;1670008161000;1670008167000;16566;5478;-;198.5;0.2;290676736;4557074432;295620608;4614062080;41553657;4199974;36000;12535;0;4698112;11;12;/data/work/64/727bddf28a7f95d6b03853f71ffac0;-;-
21;cpu05;61/50bb60;nf-6150bb60c7f8c4d01dcb3af7224d17ef;FASTQC;OSMOTIC_STRESS_T0F_R2_T1;FASTQC (OSMOTIC_STRESS_T0F_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670008150572;1670008161000;1670008167000;16428;5490;-;188.9;0.2;272723968;4557074432;272818176;4611964928;41598701;4172524;36081;12502;0;4599808;11;11;/data/work/61/50bb60c7f8c4d01dcb3af7224d17ef;-;-
41;node10;4f/1cb5eb;nf-4f1cb5ebb016d27856e2261519008c20;TRIMGALORE;OSMOTIC_STRESS_T0E_R2_T1;TRIMGALORE (OSMOTIC_STRESS_T0E_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670008151364;1670008160000;1670008169000;17636;9170;-;242.4;0.2;249511936;3208159232;251023360;3269341184;344129645;294033766;56876;25692;0;24936448;4980;149;/data/work/4f/1cb5ebb016d27856e2261519008c20;-;-
62;node8;18/d428a7;nf-18d428a76ce09e97c096f632b0655340;output_documentation;-;output_documentation;COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670008151984;1670008164000;1670008164000;12016;296;-;68.8;0.0;12075008;18575360;12075008;18591744;3550584;1315232;582;13;0;1318912;5;7;/data/work/18/d428a76ce09e97c096f632b0655340;-;-
14;cpu05;b9/d9104c;nf-b9d9104c86644ea4f81c75cd6fcf7328;TRIMGALORE;OSMOTIC_STRESS_T0A_R1_T1;TRIMGALORE (OSMOTIC_STRESS_T0A_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670008150736;1670008159000;1670008169000;18264;10182;-;227.0;0.2;279617536;3212382208;279719936;3271467008;341835651;291749026;56521;25576;0;24932352;4847;125;/data/work/b9/d9104c86644ea4f81c75cd6fcf7328;-;-
52;node10;de/1ac31e;nf-de1ac31e7fb48a79eee0b98acb2a54e6;TRIMGALORE;OSMOTIC_STRESS_T15B_R2_T1;TRIMGALORE (OSMOTIC_STRESS_T15B_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670008151680;1670008160000;1670008170000;18320;10301;-;225.0;0.2;267493376;3212349440;272429056;3269337088;345200897;294816140;56647;25713;0;25387008;3762;114;/data/work/de/1ac31e7fb48a79eee0b98acb2a54e6;-;-
60;node8;33/37177f;nf-3337177f970da91890297ff3182cefff;TRIMGALORE;OSMOTIC_STRESS_T15F_R2_T1;TRIMGALORE (OSMOTIC_STRESS_T15F_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670008151928;1670008159000;1670008170000;18072;10316;-;231.3;0.2;275021824;3212357632;279994368;3269345280;345200531;294816131;56598;25713;0;25513984;4209;132;/data/work/33/37177f970da91890297ff3182cefff;-;-
61;node8;cd/f81816;nf-cdf818164684476f6f5db38875c31e7c;get_software_versions;-;get_software_versions;COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670008151957;1670008167000;1670008172000;20043;4975;-;90.6;0.1;79630336;4556869632;79630336;4556935168;51677121;40453;13186;111;0;208896;53;87;/data/work/cd/f818164684476f6f5db38875c31e7c;-;-
63;node8;9c/e23581;nf-9ce23581c533c6149cb4cf89b4ee94b4;MAKE_TSS_BED;genes.bed;MAKE_TSS_BED (genes.bed);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670008165593;1670008172000;1670008172000;6407;35;-;92.1;0.0;3055616;5615616;3055616;5632000;854550;611003;230;39;0;212992;4;0;/data/work/9c/e23581c533c6149cb4cf89b4ee94b4;-;-
6;cpu05;3b/a06cbb;nf-3ba06cbbe3a8a60a4043871ec334dff0;FASTQC;OSMOTIC_STRESS_T0_R2_T1;FASTQC (OSMOTIC_STRESS_T0_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670008150123;1670008168000;1670008174000;23877;5519;-;189.5;0.2;297881600;4557443072;297881600;4614062080;41598431;4172430;36060;12502;0;4620288;11;3;/data/work/3b/a06cbbe3a8a60a4043871ec334dff0;-;-
36;cpu14;84/89c4d7;nf-8489c4d72ddf6fd8e83d512ade426e94;FASTQC;OSMOTIC_STRESS_T15D_R1_T1;FASTQC (OSMOTIC_STRESS_T15D_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670008151168;1670008174000;1670008179000;27832;4494;-;220.7;0.2;240693248;4557074432;240693248;4611964928;41805363;4175262;36499;12491;0;4616192;11;4;/data/work/84/89c4d72ddf6fd8e83d512ade426e94;-;-
22;cpu05;cd/3bb000;nf-cd3bb000ae7a47579ba6bc572f6ff5f8;FASTQC;OSMOTIC_STRESS_T15_R1_T1;FASTQC (OSMOTIC_STRESS_T15_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670008150673;1670008175000;1670008181000;30327;5533;-;188.0;0.2;299954176;4557074432;302456832;4614062080;41796758;4175169;36457;12583;0;4587520;11;9;/data/work/cd/3bb000ae7a47579ba6bc572f6ff5f8;-;-
24;node8;61/0dde04;nf-610dde047ceb2992edb6402687affdbb;FASTQC;OSMOTIC_STRESS_T15A_R1_T1;FASTQC (OSMOTIC_STRESS_T15A_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670008150801;1670008174000;1670008180000;29199;5491;-;191.3;0.2;290656256;4557074432;295432192;4616159232;41806250;4175255;36435;12491;0;4599808;11;9;/data/work/61/0dde047ceb2992edb6402687affdbb;-;-
43;cpu14;77/694800;nf-77694800f6a00c52f5f7d21d5e4d5384;TRIMGALORE;OSMOTIC_STRESS_T0F_R1_T1;TRIMGALORE (OSMOTIC_STRESS_T0F_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670008151396;1670008170000;1670008180000;28604;10160;-;223.8;0.2;257339392;3212369920;257339392;3269357568;341836296;291749021;56382;25553;0;24891392;5101;126;/data/work/77/694800f6a00c52f5f7d21d5e4d5384;-;-
