task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;node10;9e/99355c;nf-9e99355cb87b3d92928544a368b911a4;CHECK_DESIGN;input.csv;CHECK_DESIGN (input.csv);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1669990555062;1669990557000;1669990558000;2938;79;-;66.4;0.0;3309568;5615616;3309568;5632000;613339;3293;225;13;0;4096;10;0;/data/work/9e/99355cb87b3d92928544a368b911a4;-;-
2;cpu05;77/990f8f;nf-77990f8f2f6182ad9c6ff291a5a28aa5;BWA_INDEX;genome.fa;BWA_INDEX (genome.fa);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1669990559636;1669990565000;1669990572000;12364;5672;-;94.7;0.0;60608512;65286144;60608512;65302528;49257415;33434047;1704;50;0;33468416;328;644;/data/work/77/990f8f2f6182ad9c6ff291a5a28aa5;-;-
3;cpu14;ad/38bebc;nf-ad38bebcb7601fc0e5d34a8b6339af23;MAKE_GENE_BED;genes.gtf;MAKE_GENE_BED (genes.gtf);COMPLETED;0;-;nfcore/atacseq:1.2.2;2;21600000;-;12884901888;1;1669990559681;1669990569000;1669990569000;9319;302;-;92.5;0.0;3219456;5615616;3219456;5632000;12185448;400820;1619;61;0;401408;3;0;/data/work/ad/38bebcb7601fc0e5d34a8b6339af23;-;-
37;cpu05;b4/387f06;nf-b4387f067b2edb624a57f7ba4444309d;FASTQC;OSMOTIC_STRESS_T15D_R2_T1;FASTQC (OSMOTIC_STRESS_T15D_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1669990560806;1669990566000;1669990571000;10194;4563;-;225.4;0.2;245760000;4557074432;245809152;4611964928;41777603;4204959;36381;12561;0;4599808;11;7;/data/work/b4/387f067b2edb624a57f7ba4444309d;-;-
62;cpu14;e7/6b3820;nf-e76b3820509920e525b8223d2e1be232;output_documentation;-;output_documentation;COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1669990561573;1669990571000;1669990571000;9427;276;-;74.0;0.0;3256320;5615616;3256320;5632000;3550800;1315241;582;13;0;1318912;5;2;/data/work/e7/6b3820509920e525b8223d2e1be232;-;-
5;cpu05;16/4b994b;nf-164b994bfea656352a4d028ff9efa4b2;FASTQC;OSMOTIC_STRESS_T0_R1_T1;FASTQC (OSMOTIC_STRESS_T0_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1669990559814;1669990569000;1669990574000;14186;5523;-;190.0;0.2;279158784;4558237696;283250688;4614062080;41545141;4199878;35968;12604;0;4628480;11;10;/data/work/16/4b994bfea656352a4d028ff9efa4b2;-;-
8;node10;d9/8f59ee;nf-d98f59eec085138af73c74082e2b8b8a;FASTQC;OSMOTIC_STRESS_T0A_R2_T1;FASTQC (OSMOTIC_STRESS_T0A_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1669990559881;1669990570000;1669990576000;16119;6241;-;169.0;0.2;294944768;4557074432;295038976;4614062080;41583366;4172526;36036;12502;0;4747264;11;3;/data/work/d9/8f59eec085138af73c74082e2b8b8a;-;-
20;node10;03/380869;nf-033808693626cf95706f1c7c2bec02fd;FASTQC;OSMOTIC_STRESS_T0F_R1_T1;FASTQC (OSMOTIC_STRESS_T0F_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1669990560149;1669990571000;1669990576000;15851;5522;-;201.9;0.2;285732864;4557074432;290549760;4614062080;41554825;4199975;35971;12581;0;4784128;11;12;/data/work/03/3808693626cf95706f1c7c2bec02fd;-;-
19;node8;c3/0349ef;nf-c30349efb522f40082814c92e14750ab;FASTQC;OSMOTIC_STRESS_T0E_R2_T1;FASTQC (OSMOTIC_STRESS_T0E_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1669990560182;1669990574000;1669990579000;18818;4597;-;226.0;0.2;249376768;4552880128;249827328;4614062080;41583477;4172515;36042;12571;0;4620288;11;4;/data/work/c3/0349efb522f40082814c92e14750ab;-;-
22;node8;f6/006ffa;nf-f6006ffa3ed7f61241a6b41113acfada;FASTQC;OSMOTIC_STRESS_T15_R1_T1;FASTQC (OSMOTIC_STRESS_T15_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1669990560251;1669990571000;1669990576000;15749;5515;-;197.6;0.2;290451456;4557074432;295256064;4614062080;41798280;4175160;36432;12537;0;4661248;11;10;/data/work/f6/006ffa3ed7f61241a6b41113acfada;-;-
