task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;node10;59/524790;nf-59524790ea3af3f3b16660106488d6c3;CHECK_DESIGN;input.csv;CHECK_DESIGN (input.csv);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670062431275;1670062437000;1670062445000;13725;4969;-;1.0;0.0;3231744;5615616;3231744;5632000;613339;3292;225;13;0;4096;2;0;/data/work/59/524790ea3af3f3b16660106488d6c3;-;-
2;node8;b3/ce5947;nf-b3ce5947a1698da895a6cd21bb4320f9;BWA_INDEX;genome.fa;BWA_INDEX (genome.fa);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670062445808;1670062451000;1670062459000;13192;5959;-;93.9;0.0;60805120;65286144;60805120;65302528;49257215;33434038;1704;50;0;33468416;281;483;/data/work/b3/ce5947a1698da895a6cd21bb4320f9;-;-
3;cpu14;03/5b00a8;nf-035b00a8529bea9255d2b6098fca6aa1;MAKE_GENE_BED;genes.gtf;MAKE_GENE_BED (genes.gtf);COMPLETED;0;-;nfcore/atacseq:1.2.2;2;21600000;-;12884901888;1;1670062445854;1670062454000;1670062454000;8146;296;-;97.3;0.0;3235840;5615616;3235840;5632000;12185451;400820;1619;61;0;401408;3;0;/data/work/03/5b00a8529bea9255d2b6098fca6aa1;-;-
4;node10;2b/bbb570;nf-2bbbb570429a6f1dca20c94cc4cfe645;MAKE_GENOME_FILTER;genome.fa;MAKE_GENOME_FILTER (genome.fa);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670062445900;1670062458000;1670062458000;12100;160;-;58.2;0.0;3334144;5615616;3334144;5632000;12988142;1266;463;17;0;16384;2;3;/data/work/2b/bbb570429a6f1dca20c94cc4cfe645;-;-
61;node8;7f/d1e76d;nf-7fd1e76d0c0dbf6561388543edaf3929;get_software_versions;-;get_software_versions;COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670062447708;1670062453000;1670062457000;9292;4432;-;91.1;0.0;69234688;4421070848;69234688;4485984256;51675642;40453;13122;111;0;192512;47;77;/data/work/7f/d1e76d0c0dbf6561388543edaf3929;-;-
62;cpu05;84/c60336;nf-84c60336c6248dd6146de5641e749d08;output_documentation;-;output_documentation;COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670062447737;1670062458000;1670062458000;10263;279;-;73.2;0.0;3268608;5615616;3268608;5632000;3550786;1315241;582;13;0;1318912;2;3;/data/work/84/c60336c6248dd6146de5641e749d08;-;-
63;node8;ff/06ba19;nf-ff06ba193e96f4d3526bd5950f59ed07;MAKE_TSS_BED;genes.bed;MAKE_TSS_BED (genes.bed);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670062460773;1670062462000;1670062462000;1227;42;-;77.6;0.0;3276800;5615616;3276800;5632000;854551;611003;230;39;0;212992;6;4;/data/work/ff/06ba193e96f4d3526bd5950f59ed07;-;-
8;cpu05;55/84d055;nf-5584d055367a9425cb83e7161cfe43eb;TRIMGALORE;OSMOTIC_STRESS_T0_R1_T1;TRIMGALORE (OSMOTIC_STRESS_T0_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670062446425;1670062458000;1670062468000;21575;10305;-;223.2;0.2;271241216;3212382208;271241216;3267272704;341836421;291748834;55454;25530;0;24793088;3477;126;/data/work/55/84d055367a9425cb83e7161cfe43eb;-;-
10;cpu14;4c/422565;nf-4c422565543d48a044dc6b0e537420d5;TRIMGALORE;OSMOTIC_STRESS_T0A_R1_T1;TRIMGALORE (OSMOTIC_STRESS_T0A_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670062446521;1670062455000;1670062465000;18479;9686;-;234.6;0.2;264142848;3212275712;267317248;3269263360;341826848;291781794;56093;25531;0;24788992;2242;105;/data/work/4c/422565543d48a044dc6b0e537420d5;-;-
24;node10;da/974418;nf-da97441876bfda5378beba316fd6519e;TRIMGALORE;OSMOTIC_STRESS_T0A_R2_T1;TRIMGALORE (OSMOTIC_STRESS_T0A_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670062446585;1670062458000;1670062469000;22415;10216;-;216.3;0.2;251576320;3212267520;251678720;3271352320;344129854;294033768;56046;25692;0;24940544;4244;291;/data/work/da/97441876bfda5378beba316fd6519e;-;-
