task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;node10;0a/489acc;nf-0a489acc46642f3408976181aa9103c5;CHECK_DESIGN;input.csv;CHECK_DESIGN (input.csv);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670054214664;1670054222000;1670054229000;14336;4975;-;1.0;0.0;3313664;5615616;3313664;5632000;613338;3292;225;13;0;4096;2;0;/data/work/0a/489acc46642f3408976181aa9103c5;-;-
62;cpu05;ef/866c72;nf-ef866c727ac302c6b994f222a4373c80;output_documentation;-;output_documentation;COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670054237117;1670054242000;1670054243000;5883;315;-;74.0;0.0;3047424;5615616;3047424;5632000;3550786;1315241;582;13;0;1318912;5;6;/data/work/ef/866c727ac302c6b994f222a4373c80;-;-
3;node8;28/9237df;nf-289237df4715a0d3c3d146d14c5a47de;MAKE_GENE_BED;genes.gtf;MAKE_GENE_BED (genes.gtf);COMPLETED;0;-;nfcore/atacseq:1.2.2;2;21600000;-;12884901888;1;1670054235140;1670054243000;1670054244000;8860;304;-;94.7;0.0;3264512;5615616;3264512;5632000;12185232;400811;1619;61;0;401408;2;2;/data/work/28/9237df4715a0d3c3d146d14c5a47de;-;-
4;node10;19/2c0a75;nf-192c0a75dc6a2fdc3f7d84f6b4688380;MAKE_GENOME_FILTER;genome.fa;MAKE_GENOME_FILTER (genome.fa);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670054235192;1670054246000;1670054246000;10808;183;-;57.1;0.0;3149824;5615616;3149824;5632000;12988141;1266;463;17;12288;16384;2;3;/data/work/19/2c0a75dc6a2fdc3f7d84f6b4688380;-;-
61;cpu14;a3/9cabbe;nf-a39cabbe4ff0303113e290e4326f95a8;get_software_versions;-;get_software_versions;COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670054237085;1670054245000;1670054249000;11915;4523;-;91.9;0.0;71938048;4421070848;71938048;4485984256;51674118;40462;13122;111;0;192512;37;80;/data/work/a3/9cabbe4ff0303113e290e4326f95a8;-;-
2;node10;01/f4a55d;nf-01f4a55d42fd24e18b859cba7c9e8492;BWA_INDEX;genome.fa;BWA_INDEX (genome.fa);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670054235094;1670054243000;1670054249000;13906;6196;-;89.4;0.0;60686336;65286144;60686336;65302528;49257410;33434047;1704;50;0;33468416;332;482;/data/work/01/f4a55d42fd24e18b859cba7c9e8492;-;-
47;cpu14;52/ae7cbe;nf-52ae7cbe3334a1f5c6700a7cde654b64;TRIMGALORE;OSMOTIC_STRESS_T15_R1_T1;TRIMGALORE (OSMOTIC_STRESS_T15_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670054236619;1670054243000;1670054254000;17381;10424;-;223.1;0.2;282435584;3212353536;282537984;3269341184;350615122;300192104;57516;25988;0;25710592;3786;162;/data/work/52/ae7cbe3334a1f5c6700a7cde654b64;-;-
51;node8;92/ca2990;nf-92ca2990b467b45e6c25d63e1e7ebda3;TRIMGALORE;OSMOTIC_STRESS_T15B_R1_T1;TRIMGALORE (OSMOTIC_STRESS_T15B_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670054236747;1670054243000;1670054254000;17253;10370;-;226.6;0.2;278855680;3212353536;278958080;3267244032;350616042;300192288;57112;25988;0;25673728;3665;129;/data/work/92/ca2990b467b45e6c25d63e1e7ebda3;-;-
55;cpu14;f4/e6f8d7;nf-f4e6f8d71659e64184c5cf210d6bf783;TRIMGALORE;OSMOTIC_STRESS_T15D_R1_T1;TRIMGALORE (OSMOTIC_STRESS_T15D_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670054236875;1670054243000;1670054254000;17125;10399;-;225.1;0.2;284893184;3212247040;287346688;3269234688;350615236;300192265;57537;26011;0;25731072;3659;122;/data/work/f4/e6f8d71659e64184c5cf210d6bf783;-;-
63;node10;cc/b6ea29;nf-ccb6ea29be08a53d41e86f94af2877de;MAKE_TSS_BED;genes.bed;MAKE_TSS_BED (genes.bed);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670054249133;1670054251000;1670054251000;1867;42;-;73.1;0.0;3227648;5615616;3227648;5632000;854748;611012;230;39;0;212992;6;1;/data/work/cc/b6ea29be08a53d41e86f94af2877de;-;-
