task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;node8;39/f7dfbd;nf-39f7dfbd0050209e8963cf8faa4b56f1;CHECK_DESIGN;input.csv;CHECK_DESIGN (input.csv);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1669998148970;1669998160000;1669998168000;19030;4979;-;1.0;0.0;2990080;5615616;2990080;5632000;613140;3283;225;13;0;4096;2;0;/data/work/39/f7dfbd0050209e8963cf8faa4b56f1;-;-
3;cpu14;a5/a574f6;nf-a5a574f6d8276d52b106e1240f86841d;MAKE_GENE_BED;genes.gtf;MAKE_GENE_BED (genes.gtf);COMPLETED;0;-;nfcore/atacseq:1.2.2;2;21600000;-;12884901888;1;1669998173953;1669998182000;1669998183000;9047;815;-;36.4;0.0;3305472;5615616;3305472;5632000;12185448;400820;1619;61;0;401408;2;2;/data/work/a5/a574f6d8276d52b106e1240f86841d;-;-
61;node8;f8/88d700;nf-f888d7009dba99c65f74c4085f3a11e3;get_software_versions;-;get_software_versions;COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1669998175944;1669998183000;1669998188000;12056;4459;-;91.8;0.0;68644864;4421070848;68644864;4485984256;51676087;40453;13171;111;0;192512;37;80;/data/work/f8/88d7009dba99c65f74c4085f3a11e3;-;-
62;node10;dc/aa3886;nf-dcaa388621dc442498661f576e5a3402;output_documentation;-;output_documentation;COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1669998175971;1669998185000;1669998186000;10029;431;-;45.0;0.0;3256320;5615616;3256320;5632000;3550781;1315241;582;13;0;1318912;2;2;/data/work/dc/aa388621dc442498661f576e5a3402;-;-
2;node10;95/5d135d;nf-955d135de92f53381dcc0679a87a0ea4;BWA_INDEX;genome.fa;BWA_INDEX (genome.fa);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1669998173903;1669998183000;1669998189000;15097;5978;-;91.1;0.0;60678144;65286144;60678144;65302528;49257412;33434047;1704;50;0;33468416;312;457;/data/work/95/5d135de92f53381dcc0679a87a0ea4;-;-
4;cpu05;4b/12d78d;nf-4b12d78d053a1f0319ecce79776edbef;MAKE_GENOME_FILTER;genome.fa;MAKE_GENOME_FILTER (genome.fa);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1669998173994;1669998188000;1669998188000;14006;164;-;68.9;0.0;3272704;5615616;3272704;5632000;12988145;1266;463;17;0;16384;2;2;/data/work/4b/12d78d053a1f0319ecce79776edbef;-;-
59;cpu14;c2/b96e77;nf-c2b96e773404221c1ebcc5eb59abf887;TRIMGALORE;OSMOTIC_STRESS_T15F_R1_T1;TRIMGALORE (OSMOTIC_STRESS_T15F_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1669998175874;1669998182000;1669998193000;17126;10915;-;208.3;0.2;284577792;3212357632;287256576;3269345280;350614820;300192293;57994;26057;0;25735168;1749;148;/data/work/c2/b96e773404221c1ebcc5eb59abf887;-;-
63;cpu14;ac/9c032a;nf-ac9c032ab642a3f8c9f8f07e0f0c68ae;MAKE_TSS_BED;genes.bed;MAKE_TSS_BED (genes.bed);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1669998188380;1669998189000;1669998190000;1620;32;-;97.0;0.0;3334144;5615616;3334144;5632000;854767;611012;230;39;0;212992;6;6;/data/work/ac/9c032ab642a3f8c9f8f07e0f0c68ae;-;-
47;cpu05;2c/a6b188;nf-2ca6b18888c9e53322fdb187d47270d6;TRIMGALORE;OSMOTIC_STRESS_T15_R1_T1;TRIMGALORE (OSMOTIC_STRESS_T15_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1669998175491;1669998187000;1669998197000;21509;10487;-;225.8;0.2;273666048;3212247040;278290432;3269234688;350606785;300192139;57790;26011;0;25690112;3226;116;/data/work/2c/a6b18888c9e53322fdb187d47270d6;-;-
49;node8;a5/1f2c8b;nf-a51f2c8bb6bb2a4955c4579472955d5b;TRIMGALORE;OSMOTIC_STRESS_T15A_R1_T1;TRIMGALORE (OSMOTIC_STRESS_T15A_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1669998175556;1669998183000;1669998194000;18444;10530;-;225.6;0.2;264433664;3217035264;268558336;3267248128;350616617;300192257;58086;26011;0;25706496;3047;117;/data/work/a5/1f2c8bb6bb2a4955c4579472955d5b;-;-
51;node10;48/00149a;nf-4800149a64c76494a2d7a6da9c300cc3;TRIMGALORE;OSMOTIC_STRESS_T15B_R1_T1;TRIMGALORE (OSMOTIC_STRESS_T15B_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1669998175620;1669998185000;1669998195000;19380;10402;-;231.3;0.2;276185088;3212267520;281112576;3269263360;350616873;300192275;57646;26011;0;25763840;3805;133;/data/work/48/00149a64c76494a2d7a6da9c300cc3;-;-
53;cpu14;97/f7ea46;nf-97f7ea465bad2fe7d3597cfc0b4d64f2;TRIMGALORE;OSMOTIC_STRESS_T15C_R1_T1;TRIMGALORE (OSMOTIC_STRESS_T15C_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1669998175653;1669998183000;1669998194000;18347;10401;-;224.8;0.2;274640896;3212271616;274739200;3269259264;350608169;300192303;57096;25988;0;25817088;3825;194;/data/work/97/f7ea465bad2fe7d3597cfc0b4d64f2;-;-
57;node8;44/013ae9;nf-44013ae940cda91ef8bf16dda84d9bc7;TRIMGALORE;OSMOTIC_STRESS_T15E_R1_T1;TRIMGALORE (OSMOTIC_STRESS_T15E_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1669998175808;1669998184000;1669998195000;19192;10477;-;221.9;0.2;270594048;3212361728;275341312;3267252224;350607997;300192256;57513;26011;0;25726976;3423;135;/data/work/44/013ae940cda91ef8bf16dda84d9bc7;-;-
48;node10;8c/7cb426;nf-8c7cb4267d152c8e0ac7e6f3693472a5;TRIMGALORE;OSMOTIC_STRESS_T15_R2_T1;TRIMGALORE (OSMOTIC_STRESS_T15_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1669998175524;1669998193000;1669998203000;27476;10339;-;227.9;0.2;272539648;3212378112;275013632;3267268608;345201101;294815971;56654;25690;0;25411584;3720;128;/data/work/8c/7cb4267d152c8e0ac7e6f3693472a5;-;-
55;cpu05;70/1283d5;nf-701283d572c09a60cf070e183f3a7747;TRIMGALORE;OSMOTIC_STRESS_T15D_R1_T1;TRIMGALORE (OSMOTIC_STRESS_T15D_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1669998175749;1669998189000;1669998200000;24251;10481;-;220.9;0.2;274862080;3212353536;274960384;3267244032;350607246;300192302;57626;26011;0;25735168;3510;120;/data/work/70/1283d572c09a60cf070e183f3a7747;-;-
50;cpu14;17/02f612;nf-1702f612bfb007e5c645cc45ac5f602b;TRIMGALORE;OSMOTIC_STRESS_T15A_R2_T1;TRIMGALORE (OSMOTIC_STRESS_T15A_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1669998175590;1669998198000;1669998208000;32410;10283;-;223.3;0.2;272781312;3212357632;275431424;3267256320;345199324;294816139;57255;25690;0;25387008;4606;128;/data/work/17/02f612bfb007e5c645cc45ac5f602b;-;-
52;node8;29/bd974c;nf-29bd974ca6edfaa4370aaa0ecba39c05;TRIMGALORE;OSMOTIC_STRESS_T15B_R2_T1;TRIMGALORE (OSMOTIC_STRESS_T15B_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1669998175684;1669998199000;1669998209000;33316;10232;-;231.4;0.2;267935744;3212382208;267935744;3269369856;345200809;294816131;56781;25667;0;25415680;4270;124;/data/work/29/bd974ca6edfaa4370aaa0ecba39c05;-;-
54;cpu14;3f/824785;nf-3f8247850e063db27c6a23467438f74f;TRIMGALORE;OSMOTIC_STRESS_T15C_R2_T1;TRIMGALORE (OSMOTIC_STRESS_T15C_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1669998175716;1669998201000;1669998212000;36284;10238;-;230.0;0.2;272257024;3212374016;277065728;3267264512;345199023;294816119;56405;25667;0;25427968;4345;140;/data/work/3f/8247850e063db27c6a23467438f74f;-;-
