task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;node10;f1/12a895;nf-f112a895229d376e077ec880d4cdce26;CHECK_DESIGN;input.csv;CHECK_DESIGN (input.csv);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670056699584;1670056709000;1670056715000;15416;4985;-;1.0;0.0;3330048;5615616;3330048;5632000;613337;3292;225;13;0;4096;2;0;/data/work/f1/12a895229d376e077ec880d4cdce26;-;-
3;node8;67/330689;nf-6733068907e0006ab552b853aaf70dd6;MAKE_GENE_BED;genes.gtf;MAKE_GENE_BED (genes.gtf);COMPLETED;0;-;nfcore/atacseq:1.2.2;2;21600000;-;12884901888;1;1670056785208;1670056789000;1670056789000;3792;310;-;96.3;0.0;3276800;5615616;3276800;5632000;12185231;400811;1619;61;0;401408;10;0;/data/work/67/33068907e0006ab552b853aaf70dd6;-;-
2;node10;d2/069855;nf-d2069855027cc8ed958ec9a717ba1cbe;BWA_INDEX;genome.fa;BWA_INDEX (genome.fa);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670056785161;1670056791000;1670056798000;12839;5695;-;94.5;0.0;60747776;65286144;60747776;65302528;49257411;33434047;1704;50;0;33468416;262;501;/data/work/d2/069855027cc8ed958ec9a717ba1cbe;-;-
4;node10;ff/d9c522;nf-ffd9c5223322bf217dfabaa5a4c8f4bc;MAKE_GENOME_FILTER;genome.fa;MAKE_GENOME_FILTER (genome.fa);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670056785255;1670056794000;1670056794000;8745;173;-;54.4;0.0;3366912;5615616;3366912;5632000;12988141;1266;463;17;0;16384;2;2;/data/work/ff/d9c5223322bf217dfabaa5a4c8f4bc;-;-
63;node8;22/983b93;nf-22983b936b73df5b6053367e2e04a601;MAKE_TSS_BED;genes.bed;MAKE_TSS_BED (genes.bed);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670056795275;1670056800000;1670056800000;4725;43;-;92.5;0.0;3260416;5615616;3260416;5632000;854550;611003;230;39;0;212992;6;6;/data/work/22/983b936b73df5b6053367e2e04a601;-;-
27;node8;8c/a9cfab;nf-8ca9cfab5e7669e40c51339014d3c863;TRIMGALORE;OSMOTIC_STRESS_T0B_R1_T1;TRIMGALORE (OSMOTIC_STRESS_T0B_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670056786018;1670056793000;1670056804000;17982;10503;-;208.0;0.2;274554880;3212267520;275820544;3269255168;341837397;291749017;56164;25553;0;24891392;2773;100;/data/work/8c/a9cfab5e7669e40c51339014d3c863;-;-
31;node10;12/829dee;nf-12829dee6b65470f1a91af5ff50c9764;TRIMGALORE;OSMOTIC_STRESS_T0C_R1_T1;TRIMGALORE (OSMOTIC_STRESS_T0C_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670056786173;1670056792000;1670056803000;16827;10239;-;219.3;0.2;270426112;3212275712;270528512;3269263360;341836898;291749012;55962;25576;0;24907776;4427;145;/data/work/12/829dee6b65470f1a91af5ff50c9764;-;-
45;node8;7c/b97e6e;nf-7cb97e6eacc3d26f92b299a384fe937f;TRIMGALORE;OSMOTIC_STRESS_T0F_R1_T1;TRIMGALORE (OSMOTIC_STRESS_T0F_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670056786528;1670056795000;1670056806000;19472;10361;-;217.2;0.2;264384512;3212361728;264486912;3267252224;341837179;291749017;56171;25530;0;24854528;3844;122;/data/work/7c/b97e6eacc3d26f92b299a384fe937f;-;-
61;cpu14;97/d5cb63;nf-97d5cb63877e96980d2bbbf5e23f3ecb;get_software_versions;-;get_software_versions;COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670056787106;1670056801000;1670056806000;18894;4588;-;90.5;0.0;67137536;4421070848;67137536;4485984256;51674849;40463;13137;111;0;196608;35;76;/data/work/97/d5cb63877e96980d2bbbf5e23f3ecb;-;-
62;cpu05;0d/dfb493;nf-0ddfb4938f27b28a7b1a21ce14626d4e;output_documentation;-;output_documentation;COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670056787138;1670056801000;1670056801000;13862;310;-;69.0;0.0;12738560;18984960;12738560;19001344;3550786;1315241;582;13;81920;1318912;9;15;/data/work/0d/dfb4938f27b28a7b1a21ce14626d4e;-;-
