task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;cpu14;df/55d13f;nf-df55d13f2df5c8c231a22d6661152217;CHECK_DESIGN;input.csv;CHECK_DESIGN (input.csv);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670055134816;1670055139000;1670055139000;4184;55;-;75.1;0.0;3293184;5615616;3293184;5632000;613361;3293;225;13;0;4096;11;1;/data/work/df/55d13f2df5c8c231a22d6661152217;-;-
2;cpu14;25/b7994b;nf-25b7994bc7a7fce466fab55914265283;BWA_INDEX;genome.fa;BWA_INDEX (genome.fa);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670055145113;1670055150000;1670055157000;11887;5918;-;93.0;0.0;60817408;65286144;60817408;65302528;49257436;33434047;1704;50;0;33468416;445;498;/data/work/25/b7994bc7a7fce466fab55914265283;-;-
3;cpu14;f6/2aa1a4;nf-f62aa1a4d04375dbbf90fd113e7dca5a;MAKE_GENE_BED;genes.gtf;MAKE_GENE_BED (genes.gtf);COMPLETED;0;-;nfcore/atacseq:1.2.2;2;21600000;-;12884901888;1;1670055145164;1670055154000;1670055154000;8836;337;-;86.0;0.0;3321856;5615616;3321856;5632000;12185452;400820;1619;61;0;401408;2;2;/data/work/f6/2aa1a4d04375dbbf90fd113e7dca5a;-;-
4;node10;d8/9dc251;nf-d89dc2512e8f0d18913dcc0fb4644c00;MAKE_GENOME_FILTER;genome.fa;MAKE_GENOME_FILTER (genome.fa);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670055145206;1670055153000;1670055154000;8794;174;-;70.6;0.0;3338240;5615616;3338240;5632000;12988142;1266;463;17;274432;16384;3;1;/data/work/d8/9dc2512e8f0d18913dcc0fb4644c00;-;-
61;cpu05;de/5f14e4;nf-de5f14e4c344296be148df5e476f746c;get_software_versions;-;get_software_versions;COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670055147062;1670055155000;1670055159000;11938;4538;-;92.0;0.0;70537216;4421070848;70537216;4421378048;51674252;40462;13136;111;0;192512;36;81;/data/work/de/5f14e4c344296be148df5e476f746c;-;-
62;node8;1d/10d589;nf-1d10d58913985278b51e32903e1e629a;output_documentation;-;output_documentation;COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670055147094;1670055156000;1670055157000;9906;270;-;75.2;0.0;3162112;5615616;3162112;5632000;3550584;1315232;582;13;0;1318912;3;5;/data/work/1d/10d58913985278b51e32903e1e629a;-;-
31;node8;fb/4d713a;nf-fb4d713a2be3a4c77a905a188a76f68d;TRIMGALORE;OSMOTIC_STRESS_T0C_R1_T1;TRIMGALORE (OSMOTIC_STRESS_T0C_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670055146152;1670055152000;1670055163000;16848;10266;-;218.1;0.2;278609920;3212357632;278609920;3267248128;341837201;291749015;56233;25553;0;24805376;4192;145;/data/work/fb/4d713a2be3a4c77a905a188a76f68d;-;-
35;node8;13/cdd5da;nf-13cdd5da31c6e617b670beeb4f35540f;TRIMGALORE;OSMOTIC_STRESS_T0D_R1_T1;TRIMGALORE (OSMOTIC_STRESS_T0D_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670055146285;1670055154000;1670055164000;17715;10190;-;230.3;0.2;263184384;3212357632;265588736;3267248128;341828601;291749015;56781;25530;0;24821760;5041;134;/data/work/13/cdd5da31c6e617b670beeb4f35540f;-;-
43;cpu14;8e/a7d8d5;nf-8ea7d8d518069e20280820b4b0d0c869;TRIMGALORE;OSMOTIC_STRESS_T0F_R1_T1;TRIMGALORE (OSMOTIC_STRESS_T0F_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670055146537;1670055153000;1670055163000;16463;10204;-;218.4;0.2;253726720;3212914688;253726720;3269263360;341835181;291749026;56248;25507;0;24846336;4541;189;/data/work/8e/a7d8d518069e20280820b4b0d0c869;-;-
63;node10;bf/008ab9;nf-bf008ab9f8f27d01b21b33176cf06af7;MAKE_TSS_BED;genes.bed;MAKE_TSS_BED (genes.bed);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670055159361;1670055162000;1670055162000;2639;36;-;41.6;0.0;3354624;5615616;3354624;5632000;854748;611012;230;39;0;212992;6;4;/data/work/bf/008ab9f8f27d01b21b33176cf06af7;-;-
