task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;node8;8b/733ce0;nf-8b733ce0fafa3dca821eba9013af3a8c;CHECK_DESIGN;input.csv;CHECK_DESIGN (input.csv);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670037450399;1670037455000;1670037464000;13601;5065;-;1.2;0.0;3166208;5615616;3166208;5632000;613141;3283;225;13;0;4096;2;2;/data/work/8b/733ce0fafa3dca821eba9013af3a8c;-;-
2;cpu05;8b/8c7e7d;nf-8b8c7e7dbde2e65f025529da2903a558;BWA_INDEX;genome.fa;BWA_INDEX (genome.fa);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670037474748;1670037482000;1670037489000;14252;5886;-;94.2;0.0;60620800;65286144;60620800;65302528;49257415;33434047;1704;50;0;33468416;462;498;/data/work/8b/8c7e7dbde2e65f025529da2903a558;-;-
3;cpu14;4a/57a829;nf-4a57a8298af02ce4acf9684709bda0bb;MAKE_GENE_BED;genes.gtf;MAKE_GENE_BED (genes.gtf);COMPLETED;0;-;nfcore/atacseq:1.2.2;2;21600000;-;12884901888;1;1670037474799;1670037485000;1670037485000;10201;473;-;64.0;0.0;3321856;5615616;3321856;5632000;12185452;400820;1619;61;0;401408;2;0;/data/work/4a/57a8298af02ce4acf9684709bda0bb;-;-
4;node10;29/2800b5;nf-292800b5b4a505925f7286921f1d53f5;MAKE_GENOME_FILTER;genome.fa;MAKE_GENOME_FILTER (genome.fa);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670037474843;1670037488000;1670037488000;13157;158;-;66.8;0.0;3272704;5615616;3272704;5632000;12988140;1266;463;17;0;16384;2;3;/data/work/29/2800b5b4a505925f7286921f1d53f5;-;-
62;cpu05;06/e9ddfa;nf-06e9ddfafd16051b445ab314f51fd8f4;output_documentation;-;output_documentation;COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670037476722;1670037485000;1670037485000;8278;272;-;70.6;0.0;3186688;5615616;3186688;5632000;3550786;1315241;582;13;0;1318912;2;3;/data/work/06/e9ddfafd16051b445ab314f51fd8f4;-;-
28;cpu05;ba/bce570;nf-babce570cbfc984b8ff4906d64f6cd8e;TRIMGALORE;OSMOTIC_STRESS_T0B_R1_T1;TRIMGALORE (OSMOTIC_STRESS_T0B_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670037475691;1670037483000;1670037493000;17309;10255;-;216.4;0.2;262291456;3212361728;262291456;3271446528;341835554;291749026;56675;25599;0;24875008;4528;253;/data/work/ba/bce570cbfc984b8ff4906d64f6cd8e;-;-
61;node8;4e/dcd7be;nf-4edcd7be22f61ff131163a8117a5cff3;get_software_versions;-;get_software_versions;COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670037476694;1670037486000;1670037491000;14306;4669;-;88.7;0.0;62111744;4421070848;62111744;4485984256;51676021;40453;13129;111;0;249856;37;51;/data/work/4e/dcd7be22f61ff131163a8117a5cff3;-;-
63;cpu14;dc/3b082a;nf-dc3b082a4de9959bc9749b6c7c2bde15;MAKE_TSS_BED;genes.bed;MAKE_TSS_BED (genes.bed);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670037489869;1670037493000;1670037493000;3131;96;-;28.1;0.0;5312512;13959168;5312512;13975552;854772;611012;230;39;0;212992;92;10;/data/work/dc/3b082a4de9959bc9749b6c7c2bde15;-;-
10;node10;a6/2493a9;nf-a62493a902c44e6fcd56ed570c5b7108;TRIMGALORE;OSMOTIC_STRESS_T0_R1_T1;TRIMGALORE (OSMOTIC_STRESS_T0_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670037475461;1670037488000;1670037498000;22539;10271;-;223.3;0.2;264941568;3212353536;269852672;3267244032;341838061;291748854;56358;25530;0;24821760;4760;141;/data/work/a6/2493a902c44e6fcd56ed570c5b7108;-;-
12;node8;15/c704e7;nf-15c704e7a3e38fa38952fe5928e8a378;TRIMGALORE;OSMOTIC_STRESS_T0A_R1_T1;TRIMGALORE (OSMOTIC_STRESS_T0A_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670037475561;1670037489000;1670037499000;23439;9195;-;242.4;0.2;267419648;3212386304;271368192;3269373952;341836809;291749017;55900;25553;0;24801280;4209;146;/data/work/15/c704e7a3e38fa38952fe5928e8a378;-;-
32;cpu14;d0/6d8f8b;nf-d06d8f8b69ea3b0394efd24f19ede8cb;TRIMGALORE;OSMOTIC_STRESS_T0C_R1_T1;TRIMGALORE (OSMOTIC_STRESS_T0C_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670037475818;1670037486000;1670037496000;20182;10418;-;216.5;0.2;268165120;3212353536;272437248;3267244032;341835476;291748995;56029;25530;0;24866816;3381;111;/data/work/d0/6d8f8b69ea3b0394efd24f19ede8cb;-;-
36;node10;b2/be92e6;nf-b2be92e6c6bf8fc2f9ef81ae1dcee0f5;TRIMGALORE;OSMOTIC_STRESS_T0D_R1_T1;TRIMGALORE (OSMOTIC_STRESS_T0D_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670037475945;1670037486000;1670037497000;21055;10743;-;205.7;0.2;274300928;3212296192;274395136;3269283840;341837163;291749024;56402;25553;0;24776704;1744;141;/data/work/b2/be92e6c6bf8fc2f9ef81ae1dcee0f5;-;-
40;node8;6c/70725d;nf-6c70725d65a975d7eec2275642755d96;TRIMGALORE;OSMOTIC_STRESS_T0E_R1_T1;TRIMGALORE (OSMOTIC_STRESS_T0E_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670037476073;1670037487000;1670037497000;20927;10232;-;219.2;0.2;268296192;3212386304;268296192;3269373952;341836792;291748996;56320;25530;0;24813568;4436;161;/data/work/6c/70725d65a975d7eec2275642755d96;-;-
44;cpu14;93/d22dc9;nf-93d22dc98a17c85747445c48df16b05a;TRIMGALORE;OSMOTIC_STRESS_T0F_R1_T1;TRIMGALORE (OSMOTIC_STRESS_T0F_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670037476202;1670037487000;1670037497000;20798;10132;-;213.2;0.2;259108864;3212378112;259108864;3269365760;341835705;291749026;56190;25553;0;24928256;4953;128;/data/work/93/d22dc98a17c85747445c48df16b05a;-;-
11;cpu05;15/cd09a6;nf-15cd09a6d4cc57edc728208dc73316e5;TRIMGALORE;OSMOTIC_STRESS_T0_R2_T1;TRIMGALORE (OSMOTIC_STRESS_T0_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670037475428;1670037493000;1670037502000;26572;9197;-;243.0;0.2;238247936;3210285056;238497792;3267272704;344127830;294033597;56596;25669;0;25010176;5201;134;/data/work/15/cd09a6d4cc57edc728208dc73316e5;-;-
27;cpu05;24/7f48a5;nf-247f48a5d745ce1d9a31d536e1389fff;TRIMGALORE;OSMOTIC_STRESS_T0A_R2_T1;TRIMGALORE (OSMOTIC_STRESS_T0A_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670037475595;1670037499000;1670037509000;33405;10134;-;216.6;0.2;284332032;3212382208;284332032;3269369856;344128057;294033768;56672;25715;0;25006080;5246;140;/data/work/24/7f48a5d745ce1d9a31d536e1389fff;-;-
31;cpu14;b4/f8ba87;nf-b4f8ba873474101a06a9f9c855854aa3;TRIMGALORE;OSMOTIC_STRESS_T0B_R2_T1;TRIMGALORE (OSMOTIC_STRESS_T0B_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670037475729;1670037501000;1670037511000;35271;10163;-;219.2;0.2;285839360;3212382208;289275904;3267272704;344127819;294033768;55927;25669;0;24961024;4556;134;/data/work/b4/f8ba873474101a06a9f9c855854aa3;-;-
35;node10;f2/23e0d7;nf-f223e0d7c65324b2979017a6174705d8;TRIMGALORE;OSMOTIC_STRESS_T0C_R2_T1;TRIMGALORE (OSMOTIC_STRESS_T0C_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670037475852;1670037502000;1670037512000;36148;10119;-;222.4;0.2;250290176;3212386304;251396096;3269373952;344129396;294033767;56301;25715;0;24956928;5007;139;/data/work/f2/23e0d7c65324b2979017a6174705d8;-;-
39;node8;c6/c21347;nf-c6c21347c074b188fc3575501daedacc;TRIMGALORE;OSMOTIC_STRESS_T0D_R2_T1;TRIMGALORE (OSMOTIC_STRESS_T0D_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670037475976;1670037502000;1670037513000;37024;10139;-;225.0;0.2;257839104;3212365824;257839104;3267256320;344129759;294033759;56585;25715;0;24989696;4811;145;/data/work/c6/c21347c074b188fc3575501daedacc;-;-
43;cpu14;91/5f40be;nf-915f40be26d3d526858af0eb65e8de1c;TRIMGALORE;OSMOTIC_STRESS_T0E_R2_T1;TRIMGALORE (OSMOTIC_STRESS_T0E_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670037476106;1670037505000;1670037515000;38894;10103;-;217.5;0.2;279506944;3215118336;279506944;3215138816;344127779;294033766;56762;25761;0;24989696;5269;133;/data/work/91/5f40be26d3d526858af0eb65e8de1c;-;-
46;node10;3b/757320;nf-3b7573200ab5b6f4042ca411ef893bd0;TRIMGALORE;OSMOTIC_STRESS_T0F_R2_T1;TRIMGALORE (OSMOTIC_STRESS_T0F_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670037476231;1670037505000;1670037516000;39769;10157;-;224.0;0.2;262414336;3212382208;262414336;3269369856;344130018;294033752;56531;25715;0;24989696;5310;133;/data/work/3b/7573200ab5b6f4042ca411ef893bd0;-;-
48;node8;1f/4bba6d;nf-1f4bba6df2bcd9ce0b216478a0cf884b;TRIMGALORE;OSMOTIC_STRESS_T15_R2_T1;TRIMGALORE (OSMOTIC_STRESS_T15_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670037476297;1670037506000;1670037517000;40703;10273;-;221.5;0.2;271011840;3212275712;271114240;3267166208;345201196;294815961;57412;25690;0;25460736;4254;148;/data/work/1f/4bba6df2bcd9ce0b216478a0cf884b;-;-
