task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;node8;7e/bd05a3;nf-7ebd05a3f0b1350ede1c72c285feeff2;CHECK_DESIGN;input.csv;CHECK_DESIGN (input.csv);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670043260592;1670043263000;1670043263000;2408;84;-;41.7;0.0;3182592;5615616;3182592;5632000;613142;3284;225;13;0;4096;10;0;/data/work/7e/bd05a3f0b1350ede1c72c285feeff2;-;-
62;cpu14;c4/ec6c31;nf-c4ec6c31de3cb6d30a2f178b30dd0805;output_documentation;-;output_documentation;COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670043267088;1670043274000;1670043275000;7912;312;-;61.7;0.0;3313664;5615616;3313664;5632000;3550804;1315241;582;13;0;1318912;2;2;/data/work/c4/ec6c31de3cb6d30a2f178b30dd0805;-;-
2;cpu14;ec/d8c87e;nf-ecd8c87e6aeba4a6f90bc5c87e5ad779;BWA_INDEX;genome.fa;BWA_INDEX (genome.fa);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670043265125;1670043272000;1670043278000;12875;5885;-;91.1;0.0;60866560;65286144;60866560;65302528;49257434;33434047;1704;50;0;33468416;181;466;/data/work/ec/d8c87e6aeba4a6f90bc5c87e5ad779;-;-
3;node10;a6/f7334e;nf-a6f7334e118e4a06ea3b7f8e487176b2;MAKE_GENE_BED;genes.gtf;MAKE_GENE_BED (genes.gtf);COMPLETED;0;-;nfcore/atacseq:1.2.2;2;21600000;-;12884901888;1;1670043265178;1670043276000;1670043277000;11822;339;-;85.1;0.0;3272704;5615616;3272704;5632000;12185429;400820;1619;61;0;401408;2;0;/data/work/a6/f7334e118e4a06ea3b7f8e487176b2;-;-
4;cpu05;d7/c75789;nf-d7c75789edb57a2e60e11f10cbaf4fc2;MAKE_GENOME_FILTER;genome.fa;MAKE_GENOME_FILTER (genome.fa);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670043265223;1670043280000;1670043281000;15777;183;-;62.3;0.0;4804608;12120064;4804608;12136448;12988147;1266;463;17;0;16384;9;9;/data/work/d7/c75789edb57a2e60e11f10cbaf4fc2;-;-
30;cpu14;6f/628b0e;nf-6f628b0e14d1a084c90dfe7a1a8bea97;TRIMGALORE;OSMOTIC_STRESS_T0A_R2_T1;TRIMGALORE (OSMOTIC_STRESS_T0A_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670043266034;1670043273000;1670043282000;15966;9131;-;238.6;0.2;254992384;3210182656;254992384;3267170304;344119984;294033768;56060;25761;0;24989696;4414;148;/data/work/6f/628b0e14d1a084c90dfe7a1a8bea97;-;-
61;node8;8d/ddd885;nf-8dddd8851c3dbebf19baabac8ef30d0b;get_software_versions;-;get_software_versions;COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670043267061;1670043276000;1670043281000;13939;4628;-;91.3;0.0;67395584;4421070848;67395584;4485984256;51676098;40453;13175;111;0;192512;51;63;/data/work/8d/ddd8851c3dbebf19baabac8ef30d0b;-;-
63;node10;4c/8a6b7c;nf-4c8a6b7cefed0941ef07d16f71d745a5;MAKE_TSS_BED;genes.bed;MAKE_TSS_BED (genes.bed);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670043280081;1670043285000;1670043285000;4919;59;-;58.7;0.0;3203072;5615616;3203072;5632000;854747;611012;230;39;0;212992;3;3;/data/work/4c/8a6b7cefed0941ef07d16f71d745a5;-;-
11;cpu05;2d/e8fd41;nf-2de8fd41388bd53d9ea77d0d782a5420;TRIMGALORE;OSMOTIC_STRESS_T0_R2_T1;TRIMGALORE (OSMOTIC_STRESS_T0_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670043265904;1670043277000;1670043287000;21096;10493;-;217.2;0.2;277995520;3212267520;282894336;3217510400;344128346;294033597;56735;25715;0;24961024;2809;156;/data/work/2d/e8fd41388bd53d9ea77d0d782a5420;-;-
10;node8;b0/dc11c9;nf-b0dc11c9688de326eea18468a7d88d24;TRIMGALORE;OSMOTIC_STRESS_T0_R1_T1;TRIMGALORE (OSMOTIC_STRESS_T0_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670043265938;1670043275000;1670043285000;19062;10421;-;218.0;0.2;275759104;3212361728;275759104;3269349376;341836555;291748840;56013;25576;0;24834048;3100;133;/data/work/b0/dc11c9688de326eea18468a7d88d24;-;-
12;node10;ce/b8148d;nf-ceb8148dbae5ae19da76095d57abc6a8;TRIMGALORE;OSMOTIC_STRESS_T0A_R1_T1;TRIMGALORE (OSMOTIC_STRESS_T0A_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670043266063;1670043277000;1670043287000;20937;9248;-;244.5;0.2;268492800;3212386304;270897152;3267276800;341828624;291749026;56284;25553;0;24875008;4210;135;/data/work/ce/b8148dbae5ae19da76095d57abc6a8;-;-
31;cpu05;75/0dd54b;nf-750dd54b59c5aebef14d89cfd41fc9a0;TRIMGALORE;OSMOTIC_STRESS_T0B_R1_T1;TRIMGALORE (OSMOTIC_STRESS_T0B_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670043266157;1670043278000;1670043288000;21843;10186;-;220.8;0.2;248209408;3212386304;248311808;3269373952;341835196;291749048;56217;25530;0;24813568;4771;164;/data/work/75/0dd54b59c5aebef14d89cfd41fc9a0;-;-
34;node8;12/96c8d2;nf-1296c8d25547823f04763cbab25a4b61;TRIMGALORE;OSMOTIC_STRESS_T0B_R2_T1;TRIMGALORE (OSMOTIC_STRESS_T0B_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670043266187;1670043275000;1670043285000;18813;10236;-;228.7;0.2;265093120;3212267520;267538432;3267158016;344129405;294033683;56545;25692;0;24989696;4509;182;/data/work/12/96c8d25547823f04763cbab25a4b61;-;-
38;node10;ac/b65141;nf-acb651411456fca0e256ad62e2ec98e4;TRIMGALORE;OSMOTIC_STRESS_T0C_R2_T1;TRIMGALORE (OSMOTIC_STRESS_T0C_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670043266286;1670043277000;1670043287000;20714;10225;-;224.1;0.2;291401728;3212275712;291401728;3269263360;344129384;294033767;56597;25738;0;25014272;4405;137;/data/work/ac/b651411456fca0e256ad62e2ec98e4;-;-
