task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
2;node8;e5/1e5d1b;nf-e51e5d1bc1611024180a997ade6fc891;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES;genome.fa;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1669898935274;1669898939000;1669898939000;3726;0;-;70.2;0.0;3223552;5632000;3223552;5636096;12473786;5509;426;20;0;16384;6;5;/data/work/e5/1e5d1bc1611024180a997ade6fc891;-;-
3;node10;1b/04d845;nf-1b04d845f1b2bb9e9973d3996efd6775;NFCORE_CHIPSEQ:CHIPSEQ:KHMER_UNIQUEKMERS;genome.fa;NFCORE_CHIPSEQ:CHIPSEQ:KHMER_UNIQUEKMERS (genome.fa);COMPLETED;0;-;quay.io/biocontainers/khmer:3.0.0a3--py37haa7609a_2;2;14400000;-;12884901888;1;1669898935230;1669898941000;1669898944000;8770;2000;-;155.2;0.0;52465664;1129779200;52465664;1196892160;16913001;3449;2472;23;0;16384;11;39;/data/work/1b/04d845f1b2bb9e9973d3996efd6775;-;-
4;cpu14;a5/7ab9eb;nf-a57ab9ebc291208fdf43e6adddc2d819;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED;genes.gtf;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf);COMPLETED;0;-;quay.io/biocontainers/perl:5.26.2;2;14400000;-;12884901888;1;1669898935315;1669898943000;1669898947000;11685;2000;-;16.5;0.0;2904064;11567104;2904064;11571200;12240088;401950;1653;66;131072;409600;2;0;/data/work/a5/7ab9ebc291208fdf43e6adddc2d819;-;-
5;cpu05;ef/f737e5;nf-eff737e5d694d2cf8e496c37c2be60d2;NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.8.3;1;14400000;-;6442450944;1;1669898935357;1669898945000;1669898947000;11643;0;-;65.5;0.0;2985984;11567104;2985984;11571200;684723;3042;248;17;831488;12288;2;0;/data/work/ef/f737e5d694d2cf8e496c37c2be60d2;-;-
6;node10;d9/1fd456;nf-d91fd456ad1075a99f5ea1bb606d8415;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS;genome.fa.sizes;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes);COMPLETED;0;-;quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0;1;14400000;-;6442450944;1;1669898942350;1669898946000;1669898947000;4650;0;-;61.0;0.0;2908160;11567104;2908160;11571200;47199;619;144;33;0;12288;3;0;/data/work/d9/1fd456ad1075a99f5ea1bb606d8415;-;-
1;cpu05;f6/71eab3;nf-f671eab3923abd095767215f4bc1d76f;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:BWA_INDEX;genome.fa;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:BWA_INDEX (genome.fa);COMPLETED;0;-;quay.io/biocontainers/bwa:0.7.17--hed695b0_7;6;21600000;-;53687091200;1;1669898935392;1669898946000;1669898955000;19608;7000;-;61.7;0.1;132599808;151502848;132599808;151506944;56622535;33436141;1683;70;0;33476608;402;469;/data/work/f6/71eab3923abd095767215f4bc1d76f;-;-
10;node8;01/66ccd5;nf-0166ccd53db36551e14b9bb7d7e1e528;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC;SPT5_INPUT_REP2_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT5_INPUT_REP2_T1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669898952393;1669898960000;1669898965000;12607;4000;-;212.6;0.2;255197184;4635860992;259059712;4666916864;29942337;3335383;29717;10645;0;3776512;10;4;/data/work/01/66ccd53db36551e14b9bb7d7e1e528;-;-
14;node8;f6/cbd0f7;nf-f6cbd0f7cde67183520b3e35b556363b;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC;SPT5_T15_REP1_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT5_T15_REP1_T1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669898952494;1669898959000;1669898966000;13506;5000;-;222.7;0.3;345255936;4640055296;350408704;4666916864;32695677;4174071;35324;12539;0;4608000;10;7;/data/work/f6/cbd0f7cde67183520b3e35b556363b;-;-
15;cpu05;3a/44ed33;nf-3a44ed331069202a7911a5b6f302a6c8;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC;SPT5_T15_REP2_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT5_T15_REP2_T1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669898952562;1669898956000;1669898961000;8438;4000;-;236.9;0.2;338448384;4640055296;339279872;4668563456;32674702;4203784;35223;12541;0;4632576;16;3;/data/work/3a/44ed331069202a7911a5b6f302a6c8;-;-
20;cpu05;1e/8c9761;nf-1e8c976165549c3a9a5850b03ebd7969;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC;SPT6_T15_REP1_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT6_T15_REP1_T1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669898952693;1669898957000;1669898963000;10307;4000;-;202.3;0.2;329101312;4640055296;330899456;4666916864;32660920;4174081;35318;12447;0;4587520;10;6;/data/work/1e/8c976165549c3a9a5850b03ebd7969;-;-
7;node10;71/b9c537;nf-71b9c53755b1a94171750ce58a09b574;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC;SPT5_INPUT_REP1_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT5_INPUT_REP1_T1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669898952357;1669898962000;1669898968000;15643;5000;-;207.1;0.2;303755264;4640055296;306802688;4668325888;29980103;3360391;29689;10679;0;3833856;10;8;/data/work/71/b9c53755b1a94171750ce58a09b574;-;-
