task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;node10;31/73129a;nf-3173129ac962faf92c8307e3bdb97538;NFCORE_CHIPSEQ:CHIPSEQ:KHMER_UNIQUEKMERS;genome.fa;NFCORE_CHIPSEQ:CHIPSEQ:KHMER_UNIQUEKMERS (genome.fa);COMPLETED;0;-;quay.io/biocontainers/khmer:3.0.0a3--py37haa7609a_2;2;14400000;-;12884901888;1;1669950580358;1669950583000;1669950585000;4642;2000;-;185.1;0.0;54771712;1264054272;54771712;1331408896;16913001;3449;2472;23;0;16384;16;51;/data/work/31/73129ac962faf92c8307e3bdb97538;-;-
2;cpu05;39/630fc3;nf-39630fc37cb028a2a921e6cf116cbb38;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED;genes.gtf;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf);COMPLETED;0;-;quay.io/biocontainers/perl:5.26.2;2;14400000;-;12884901888;1;1669950580307;1669950585000;1669950589000;8693;2000;-;26.0;0.0;14106624;34844672;14106624;34856960;12240071;401950;1653;66;0;409600;10;118;/data/work/39/630fc37cb028a2a921e6cf116cbb38;-;-
3;node8;3d/bb07fe;nf-3dbb07feab2ad10c782402eb251cabd6;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:BWA_INDEX;genome.fa;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:BWA_INDEX (genome.fa);COMPLETED;0;-;quay.io/biocontainers/bwa:0.7.17--hed695b0_7;6;21600000;-;53687091200;1;1669950580406;1669950583000;1669950590000;9594;5000;-;92.0;0.1;132632576;151502848;132632576;151506944;56622333;33436132;1682;70;0;33476608;432;398;/data/work/3d/bb07feab2ad10c782402eb251cabd6;-;-
5;cpu14;30/5a4644;nf-305a4644c799ead2ec7cd7651196a208;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES;genome.fa;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1669950580445;1669950587000;1669950588000;7555;1000;-;73.8;0.0;3330048;5632000;3330048;5636096;12474016;5519;427;20;0;16384;2;1;/data/work/30/5a4644c799ead2ec7cd7651196a208;-;-
4;cpu05;47/2c9388;nf-472c93889b93ea745e688ef94e506081;NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.8.3;1;14400000;-;6442450944;1;1669950580480;1669950585000;1669950586000;5520;0;-;66.1;0.0;2891776;11567104;2891776;11571200;684725;3042;248;17;0;12288;4;1;/data/work/47/2c93889b93ea745e688ef94e506081;-;-
9;cpu14;14/00a318;nf-1400a31833cf9afded3dd14ccd1e1681;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC;SPT5_INPUT_REP2_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT5_INPUT_REP2_T1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669950593064;1669950602000;1669950607000;13936;4000;-;235.6;0.2;311738368;4640055296;316010496;4668563456;29938860;3335392;29535;10645;0;3710976;12;10;/data/work/14/00a31833cf9afded3dd14ccd1e1681;-;-
15;cpu14;b3/55a584;nf-b355a5844e15553882e979f8a2ae3629;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC;SPT5_T15_REP2_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT5_T15_REP2_T1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669950593227;1669950600000;1669950607000;13773;4000;-;237.4;0.2;327331840;4640055296;327331840;4697346048;32685775;4203783;35259;12495;0;4579328;11;10;/data/work/b3/55a5844e15553882e979f8a2ae3629;-;-
6;node10;7b/af0e47;nf-7baf0e4799927d73415264f1076f71c7;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS;genome.fa.sizes;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes);COMPLETED;0;-;quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0;1;14400000;-;6442450944;1;1669950592965;1669950604000;1669950606000;13035;1000;-;3.3;0.0;3010560;11567104;3010560;11571200;47200;618;144;33;0;12288;2;0;/data/work/7b/af0e4799927d73415264f1076f71c7;-;-
11;cpu05;8b/e552e1;nf-8be552e1af5b3e17569c89350c000f6c;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC;SPT5_T0_REP1_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT5_T0_REP1_T1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669950593126;1669950605000;1669950610000;16874;4000;-;235.6;0.2;336289792;4640055296;336818176;4697346048;32442777;4198800;34858;12491;0;4673536;10;3;/data/work/8b/e552e1af5b3e17569c89350c000f6c;-;-
16;cpu05;b4/a79e63;nf-b4a79e63753d3fd011a32170da1f9d9a;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC;SPT6_INPUT_REP1_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT6_INPUT_REP1_T1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669950593265;1669950604000;1669950609000;15735;4000;-;192.8;0.2;293888000;4640055296;294965248;4666916864;29977243;3360390;29719;10679;0;3854336;10;10;/data/work/b4/a79e63753d3fd011a32170da1f9d9a;-;-
17;node10;c7/37b54e;nf-c737b54e42a621be64df62cd37bf48b7;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC;SPT6_INPUT_REP2_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT6_INPUT_REP2_T1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669950593300;1669950605000;1669950611000;17700;5000;-;210.4;0.2;307404800;4640055296;308281344;4666916864;29942263;3335393;29627;10645;0;3878912;11;1;/data/work/c7/37b54e42a621be64df62cd37bf48b7;-;-
