task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
2;node10;ab/855e50;nf-ab855e5083773c8e20e01e042943878c;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES;genome.fa;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1669923444769;1669923449000;1669923449000;4231;0;-;81.0;0.0;3309568;5632000;3309568;5636096;12473995;5519;427;20;0;16384;6;0;/data/work/ab/855e5083773c8e20e01e042943878c;-;-
1;node10;35/202b93;nf-35202b93ba4a956729da6f7f623ac86f;NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.8.3;1;14400000;-;6442450944;1;1669923444686;1669923450000;1669923453000;8314;0;-;56.0;0.0;2957312;11567104;2957312;11571200;684720;3042;248;17;0;12288;2;0;/data/work/35/202b93ba4a956729da6f7f623ac86f;-;-
4;cpu05;56/8e8bd6;nf-568e8bd61dc30d6dfc0b8675f2f904da;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED;genes.gtf;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf);COMPLETED;0;-;quay.io/biocontainers/perl:5.26.2;2;14400000;-;12884901888;1;1669923444734;1669923456000;1669923457000;12266;0;-;91.9;0.0;2883584;11567104;2883584;11571200;12240070;401950;1653;66;0;409600;2;1;/data/work/56/8e8bd61dc30d6dfc0b8675f2f904da;-;-
3;cpu14;06/01e97d;nf-0601e97dbd84a74b87095c3c8440a515;NFCORE_CHIPSEQ:CHIPSEQ:KHMER_UNIQUEKMERS;genome.fa;NFCORE_CHIPSEQ:CHIPSEQ:KHMER_UNIQUEKMERS (genome.fa);COMPLETED;0;-;quay.io/biocontainers/khmer:3.0.0a3--py37haa7609a_2;2;14400000;-;12884901888;1;1669923444839;1669923454000;1669923457000;12161;2000;-;126.2;0.0;41299968;1244807168;57671680;1333964800;16913023;3449;2472;23;0;16384;14;45;/data/work/06/01e97dbd84a74b87095c3c8440a515;-;-
6;node10;aa/7093b6;nf-aa7093b68c6f3aae6442d2060955ce4c;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS;genome.fa.sizes;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes);COMPLETED;0;-;quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0;1;14400000;-;6442450944;1;1669923452176;1669923456000;1669923457000;4824;0;-;61.5;0.0;2908160;11567104;2908160;11571200;47201;619;144;33;0;12288;4;1;/data/work/aa/7093b68c6f3aae6442d2060955ce4c;-;-
5;node8;2c/88157b;nf-2c88157b1de43b23a02c7d46ca11224a;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:BWA_INDEX;genome.fa;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:BWA_INDEX (genome.fa);COMPLETED;0;-;quay.io/biocontainers/bwa:0.7.17--hed695b0_7;6;21600000;-;53687091200;1;1669923444805;1669923453000;1669923462000;17195;6000;-;79.7;0.1;132747264;151502848;132747264;151506944;56622327;33436132;1683;70;81920;33476608;389;435;/data/work/2c/88157b1de43b23a02c7d46ca11224a;-;-
14;node10;70/e0e9f1;nf-70e0e9f1a96ca311679d11d222c50949;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC;SPT5_T15_REP1_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT5_T15_REP1_T1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669923457333;1669923462000;1669923466000;8667;3000;-;292.5;0.2;307539968;4640055296;307539968;4666916864;32696797;4174080;35434;12447;0;4636672;10;3;/data/work/70/e0e9f1a96ca311679d11d222c50949;-;-
15;cpu05;5f/62f5ba;nf-5f62f5ba7eaaba9d24d0fcefcda5ef12;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC;SPT5_T15_REP2_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT5_T15_REP2_T1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669923457369;1669923463000;1669923469000;11631;4000;-;245.4;0.2;336314368;4640055296;337281024;4668325888;32673939;4203784;35176;12495;0;4628480;10;6;/data/work/5f/62f5ba7eaaba9d24d0fcefcda5ef12;-;-
20;cpu14;6d/75cd6d;nf-6d75cd6d2bd059487a11a047f175cc45;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC;SPT6_T15_REP1_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT6_T15_REP1_T1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669923457508;1669923461000;1669923465000;7492;3000;-;236.5;0.2;330125312;4640055296;333320192;4666916864;32659497;4174079;35254;12447;0;4665344;16;12;/data/work/6d/75cd6d2bd059487a11a047f175cc45;-;-
21;node8;73/28b5be;nf-7328b5beb076b993845cbc78e9277ac8;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC;SPT6_T15_REP2_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT6_T15_REP2_T1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669923457639;1669923462000;1669923466000;8361;3000;-;238.2;0.3;342134784;4640055296;347176960;4666916864;32675405;4203774;35284;12495;0;4612096;16;5;/data/work/73/28b5beb076b993845cbc78e9277ac8;-;-
