task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
4;node8;2c/47423d;nf-2c47423d761a974dfd0e2bdc016f1bed;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED;genes.gtf;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf);COMPLETED;0;-;quay.io/biocontainers/perl:5.26.2;2;14400000;-;12884901888;1;1669974294049;1669974296000;1669974298000;3951;1000;-;95.6;0.0;2740224;11567104;2740224;11571200;12239869;401941;1652;66;0;409600;4;1;/data/work/2c/47423d761a974dfd0e2bdc016f1bed;-;-
3;node10;92/dc5a17;nf-92dc5a17f55f112e1e4755f490dbaf78;NFCORE_CHIPSEQ:CHIPSEQ:KHMER_UNIQUEKMERS;genome.fa;NFCORE_CHIPSEQ:CHIPSEQ:KHMER_UNIQUEKMERS (genome.fa);COMPLETED;0;-;quay.io/biocontainers/khmer:3.0.0a3--py37haa7609a_2;2;14400000;-;12884901888;1;1669974293939;1669974298000;1669974299000;5061;1000;-;187.5;0.0;54677504;1197260800;54677504;1197264896;16913018;3461;2472;23;4907008;16384;78;57;/data/work/92/dc5a17f55f112e1e4755f490dbaf78;-;-
1;cpu14;0d/fcddd7;nf-0dfcddd74b8ed7ca3789a94700da6da7;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES;genome.fa;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1669974293894;1669974303000;1669974305000;11106;0;-;60.4;0.0;3317760;5632000;3317760;5636096;12474012;5518;427;20;0;16384;2;0;/data/work/0d/fcddd74b8ed7ca3789a94700da6da7;-;-
5;cpu14;54/d9c257;nf-54d9c25723fe3112d9bd83d57793b9a7;NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.8.3;1;14400000;-;6442450944;1;1669974294015;1669974305000;1669974306000;11985;0;-;49.5;0.0;2887680;11567104;2887680;11571200;684738;3042;248;17;0;12288;2;2;/data/work/54/d9c25723fe3112d9bd83d57793b9a7;-;-
2;cpu05;f1/95d254;nf-f195d254a987329d95cbb397d4606aec;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:BWA_INDEX;genome.fa;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:BWA_INDEX (genome.fa);COMPLETED;0;-;quay.io/biocontainers/bwa:0.7.17--hed695b0_7;6;21600000;-;53687091200;1;1669974293976;1669974302000;1669974311000;17024;7000;-;66.5;0.1;132509696;151502848;132509696;151506944;56622535;33436141;1683;70;0;33476608;299;431;/data/work/f1/95d254a987329d95cbb397d4606aec;-;-
33;cpu05;e8/d77610;nf-e8d77610e0e964d3409005d2887d327d;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC;SPT7_T15_REP1_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT7_T15_REP1_T1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669974311873;1669974315000;1669974320000;8127;4000;-;259.5;0.2;337526784;4640129024;338321408;4666920960;32694592;4174080;35296;12539;0;4636672;16;14;/data/work/e8/d77610e0e964d3409005d2887d327d;-;-
6;node10;84/afb96c;nf-84afb96cf8fbadd62c46b53de048c02d;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS;genome.fa.sizes;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes);COMPLETED;0;-;quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0;1;14400000;-;6442450944;1;1669974310970;1669974318000;1669974320000;9030;0;-;9.7;0.0;3006464;11567104;3006464;11571200;47200;618;144;33;0;12288;2;0;/data/work/84/afb96cf8fbadd62c46b53de048c02d;-;-
21;cpu14;24/38c2fb;nf-2438c2fb15bbf0c12fe849aa6f823c1b;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC;SPT6_T15_REP1_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT6_T15_REP1_T1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669974311495;1669974317000;1669974323000;11505;4000;-;228.9;0.2;326062080;4640055296;327618560;4669071360;32692393;4174079;35297;12447;0;4624384;10;2;/data/work/24/38c2fb15bbf0c12fe849aa6f823c1b;-;-
22;cpu05;73/3f2eba;nf-733f2ebad5e2533760088b8f35908e2d;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC;SPT6_T15_REP2_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT6_T15_REP2_T1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669974311593;1669974316000;1669974321000;9407;4000;-;265.1;0.2;336613376;4640055296;341344256;4669079552;32673215;4203783;35179;12541;0;4579328;16;13;/data/work/73/3f2ebad5e2533760088b8f35908e2d;-;-
34;cpu14;13/e9ab73;nf-13e9ab735ea52db76cf826c531b6d9fc;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC;SPT7_T15_REP2_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT7_T15_REP2_T1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669974311937;1669974318000;1669974323000;11063;3000;-;238.7;0.2;331599872;4640055296;332681216;4666916864;32672092;4203783;35119;12541;0;4636672;10;3;/data/work/13/e9ab735ea52db76cf826c531b6d9fc;-;-
