task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
5;node8;bc/cac2e3;nf-bccac2e30b87a67719f0488f751e82bb;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED;genes.gtf;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf);COMPLETED;0;-;quay.io/biocontainers/perl:5.26.2;2;14400000;-;12884901888;1;1669922653952;1669922656000;1669922658000;4048;0;-;93.7;0.0;2879488;11567104;2879488;11571200;12239862;401941;1652;66;0;409600;4;5;/data/work/bc/cac2e30b87a67719f0488f751e82bb;-;-
3;cpu14;0f/5ec2ec;nf-0f5ec2ec67c2f286e38ec38befacfa57;NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.8.3;1;14400000;-;6442450944;1;1669922653906;1669922658000;1669922659000;5094;0;-;68.8;0.0;2936832;11567104;2936832;11571200;684741;3042;248;17;0;12288;4;5;/data/work/0f/5ec2ec67c2f286e38ec38befacfa57;-;-
4;cpu14;68/c5ca89;nf-68c5ca8915c851275e0b1329f7437178;NFCORE_CHIPSEQ:CHIPSEQ:KHMER_UNIQUEKMERS;genome.fa;NFCORE_CHIPSEQ:CHIPSEQ:KHMER_UNIQUEKMERS (genome.fa);COMPLETED;0;-;quay.io/biocontainers/khmer:3.0.0a3--py37haa7609a_2;2;14400000;-;12884901888;1;1669922653994;1669922659000;1669922662000;8006;2000;-;121.3;0.0;32399360;309399552;32399360;309403648;16913022;3449;2472;23;0;16384;11;52;/data/work/68/c5ca8915c851275e0b1329f7437178;-;-
2;node10;c1/feeebb;nf-c1feeebbc14de75c665d1f796c353af1;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES;genome.fa;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1669922654063;1669922661000;1669922661000;6937;0;-;63.8;0.0;3276800;5632000;3276800;5636096;12473997;5519;427;20;1748992;16384;2;0;/data/work/c1/feeebbc14de75c665d1f796c353af1;-;-
1;cpu05;9e/b3bae1;nf-9eb3bae100a1565ff2fa04f61d07c4fe;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:BWA_INDEX;genome.fa;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:BWA_INDEX (genome.fa);COMPLETED;0;-;quay.io/biocontainers/bwa:0.7.17--hed695b0_7;6;21600000;-;53687091200;1;1669922654029;1669922659000;1669922667000;12971;6000;-;78.2;0.1;132726784;151502848;132726784;151506944;56622535;33436141;1683;70;0;33476608;538;433;/data/work/9e/b3bae100a1565ff2fa04f61d07c4fe;-;-
13;cpu05;83/b346a6;nf-83b346a65e5542f19eb8b87726fdd96f;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC;SPT5_T15_REP1_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT5_T15_REP1_T1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669922666296;1669922669000;1669922673000;6704;3000;-;229.4;0.2;323710976;4640055296;324411392;4669972480;32693652;4174079;35369;12493;0;4628480;16;4;/data/work/83/b346a65e5542f19eb8b87726fdd96f;-;-
22;cpu05;22/56226b;nf-2256226b446bf28bea9e08894a70f951;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC;SPT6_T15_REP2_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT6_T15_REP2_T1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669922666759;1669922672000;1669922680000;13241;4000;-;229.0;0.2;299937792;4640055296;299937792;4697346048;32673427;4203783;35243;12495;0;4644864;11;3;/data/work/22/56226b446bf28bea9e08894a70f951;-;-
34;node10;3e/0f4af1;nf-3e0f4af17a97fd8ebf9eb5da68c74e26;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC;SPT7_T15_REP2_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT7_T15_REP2_T1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669922667070;1669922676000;1669922681000;13930;4000;-;261.0;0.2;335462400;4645068800;335462400;4668321792;32674928;4203783;35198;12541;0;4579328;10;8;/data/work/3e/0f4af17a97fd8ebf9eb5da68c74e26;-;-
42;node8;d7/5438e8;nf-d75438e8b0f349be1ee9ef5ec0a04e1e;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS;genome.fa.sizes;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes);COMPLETED;0;-;quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0;1;14400000;-;6442450944;1;1669922667314;1669922678000;1669922680000;12686;0;-;13.6;0.0;2977792;11567104;2977792;11571200;46996;610;143;33;0;12288;2;2;/data/work/d7/5438e8b0f349be1ee9ef5ec0a04e1e;-;-
19;node10;ea/5567f6;nf-ea5567f6e111f20d0c1f09fbe89a3384;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC;SPT6_T15_REP1_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT6_T15_REP1_T1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669922666641;1669922675000;1669922681000;14359;5000;-;217.1;0.2;338350080;4640055296;345538560;4697346048;32694695;4174080;35236;12447;2932736;4603904;46;0;/data/work/ea/5567f6e111f20d0c1f09fbe89a3384;-;-
