task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
4;cpu05;6c/07ea44;nf-6c07ea44139847854099381d5931723f;NFCORE_CHIPSEQ:CHIPSEQ:KHMER_UNIQUEKMERS;genome.fa;NFCORE_CHIPSEQ:CHIPSEQ:KHMER_UNIQUEKMERS (genome.fa);COMPLETED;0;-;quay.io/biocontainers/khmer:3.0.0a3--py37haa7609a_2;2;14400000;-;12884901888;1;1669978267728;1669978270000;1669978272000;4272;2000;-;185.6;0.0;54312960;1331970048;54853632;1333604352;16913005;3449;2472;23;0;16384;15;49;/data/work/6c/07ea44139847854099381d5931723f;-;-
3;node10;cb/b920ff;nf-cbb920ffb6fd9c25b602751d8dcfce8f;NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.8.3;1;14400000;-;6442450944;1;1669978267643;1669978273000;1669978274000;6357;0;-;60.8;0.0;3018752;11567104;3018752;11571200;684719;3042;248;17;0;12288;3;2;/data/work/cb/b920ffb6fd9c25b602751d8dcfce8f;-;-
5;cpu14;57/2c9494;nf-572c9494dd52c718bb3dd0ae8209a661;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES;genome.fa;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1669978267684;1669978273000;1669978274000;6316;0;-;15.3;0.0;3252224;5632000;3252224;5636096;12474014;5519;427;20;0;16384;2;0;/data/work/57/2c9494dd52c718bb3dd0ae8209a661;-;-
1;node10;d8/02b995;nf-d802b9952509c19d1a54a6b581df79d7;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:BWA_INDEX;genome.fa;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:BWA_INDEX (genome.fa);COMPLETED;0;-;quay.io/biocontainers/bwa:0.7.17--hed695b0_7;6;21600000;-;53687091200;1;1669978267766;1669978274000;1669978281000;13234;6000;-;83.6;0.1;132964352;151502848;132964352;151506944;56622531;33436141;1683;70;0;33476608;540;424;/data/work/d8/02b9952509c19d1a54a6b581df79d7;-;-
2;node8;4b/37691f;nf-4b37691f408388ccdf6e86e0b2d8585f;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED;genes.gtf;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf);COMPLETED;0;-;quay.io/biocontainers/perl:5.26.2;2;14400000;-;12884901888;1;1669978267800;1669978276000;1669978279000;11200;0;-;47.5;0.0;2891776;11567104;2891776;11571200;12239870;401941;1652;66;0;409600;2;1;/data/work/4b/37691f408388ccdf6e86e0b2d8585f;-;-
15;node10;51/bd02e4;nf-51bd02e4edbdc26c96e71805743c483a;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC;SPT6_INPUT_REP1_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT6_INPUT_REP1_T1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669978280483;1669978284000;1669978288000;7517;3000;-;283.8;0.2;279617536;4640055296;279617536;4666920960;29980589;3360390;29734;10763;2830336;3792896;33;4;/data/work/51/bd02e4edbdc26c96e71805743c483a;-;-
16;node8;af/8e2ffe;nf-af8e2ffeb1bf168a3e4a8d33341cd502;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC;SPT6_INPUT_REP2_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT6_INPUT_REP2_T1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669978280514;1669978283000;1669978288000;7486;4000;-;252.0;0.2;306876416;4640055296;308125696;4666916864;29941720;3335383;29637;10645;0;3710976;16;13;/data/work/af/8e2ffeb1bf168a3e4a8d33341cd502;-;-
27;node10;d7/0e7acc;nf-d70e7acc50e8c582531d7f95988fb311;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC;SPT7_INPUT_REP2_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT7_INPUT_REP2_T1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669978280872;1669978286000;1669978292000;11128;5000;-;212.6;0.2;307113984;4640055296;311619584;4695248896;29942148;3335393;29592;10687;0;3792896;10;7;/data/work/d7/0e7acc50e8c582531d7f95988fb311;-;-
38;cpu14;42/f6ffb3;nf-42f6ffb3df110beb261d944fdb83dd6f;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS;genome.fa.sizes;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes);COMPLETED;0;-;quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0;1;14400000;-;6442450944;1;1669978281285;1669978288000;1669978290000;8715;1000;-;4.0;0.0;2994176;11567104;2994176;11571200;47218;618;144;33;0;12288;2;1;/data/work/42/f6ffb3df110beb261d944fdb83dd6f;-;-
8;cpu05;c6/267a0d;nf-c6267a0d7d0815f056611bd55568ef2f;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC;SPT5_INPUT_REP2_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT5_INPUT_REP2_T1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669978280222;1669978291000;1669978297000;16778;5000;-;224.5;0.2;311275520;4640055296;311349248;4699443200;29941558;3335393;29671;10729;0;3801088;10;3;/data/work/c6/267a0d7d0815f056611bd55568ef2f;-;-
