task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
4;cpu05;5c/8706ae;nf-5c8706aef3dc963984e7c64c7447abba;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES;genome.fa;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1669959308791;1669959319000;1669959320000;11209;0;-;46.9;0.0;3239936;5632000;3239936;5636096;12473998;5518;427;20;0;16384;2;0;/data/work/5c/8706aef3dc963984e7c64c7447abba;-;-
1;node10;21/3b39d9;nf-213b39d9a883915b3eb45cd82ba64976;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED;genes.gtf;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf);COMPLETED;0;-;quay.io/biocontainers/perl:5.26.2;2;14400000;-;12884901888;1;1669959308828;1669959314000;1669959319000;10172;1000;-;39.2;0.0;2830336;11567104;2830336;11571200;12240067;401950;1653;66;126976;409600;2;0;/data/work/21/3b39d9a883915b3eb45cd82ba64976;-;-
5;node8;c5/e26769;nf-c5e267691842c2adaeb7f5322d9ab4a0;NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.8.3;1;14400000;-;6442450944;1;1669959308700;1669959318000;1669959320000;11300;1000;-;5.9;0.0;2887680;11567104;2887680;11571200;684520;3032;247;17;0;12288;2;0;/data/work/c5/e267691842c2adaeb7f5322d9ab4a0;-;-
3;cpu05;98/6bf365;nf-986bf365f5b8edfa55a0ac6caeb81139;NFCORE_CHIPSEQ:CHIPSEQ:KHMER_UNIQUEKMERS;genome.fa;NFCORE_CHIPSEQ:CHIPSEQ:KHMER_UNIQUEKMERS (genome.fa);COMPLETED;0;-;quay.io/biocontainers/khmer:3.0.0a3--py37haa7609a_2;2;14400000;-;12884901888;1;1669959308865;1669959318000;1669959321000;12135;2000;-;146.6;0.0;44707840;992223232;44707840;1059336192;16913006;3449;2472;23;0;16384;13;30;/data/work/98/6bf365f5b8edfa55a0ac6caeb81139;-;-
2;node8;5f/b18547;nf-5fb18547fc99a18f604190a73a51d35b;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:BWA_INDEX;genome.fa;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:BWA_INDEX (genome.fa);COMPLETED;0;-;quay.io/biocontainers/bwa:0.7.17--hed695b0_7;6;21600000;-;53687091200;1;1669959308751;1669959319000;1669959326000;17249;6000;-;77.6;0.1;132636672;151502848;132636672;151506944;56622332;33436132;1682;70;0;33476608;517;409;/data/work/5f/b18547fc99a18f604190a73a51d35b;-;-
6;node10;42/f1b7aa;nf-42f1b7aa0df1c7b6ab7f1d9ce2fa091a;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS;genome.fa.sizes;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes);COMPLETED;0;-;quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0;1;14400000;-;6442450944;1;1669959321183;1669959324000;1669959326000;4817;0;-;59.8;0.0;3014656;11567104;3014656;11571200;47201;619;144;33;0;12288;3;0;/data/work/42/f1b7aa0df1c7b6ab7f1d9ce2fa091a;-;-
7;cpu05;2e/dd2459;nf-2edd245990cb084dbfe8da32a351bfa1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC;SPT5_INPUT_REP1_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT5_INPUT_REP1_T1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669959325966;1669959333000;1669959339000;13034;4000;-;209.9;0.2;313970688;4640055296;314040320;4695248896;29978205;3360391;29652;10679;0;3813376;10;7;/data/work/2e/dd245990cb084dbfe8da32a351bfa1;-;-
10;node8;58/f1f13a;nf-58f1f13a33e24e5dfecd3a435e2f3151;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC;SPT5_INPUT_REP2_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT5_INPUT_REP2_T1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669959325999;1669959329000;1669959333000;7001;3000;-;220.9;0.2;312573952;4640055296;317747200;4669079552;29940732;3335383;29659;10645;0;3731456;16;2;/data/work/58/f1f13a33e24e5dfecd3a435e2f3151;-;-
16;node8;6f/799ee7;nf-6f799ee750b53ba061d143aaa8e0d27b;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC;SPT6_INPUT_REP1_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT6_INPUT_REP1_T1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669959326172;1669959332000;1669959337000;10828;4000;-;239.8;0.2;304476160;4640055296;304934912;4669079552;29946091;3360381;29651;10679;0;3764224;10;6;/data/work/6f/799ee750b53ba061d143aaa8e0d27b;-;-
9;cpu05;93/1c0cc3;nf-931c0cc316aae92e62ceefdcde4ab465;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE;SPT5_INPUT_REP2_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (SPT5_INPUT_REP2_T1);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1669959326306;1669959332000;1669959340000;13694;8000;-;246.3;0.1;170377216;3208138752;171139072;3273162752;309436207;260236639;49705;22615;0;20406272;4732;92;/data/work/93/1c0cc316aae92e62ceefdcde4ab465;-;-
