task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;node10;10/fd8726;nf-10fd8726a87884a10cf9ded7d80c9317;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES;genome.fa;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1669925110367;1669925113000;1669925114000;3633;1000;-;76.0;0.0;3305472;5632000;3305472;5636096;12473994;5519;427;20;0;16384;3;2;/data/work/10/fd8726a87884a10cf9ded7d80c9317;-;-
2;node8;0f/e8ead3;nf-0fe8ead31b04db1f44b4f098319b70cd;NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.8.3;1;14400000;-;6442450944;1;1669925110240;1669925119000;1669925120000;9760;0;-;63.2;0.0;2797568;11567104;2797568;11571200;684515;3033;247;17;4096;12288;2;0;/data/work/0f/e8ead31b04db1f44b4f098319b70cd;-;-
5;cpu05;88/e2c7a6;nf-88e2c7a61e80ae22c0604a995e524811;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:BWA_INDEX;genome.fa;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:BWA_INDEX (genome.fa);COMPLETED;0;-;quay.io/biocontainers/bwa:0.7.17--hed695b0_7;6;21600000;-;53687091200;1;1669925110291;1669925115000;1669925125000;14709;7000;-;66.4;0.1;132706304;151502848;132706304;151506944;56622532;33436141;1683;70;0;33476608;432;416;/data/work/88/e2c7a61e80ae22c0604a995e524811;-;-
3;cpu14;42/7a1fd4;nf-427a1fd423236c921513272c97d1ea25;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED;genes.gtf;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf);COMPLETED;0;-;quay.io/biocontainers/perl:5.26.2;2;14400000;-;12884901888;1;1669925110330;1669925122000;1669925124000;13670;1000;-;71.0;0.0;2748416;11567104;2748416;11571200;12240087;401950;1653;66;0;409600;2;2;/data/work/42/7a1fd423236c921513272c97d1ea25;-;-
4;node8;ff/22d0c9;nf-ff22d0c9c2f34f6460076f2e5e0efe33;NFCORE_CHIPSEQ:CHIPSEQ:KHMER_UNIQUEKMERS;genome.fa;NFCORE_CHIPSEQ:CHIPSEQ:KHMER_UNIQUEKMERS (genome.fa);COMPLETED;0;-;quay.io/biocontainers/khmer:3.0.0a3--py37haa7609a_2;2;14400000;-;12884901888;1;1669925110406;1669925120000;1669925124000;13594;4000;-;102.4;0.0;51240960;1062526976;51240960;1129639936;16912813;3452;2471;23;577536;16384;21;36;/data/work/ff/22d0c9c2f34f6460076f2e5e0efe33;-;-
6;cpu14;07/f6dd65;nf-07f6dd65ebeba585c509ea42197fdbd4;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS;genome.fa.sizes;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes);COMPLETED;0;-;quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0;1;14400000;-;6442450944;1;1669925117389;1669925122000;1669925124000;6611;1000;-;16.2;0.0;2887680;11567104;2887680;11571200;47221;619;144;33;0;12288;2;1;/data/work/07/f6dd65ebeba585c509ea42197fdbd4;-;-
12;node10;35/b8f95c;nf-35b8f95c52c0bd7a93ab220f8f5c8c3b;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC;SPT5_T0_REP1_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT5_T0_REP1_T1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669925127366;1669925135000;1669925141000;13634;5000;-;226.3;0.2;338952192;4640055296;340328448;4669079552;32443286;4198801;34769;12491;0;4632576;10;2;/data/work/35/b8f95c52c0bd7a93ab220f8f5c8c3b;-;-
16;cpu14;c2/6579cc;nf-c26579cc7455bfc4aafb5f68340b22b7;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC;SPT6_INPUT_REP1_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT6_INPUT_REP1_T1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669925127503;1669925134000;1669925140000;12497;4000;-;203.4;0.2;308715520;4640055296;314007552;4668325888;29976864;3360390;29685;10679;0;3821568;10;6;/data/work/c2/6579cc7455bfc4aafb5f68340b22b7;-;-
17;node10;ed/f4141f;nf-edf4141f98c459320355175ac4af0b65;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC;SPT6_INPUT_REP2_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT6_INPUT_REP2_T1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669925127538;1669925135000;1669925140000;12462;3000;-;217.9;0.2;299225088;4640055296;300572672;4666916864;29907245;3335392;29547;10687;0;3735552;10;9;/data/work/ed/f4141f98c459320355175ac4af0b65;-;-
24;cpu05;0c/fb96d2;nf-0cfb96d2db8ba9728f0d4be99c7f7979;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC;SPT7_INPUT_REP1_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT7_INPUT_REP1_T1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669925127824;1669925136000;1669925141000;13176;3000;-;227.1;0.2;300650496;4640055296;302194688;4666916864;29978131;3360390;29715;10763;0;3833856;10;4;/data/work/0c/fb96d2db8ba9728f0d4be99c7f7979;-;-
