task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
5;node10;6b/e076aa;nf-6be076aa80edb0b94acf394daccb9db6;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED;genes.gtf;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf);COMPLETED;0;-;quay.io/biocontainers/perl:5.26.2;2;14400000;-;12884901888;1;1669931391842;1669931394000;1669931396000;4158;0;-;95.3;0.0;2924544;11567104;2924544;11571200;12240067;401950;1653;66;0;409600;6;0;/data/work/6b/e076aa80edb0b94acf394daccb9db6;-;-
3;node8;1f/1bba96;nf-1f1bba965cb71c8006a4823514f150be;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES;genome.fa;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1669931391918;1669931400000;1669931400000;8082;0;-;67.4;0.0;3268608;5632000;3268608;5636096;12473791;5510;426;20;0;16384;4;0;/data/work/1f/1bba965cb71c8006a4823514f150be;-;-
4;cpu05;d6/1813c1;nf-d61813c1e308e643ba0053657f49f66d;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:BWA_INDEX;genome.fa;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:BWA_INDEX (genome.fa);COMPLETED;0;-;quay.io/biocontainers/bwa:0.7.17--hed695b0_7;6;21600000;-;53687091200;1;1669931391803;1669931395000;1669931401000;9197;5000;-;92.4;0.1;132657152;151502848;132657152;151506944;56622533;33436141;1683;70;0;33476608;419;420;/data/work/d6/1813c1e308e643ba0053657f49f66d;-;-
2;cpu14;6a/b3d38a;nf-6ab3d38a799b0adce43d08f646504c25;NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.8.3;1;14400000;-;6442450944;1;1669931391881;1669931401000;1669931402000;10119;0;-;54.4;0.0;2871296;11567104;2871296;11571200;684739;3042;248;17;811008;12288;2;2;/data/work/6a/b3d38a799b0adce43d08f646504c25;-;-
1;cpu14;cf/118ceb;nf-cf118cebb2bf9cfd7ab8a7a8d30e3c8b;NFCORE_CHIPSEQ:CHIPSEQ:KHMER_UNIQUEKMERS;genome.fa;NFCORE_CHIPSEQ:CHIPSEQ:KHMER_UNIQUEKMERS (genome.fa);COMPLETED;0;-;quay.io/biocontainers/khmer:3.0.0a3--py37haa7609a_2;2;14400000;-;12884901888;1;1669931391952;1669931401000;1669931402000;10048;1000;-;188.5;0.0;54550528;1197158400;55361536;1198792704;16913035;3458;2472;23;57344;16384;16;54;/data/work/cf/118cebb2bf9cfd7ab8a7a8d30e3c8b;-;-
6;node10;0f/792777;nf-0f79277725fbf5e0cfd619f22160f838;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS;genome.fa.sizes;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes);COMPLETED;0;-;quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0;1;14400000;-;6442450944;1;1669931401384;1669931405000;1669931406000;4616;0;-;44.4;0.0;3010560;11567104;3010560;11571200;47201;619;144;33;0;12288;4;0;/data/work/0f/79277725fbf5e0cfd619f22160f838;-;-
9;cpu14;1f/d8014a;nf-1fd8014a5dc0e156a3b60e96450bbab2;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC;SPT5_INPUT_REP2_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT5_INPUT_REP2_T1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669931407396;1669931414000;1669931420000;12604;4000;-;237.2;0.2;254152704;4635865088;255467520;4666916864;29940446;3335392;29663;10687;1515520;3772416;22;9;/data/work/1f/d8014a5dc0e156a3b60e96450bbab2;-;-
13;node8;1c/0f5f55;nf-1c0f5f55c8d4d6802c5a67cecea3fb27;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC;SPT5_T0_REP2_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT5_T0_REP2_T1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669931407459;1669931413000;1669931418000;10541;4000;-;239.8;0.3;345485312;4640055296;346189824;4697346048;32487495;4171339;34879;12459;0;4653056;10;2;/data/work/1c/0f5f55c8d4d6802c5a67cecea3fb27;-;-
11;node10;ec/2501f3;nf-ec2501f34299490bd0a8d348fd24a74b;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC;SPT5_T0_REP1_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT5_T0_REP1_T1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669931407487;1669931409000;1669931415000;7513;5000;-;238.2;0.2;337715200;4640055296;339091456;4666916864;32443984;4198801;34833;12537;0;4644864;16;14;/data/work/ec/2501f34299490bd0a8d348fd24a74b;-;-
10;node10;47/4e57c2;nf-474e57c242b97f123ad4f0053a033ec2;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE;SPT5_INPUT_REP2_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (SPT5_INPUT_REP2_T1);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1669931407607;1669931412000;1669931420000;12393;8000;-;246.5;0.1;179654656;3208134656;179654656;3269251072;309438075;260236636;49595;22657;0;20439040;4302;106;/data/work/47/4e57c242b97f123ad4f0053a033ec2;-;-
17;node8;b6/79388a;nf-b679388ab618c177e8ffcc5a8087d25b;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC;SPT6_INPUT_REP2_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT6_INPUT_REP2_T1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669931407690;1669931415000;1669931421000;13310;4000;-;212.9;0.2;304504832;4640055296;305258496;4666916864;29941784;3335384;29644;10645;0;3760128;10;7;/data/work/b6/79388ab618c177e8ffcc5a8087d25b;-;-
7;cpu05;b0/49caaf;nf-b049caaf1ad0d6a2ec0b8664170c6eed;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC;SPT5_INPUT_REP1_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT5_INPUT_REP1_T1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669931407431;1669931416000;1669931422000;14569;5000;-;225.4;0.2;305692672;4640882688;307265536;4666920960;29978426;3360391;29672;10679;0;3858432;10;7;/data/work/b0/49caaf1ad0d6a2ec0b8664170c6eed;-;-
14;cpu05;f3/7ce233;nf-f37ce233a9fed891bbf64340c0468577;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC;SPT5_T15_REP1_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT5_T15_REP1_T1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669931407521;1669931417000;1669931423000;15479;5000;-;247.6;0.2;336220160;4640964608;337580032;4666916864;32694155;4174080;35323;12447;0;4571136;10;15;/data/work/f3/7ce233a9fed891bbf64340c0468577;-;-
15;cpu14;97/826395;nf-978263953ee0b73fe199ccfe109278b8;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC;SPT5_T15_REP2_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT5_T15_REP2_T1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669931407549;1669931416000;1669931422000;14451;5000;-;249.8;0.2;339279872;4640055296;340725760;4666916864;32675176;4203784;35241;12541;0;4599808;10;9;/data/work/97/8263953ee0b73fe199ccfe109278b8;-;-
8;node8;62/7a75b3;nf-627a75b314d33c161750826dae59a3d6;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE;SPT5_INPUT_REP1_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (SPT5_INPUT_REP1_T1);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1669931407577;1669931414000;1669931422000;14423;8000;-;231.1;0.1;137506816;3202138112;137506816;3269259264;309615425;260366754;49885;22622;0;20455424;3461;106;/data/work/62/7a75b314d33c161750826dae59a3d6;-;-
16;cpu14;13/48e708;nf-1348e70867b1b8b7e635d5aecd7350f4;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC;SPT6_INPUT_REP1_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT6_INPUT_REP1_T1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669931407632;1669931416000;1669931421000;13368;3000;-;249.8;0.2;304750592;4644339712;305704960;4666916864;29945475;3360390;29713;10679;0;3756032;10;6;/data/work/13/48e70867b1b8b7e635d5aecd7350f4;-;-
18;node10;e2/015c22;nf-e2015c222b0ef2c151f7cc607808ba8f;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC;SPT6_T0_REP1_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT6_T0_REP1_T1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669931407742;1669931417000;1669931422000;14258;4000;-;233.7;0.2;338935808;4640055296;344084480;4666916864;32442270;4198799;34812;12491;0;4599808;10;2;/data/work/e2/015c222b0ef2c151f7cc607808ba8f;-;-
12;cpu05;6c/ffc9e0;nf-6cffc9e09969f82fb4904278c6737c05;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE;SPT5_T0_REP1_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (SPT5_T0_REP1_T1);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1669931407664;1669931417000;1669931428000;20336;11000;-;216.8;0.2;270622720;3212337152;270725120;3269251072;343813284;291748040;56458;25506;0;24870912;4297;133;/data/work/6c/ffc9e09969f82fb4904278c6737c05;-;-
23;node10;e8/e055b9;nf-e8e055b916d7e920c63e3f3887669751;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC;SPT6_T15_REP1_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT6_T15_REP1_T1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669931407800;1669931422000;1669931427000;19200;4000;-;222.6;0.3;344625152;4640055296;344784896;4666916864;32695985;4174080;35381;12447;0;4644864;10;5;/data/work/e8/e055b916d7e920c63e3f3887669751;-;-
21;node8;d2/50b102;nf-d250b10287573d43d3eceb60f2f0f9be;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC;SPT6_T0_REP2_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT6_T0_REP2_T1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669931407858;1669931423000;1669931429000;21142;4000;-;260.8;0.3;342720512;4640186368;344145920;4666916864;32489327;4171339;34938;12505;0;4599808;9;2;/data/work/d2/50b10287573d43d3eceb60f2f0f9be;-;-
43;cpu14;04/996e76;nf-04996e76a033b14f9e529b82b4f2c35c;NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BWA_MEM;SPT5_INPUT_REP2_T1;NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BWA_MEM (SPT5_INPUT_REP2_T1);COMPLETED;0;-;quay.io/biocontainers/mulled-v2-fe8faa35dbf6dc65a0f7f5d4ea12e31a79f73e40:8110a70be2bfe7f75a2ea7f2a89cda4cc7732095-0;6;21600000;-;53687091200;1;1669931422171;1669931425000;1669931428000;5829;2000;-;398.4;0.1;133550080;683020288;133550080;1018568704;89146065;68013184;14557;13694;663552;12222464;29;3;/data/work/04/996e76a033b14f9e529b82b4f2c35c;-;-
44;node10;6c/cc6f51;nf-6ccc6f511c690654a4ef8d062c445336;NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BWA_MEM;SPT5_INPUT_REP1_T1;NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BWA_MEM (SPT5_INPUT_REP1_T1);COMPLETED;0;-;quay.io/biocontainers/mulled-v2-fe8faa35dbf6dc65a0f7f5d4ea12e31a79f73e40:8110a70be2bfe7f75a2ea7f2a89cda4cc7732095-0;6;21600000;-;53687091200;1;1669931426496;1669931429000;1669931431000;4504;1000;-;422.7;0.1;145338368;683020288;145338368;750133248;89034793;67882462;14068;13661;0;12230656;23;6;/data/work/6c/cc6f511c690654a4ef8d062c445336;-;-
25;node10;45/5110f9;nf-455110f99000aa6d38d262eabdae357e;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC;SPT6_T15_REP2_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT6_T15_REP2_T1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669931407947;1669931434000;1669931439000;31053;4000;-;243.3;0.2;338694144;4640522240;339681280;4668325888;32678043;4203784;35352;12495;0;4628480;9;3;/data/work/45/5110f99000aa6d38d262eabdae357e;-;-
