task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
4;node8;2a/43921a;nf-2a43921a878129d2bbe7737b3d4a5fca;NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.8.3;1;14400000;-;6442450944;1;1669901993374;1669901999000;1669902003000;9626;0;-;18.4;0.0;2916352;11567104;2916352;11571200;684511;3033;247;17;0;12288;2;1;/data/work/2a/43921a878129d2bbe7737b3d4a5fca;-;-
1;node8;98/6253a4;nf-986253a43ad27e9c1b131bbcbd9aa8cd;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES;genome.fa;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1669901993501;1669902000000;1669902002000;8499;1000;-;31.1;0.0;3207168;5632000;3207168;5636096;12473787;5510;426;20;0;16384;2;1;/data/work/98/6253a43ad27e9c1b131bbcbd9aa8cd;-;-
3;cpu05;de/230ed6;nf-de230ed61c8d98b8fef8fe764ecd58b2;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED;genes.gtf;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf);COMPLETED;0;-;quay.io/biocontainers/perl:5.26.2;2;14400000;-;12884901888;1;1669901993420;1669902003000;1669902006000;12580;2000;-;27.1;0.0;26230784;47030272;26230784;47042560;12240069;401950;1653;66;131072;409600;19;21;/data/work/de/230ed61c8d98b8fef8fe764ecd58b2;-;-
5;cpu14;7c/91f385;nf-7c91f38580bb8475ef10621723a89a75;NFCORE_CHIPSEQ:CHIPSEQ:KHMER_UNIQUEKMERS;genome.fa;NFCORE_CHIPSEQ:CHIPSEQ:KHMER_UNIQUEKMERS (genome.fa);COMPLETED;0;-;quay.io/biocontainers/khmer:3.0.0a3--py37haa7609a_2;2;14400000;-;12884901888;1;1669901993540;1669902004000;1669902006000;12460;2000;-;180.6;0.0;56995840;1266053120;56995840;1332183040;16913038;3461;2472;23;794624;16384;36;60;/data/work/7c/91f38580bb8475ef10621723a89a75;-;-
2;node10;76/25955f;nf-7625955f78e1fd7c9d3e17c4a0398287;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:BWA_INDEX;genome.fa;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:BWA_INDEX (genome.fa);COMPLETED;0;-;quay.io/biocontainers/bwa:0.7.17--hed695b0_7;6;21600000;-;53687091200;1;1669901993461;1669902003000;1669902010000;16539;6000;-;79.9;0.1;132837376;151502848;132837376;151506944;56622531;33436141;1684;70;0;33476608;405;429;/data/work/76/25955f78e1fd7c9d3e17c4a0398287;-;-
42;node10;d2/ce5e1e;nf-d2ce5e1ea857d612c0caaa8f53e19c0b;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS;genome.fa.sizes;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes);COMPLETED;0;-;quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0;1;14400000;-;6442450944;1;1669902006927;1669902010000;1669902011000;4073;0;-;64.0;0.0;3014656;11567104;3014656;11571200;47200;619;144;33;0;12288;4;1;/data/work/d2/ce5e1ea857d612c0caaa8f53e19c0b;-;-
27;cpu05;ab/5116b0;nf-ab5116b07fd5c00341f3160286ba3ab1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC;SPT7_T0_REP2_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT7_T0_REP2_T1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669902006486;1669902010000;1669902015000;8514;4000;-;238.7;0.2;334811136;4640055296;336416768;4668325888;32454375;4171348;34892;12551;0;4624384;17;4;/data/work/ab/5116b07fd5c00341f3160286ba3ab1;-;-
37;node10;48/a4315a;nf-48a4315a862f8a6d1ea048d941df0d75;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE;SPT7_INPUT_REP2_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (SPT7_INPUT_REP2_T1);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1669902006769;1669902011000;1669902018000;11231;7000;-;247.7;0.1;169848832;3208138752;169848832;3267158016;309429464;260236641;50131;22657;0;20418560;4377;111;/data/work/48/a4315a862f8a6d1ea048d941df0d75;-;-
14;cpu05;ae/aaded2;nf-aeaaded23a4ec06637cea9916757d4fe;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC;SPT5_T15_REP2_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT5_T15_REP2_T1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669902005928;1669902016000;1669902023000;17072;4000;-;238.8;0.2;339275776;4640055296;340975616;4668325888;32674857;4203784;35237;12495;0;4624384;10;7;/data/work/ae/aaded23a4ec06637cea9916757d4fe;-;-
22;cpu05;97/d5ce1e;nf-97d5ce1e481d17b3115860cb17ea800a;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE;SPT5_T0_REP2_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (SPT5_T0_REP2_T1);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1669902006296;1669902012000;1669902022000;15704;10000;-;221.2;0.2;270299136;3212324864;275087360;3269238784;346109485;294030575;56056;25675;0;25067520;4284;130;/data/work/97/d5ce1e481d17b3115860cb17ea800a;-;-
