task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
3;cpu14;f7/d726a3;nf-f7d726a3e0ec7bd0afa99bdd03c7f662;NFCORE_CHIPSEQ:CHIPSEQ:KHMER_UNIQUEKMERS;genome.fa;NFCORE_CHIPSEQ:CHIPSEQ:KHMER_UNIQUEKMERS (genome.fa);COMPLETED;0;-;quay.io/biocontainers/khmer:3.0.0a3--py37haa7609a_2;2;14400000;-;12884901888;1;1669920280029;1669920283000;1669920285000;4971;2000;-;185.6;0.0;55930880;1130643456;56737792;1196892160;16913023;3449;2472;23;0;16384;16;50;/data/work/f7/d726a3e0ec7bd0afa99bdd03c7f662;-;-
1;node8;9b/ae3fcc;nf-9bae3fcc51fc76531127e1411f4d295a;NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.8.3;1;14400000;-;6442450944;1;1669920280080;1669920286000;1669920288000;7920;1000;-;27.0;0.0;2883584;11567104;2883584;11571200;684515;3033;247;17;0;12288;2;0;/data/work/9b/ae3fcc51fc76531127e1411f4d295a;-;-
4;node10;df/56fb22;nf-df56fb22a543ebc937f694b1192b576d;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED;genes.gtf;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf);COMPLETED;0;-;quay.io/biocontainers/perl:5.26.2;2;14400000;-;12884901888;1;1669920280116;1669920286000;1669920287000;6884;0;-;52.2;0.0;2957312;11567104;2957312;11571200;12240066;401950;1653;66;0;409600;2;1;/data/work/df/56fb22a543ebc937f694b1192b576d;-;-
2;node8;cb/27631b;nf-cb27631b61ecc0ab28fa4219bb6e0d65;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES;genome.fa;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1669920280197;1669920285000;1669920286000;5803;1000;-;19.7;0.0;3325952;5632000;3325952;5636096;12473789;5510;426;20;0;16384;2;2;/data/work/cb/27631b61ecc0ab28fa4219bb6e0d65;-;-
5;cpu05;e7/daa253;nf-e7daa2537ad06c0499d132a9d1d7ea43;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:BWA_INDEX;genome.fa;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:BWA_INDEX (genome.fa);COMPLETED;0;-;quay.io/biocontainers/bwa:0.7.17--hed695b0_7;6;21600000;-;53687091200;1;1669920280157;1669920286000;1669920293000;12843;6000;-;89.8;0.1;132599808;151502848;132599808;151506944;56622535;33436141;1683;70;0;33476608;394;512;/data/work/e7/daa2537ad06c0499d132a9d1d7ea43;-;-
12;node10;9f/4b966e;nf-9f4b966e8baa51fbd3424fbd75e09218;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC;SPT5_T0_REP2_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT5_T0_REP2_T1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669920292278;1669920300000;1669920305000;12722;4000;-;188.8;0.2;334471168;4644282368;334471168;4695248896;32485964;4171350;34768;12505;0;4644864;10;6;/data/work/9f/4b966e8baa51fbd3424fbd75e09218;-;-
13;node10;4b/5ee052;nf-4b5ee0529e4f6ef4c78e0d63b0addbc0;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC;SPT5_T15_REP1_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT5_T15_REP1_T1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669920292388;1669920299000;1669920304000;11612;4000;-;186.6;0.2;337829888;4645019648;337829888;4666916864;32693818;4174081;35250;12539;0;4673536;10;2;/data/work/4b/5ee0529e4f6ef4c78e0d63b0addbc0;-;-
15;cpu05;b7/9e97da;nf-b79e97daf2066a689e60689e1df07fbc;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC;SPT6_INPUT_REP1_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT6_INPUT_REP1_T1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669920292424;1669920298000;1669920304000;11576;4000;-;213.0;0.2;273166336;4637958144;273338368;4666916864;29978496;3360392;29701;10679;0;3796992;10;3;/data/work/b7/9e97daf2066a689e60689e1df07fbc;-;-
26;node8;c9/c309e6;nf-c9c309e687130a6cc1d2b017d9594b79;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC;SPT7_T0_REP1_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT7_T0_REP1_T1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669920292923;1669920300000;1669920305000;12077;4000;-;209.1;0.2;311865344;4640055296;311902208;4666916864;32442495;4198792;34714;12537;0;4587520;11;5;/data/work/c9/c309e687130a6cc1d2b017d9594b79;-;-
33;cpu05;b7/7c30b3;nf-b77c30b3c2b647cc919a39163f00c63a;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC;SPT7_T15_REP2_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT7_T15_REP2_T1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669920293081;1669920298000;1669920305000;11919;5000;-;221.9;0.2;323960832;4640055296;323960832;4666916864;32674893;4203786;35176;12495;0;4653056;10;2;/data/work/b7/7c30b3c2b647cc919a39163f00c63a;-;-
42;cpu14;64/5a7aef;nf-645a7aef5c71ccb55c50091e24e8a555;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS;genome.fa.sizes;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes);COMPLETED;0;-;quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0;1;14400000;-;6442450944;1;1669920293421;1669920303000;1669920304000;10579;0;-;11.8;0.0;2748416;11567104;2748416;11571200;47222;619;144;33;0;12288;2;0;/data/work/64/5a7aef5c71ccb55c50091e24e8a555;-;-
8;cpu05;66/cc7d10;nf-66cc7d10155eb33515b0676c8a895fcf;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC;SPT5_INPUT_REP2_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT5_INPUT_REP2_T1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669920292244;1669920302000;1669920307000;14756;3000;-;217.6;0.2;308301824;4640055296;313180160;4668325888;29938155;3335392;29562;10645;0;3756032;10;7;/data/work/66/cc7d10155eb33515b0676c8a895fcf;-;-
23;cpu14;72/3e2a03;nf-723e2a03b9981ff96db9bf1743adfd5f;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC;SPT7_INPUT_REP1_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT7_INPUT_REP1_T1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669920292797;1669920304000;1669920309000;16203;4000;-;255.6;0.2;306290688;4640055296;306876416;4695248896;29979164;3360390;29782;10679;0;3874816;10;9;/data/work/72/3e2a03b9981ff96db9bf1743adfd5f;-;-
29;node8;7c/202ad3;nf-7c202ad35e2cab536d4ced92b008af6d;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC;SPT7_T0_REP2_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT7_T0_REP2_T1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669920292952;1669920301000;1669920307000;14048;5000;-;234.3;0.2;332201984;4640055296;333328384;4695248896;32489835;4171339;34981;12459;0;4595712;10;7;/data/work/7c/202ad35e2cab536d4ced92b008af6d;-;-
22;node10;87/975d81;nf-87975d811ccfbd88379d745f94909787;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC;SPT6_T15_REP2_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT6_T15_REP2_T1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669920292663;1669920309000;1669920314000;21337;4000;-;248.9;0.3;350265344;4640055296;350265344;4666916864;32674489;4203783;35181;12495;0;4579328;9;7;/data/work/87/975d811ccfbd88379d745f94909787;-;-
19;node8;fd/933558;nf-fd9335587b996ff71d1f45e511d0f797;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC;SPT6_T15_REP1_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT6_T15_REP1_T1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669920292699;1669920310000;1669920315000;22301;4000;-;274.3;0.2;321150976;4640055296;321847296;4666916864;32661269;4174070;35238;12447;0;4599808;9;6;/data/work/fd/9335587b996ff71d1f45e511d0f797;-;-
21;node8;5c/4477ea;nf-5c4477ea1f9abd6f2a94432b3a2dba85;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE;SPT5_T15_REP1_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (SPT5_T15_REP1_T1);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1669920292727;1669920300000;1669920311000;18273;11000;-;195.8;0.2;278872064;3212316672;278876160;3269238784;352593213;300192807;58336;25947;0;25858048;2907;119;/data/work/5c/4477ea1f9abd6f2a94432b3a2dba85;-;-
32;node10;88/b92ee7;nf-88b92ee743824c7498c63ffea92f3b40;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE;SPT6_T0_REP2_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (SPT6_T0_REP2_T1);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1669920293126;1669920302000;1669920313000;19874;10000;-;215.0;0.2;267853824;3212337152;270348288;3269251072;346110892;294030640;56430;25675;0;25006080;3655;136;/data/work/88/b92ee743824c7498c63ffea92f3b40;-;-
39;cpu14;f3/04e53a;nf-f304e53abc9d2f0ed2d9c111305de41e;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE;SPT7_T0_REP2_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (SPT7_T0_REP2_T1);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1669920293335;1669920306000;1669920317000;23665;11000;-;217.4;0.2;262729728;3212378112;267550720;3267194880;346109489;294030575;56800;25675;0;25022464;3246;116;/data/work/f3/04e53abc9d2f0ed2d9c111305de41e;-;-
7;cpu14;1c/93bdad;nf-1c93bdad55b31b697f700f583490c59a;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC;SPT5_INPUT_REP1_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT5_INPUT_REP1_T1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669920292216;1669920313000;1669920317000;24784;3000;-;250.3;0.2;305565696;4640055296;307789824;4666916864;29945485;3360390;29715;10679;0;3735552;9;7;/data/work/1c/93bdad55b31b697f700f583490c59a;-;-
