task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
5;cpu14;1f/a0d65e;nf-1fa0d65e5292c8fda6a836b6fc9d628a;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES;genome.fa;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1669936100338;1669936105000;1669936106000;5662;1000;-;72.9;0.0;4812800;12394496;4812800;12398592;12474014;5518;427;20;0;16384;15;5;/data/work/1f/a0d65e5292c8fda6a836b6fc9d628a;-;-
1;node10;ac/2356e7;nf-ac2356e79545649e670c17653390bfc2;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED;genes.gtf;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf);COMPLETED;0;-;quay.io/biocontainers/perl:5.26.2;2;14400000;-;12884901888;1;1669936100217;1669936106000;1669936108000;7783;1000;-;50.5;0.0;2768896;11567104;2768896;11571200;12240066;401950;1653;66;0;409600;2;1;/data/work/ac/2356e79545649e670c17653390bfc2;-;-
3;node10;0f/206ddf;nf-0f206ddf885d1899d9be91bb46e52d47;NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.8.3;1;14400000;-;6442450944;1;1669936100302;1669936108000;1669936110000;9698;1000;-;10.6;0.0;2871296;11567104;2871296;11571200;684720;3042;248;17;0;12288;2;0;/data/work/0f/206ddf885d1899d9be91bb46e52d47;-;-
2;cpu05;b8/79c529;nf-b879c5298ede11b506e2746eb1961c9e;NFCORE_CHIPSEQ:CHIPSEQ:KHMER_UNIQUEKMERS;genome.fa;NFCORE_CHIPSEQ:CHIPSEQ:KHMER_UNIQUEKMERS (genome.fa);COMPLETED;0;-;quay.io/biocontainers/khmer:3.0.0a3--py37haa7609a_2;2;14400000;-;12884901888;1;1669936100373;1669936107000;1669936109000;8627;2000;-;186.7;0.0;53411840;1263808512;55029760;1332551680;16913005;3449;2472;23;0;16384;14;45;/data/work/b8/79c5298ede11b506e2746eb1961c9e;-;-
6;cpu14;b0/0963d1;nf-b00963d1a7f94f94f2950a99c692013c;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS;genome.fa.sizes;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes);COMPLETED;0;-;quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0;1;14400000;-;6442450944;1;1669936107353;1669936108000;1669936110000;2647;0;-;64.6;0.0;2998272;11567104;2998272;11571200;47222;619;144;33;0;12288;4;5;/data/work/b0/0963d1a7f94f94f2950a99c692013c;-;-
4;node8;4b/07364c;nf-4b07364cb40f0f3c0f3b22c724b31960;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:BWA_INDEX;genome.fa;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:BWA_INDEX (genome.fa);COMPLETED;0;-;quay.io/biocontainers/bwa:0.7.17--hed695b0_7;6;21600000;-;53687091200;1;1669936100260;1669936106000;1669936113000;12740;6000;-;88.4;0.1;132640768;151502848;132640768;151506944;56622327;33436132;1682;70;0;33476608;385;485;/data/work/4b/07364cb40f0f3c0f3b22c724b31960;-;-
7;cpu14;68/f91b50;nf-68f91b50a9b09df8030ded8ce24d1209;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE;SPT5_INPUT_REP1_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (SPT5_INPUT_REP1_T1);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1669936112935;1669936119000;1669936126000;13065;7000;-;246.0;0.1;189984768;3208146944;189984768;3269255168;309614173;260366784;50017;22622;0;20426752;4344;120;/data/work/68/f91b50a9b09df8030ded8ce24d1209;-;-
27;node8;27/b9d270;nf-27b9d270f63c7cbd4413015240ae85c5;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE;SPT5_T15_REP2_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (SPT5_T15_REP2_T1);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1669936113172;1669936115000;1669936126000;12828;11000;-;215.0;0.2;289005568;3212341248;294068224;3267158016;347183191;294813765;56545;25649;0;25415680;3757;112;/data/work/27/b9d270f63c7cbd4413015240ae85c5;-;-
31;cpu05;26/cd6a1a;nf-26cd6a1afd1a16405c9c72588ea16f02;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE;SPT6_INPUT_REP2_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (SPT6_INPUT_REP2_T1);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1669936113287;1669936119000;1669936126000;12713;7000;-;245.2;0.1;162725888;3208138752;162725888;3267158016;309436096;260236639;50236;22636;0;20369408;4349;111;/data/work/26/cd6a1afd1a16405c9c72588ea16f02;-;-
28;node8;45/9fb4e9;nf-459fb4e9fd6fdffdc58e325067413401;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE;SPT6_INPUT_REP1_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (SPT6_INPUT_REP1_T1);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1669936113319;1669936120000;1669936127000;13681;7000;-;246.3;0.1;183754752;3208151040;183754752;3269259264;309615370;260366753;49917;22580;0;20418560;4243;120;/data/work/45/9fb4e9fd6fdffdc58e325067413401;-;-
