task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;cpu14;1d/7de81b;nf-1d7de81bddcb30d16ceb16397bd2a0c6;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES;genome.fa;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1669980634541;1669980637000;1669980637000;2459;0;-;77.1;0.0;3334144;5632000;3334144;5636096;12474013;5519;427;20;0;16384;6;6;/data/work/1d/7de81bddcb30d16ceb16397bd2a0c6;-;-
4;cpu05;59/65c4f6;nf-5965c4f6d9ef9450c37967ab2335eb1b;NFCORE_CHIPSEQ:CHIPSEQ:KHMER_UNIQUEKMERS;genome.fa;NFCORE_CHIPSEQ:CHIPSEQ:KHMER_UNIQUEKMERS (genome.fa);COMPLETED;0;-;quay.io/biocontainers/khmer:3.0.0a3--py37haa7609a_2;2;14400000;-;12884901888;1;1669980634649;1669980641000;1669980645000;10351;2000;-;187.7;0.0;53903360;1264615424;53903360;1330745344;16913006;3449;2472;23;0;16384;12;50;/data/work/59/65c4f6d9ef9450c37967ab2335eb1b;-;-
3;node10;0b/f0414c;nf-0bf0414c206155b3770a5b6defaf115a;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED;genes.gtf;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf);COMPLETED;0;-;quay.io/biocontainers/perl:5.26.2;2;14400000;-;12884901888;1;1669980634496;1669980644000;1669980647000;12504;1000;-;27.8;0.0;14069760;35119104;14069760;35123200;12240067;401950;1653;66;0;409600;18;10;/data/work/0b/f0414c206155b3770a5b6defaf115a;-;-
2;node8;00/1aa287;nf-001aa287a07616be25b4159215db5518;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:BWA_INDEX;genome.fa;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:BWA_INDEX (genome.fa);COMPLETED;0;-;quay.io/biocontainers/bwa:0.7.17--hed695b0_7;6;21600000;-;53687091200;1;1669980634578;1669980641000;1669980649000;14422;5000;-;92.2;0.1;132816896;151502848;132816896;151506944;56622333;33436132;1682;70;0;33476608;502;416;/data/work/00/1aa287a07616be25b4159215db5518;-;-
5;node10;f8/c0af3d;nf-f8c0af3d70a74e20ab1fcbea34afac50;NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.8.3;1;14400000;-;6442450944;1;1669980634613;1669980645000;1669980647000;12387;0;-;18.9;0.0;3006464;11567104;3006464;11571200;684720;3042;248;17;0;12288;2;0;/data/work/f8/c0af3d70a74e20ab1fcbea34afac50;-;-
6;cpu14;8a/61117b;nf-8a61117b9db238dadfd53d1c2de88167;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS;genome.fa.sizes;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes);COMPLETED;0;-;quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0;1;14400000;-;6442450944;1;1669980641588;1669980647000;1669980648000;6412;0;-;41.3;0.0;2752512;11567104;2752512;11571200;47219;619;144;33;0;12288;7;1;/data/work/8a/61117b9db238dadfd53d1c2de88167;-;-
20;cpu14;52/672738;nf-52672738e7c6365efe38e65b53cb323a;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE;SPT5_T0_REP2_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (SPT5_T0_REP2_T1);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1669980652069;1669980659000;1669980669000;16931;10000;-;226.7;0.2;258478080;3212341248;258478080;3269255168;346102347;294030575;57112;25675;0;24981504;4690;178;/data/work/52/672738e7c6365efe38e65b53cb323a;-;-
21;node10;47/db12e8;nf-47db12e8db838b1a806589e5302e8569;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE;SPT5_T15_REP1_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (SPT5_T15_REP1_T1);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1669980652169;1669980657000;1669980668000;15831;10000;-;215.7;0.2;271798272;3217596416;271798272;3267162112;352600841;300192816;57582;25970;0;25694208;2256;123;/data/work/47/db12e8db838b1a806589e5302e8569;-;-
36;node10;19/f7fa77;nf-19f7fa77f88c1c97f14a4e34ff2cfb91;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE;SPT6_T15_REP2_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (SPT6_T15_REP2_T1);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1669980652670;1669980658000;1669980669000;16330;10000;-;217.4;0.2;269934592;3212382208;275337216;3267198976;347183629;294813774;57177;25649;0;25407488;3621;132;/data/work/19/f7fa77f88c1c97f14a4e34ff2cfb91;-;-
41;cpu14;bc/380b57;nf-bc380b574cda5e3006db80ad371e0926;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE;SPT7_T15_REP1_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (SPT7_T15_REP1_T1);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1669980652795;1669980658000;1669980668000;15205;10000;-;216.0;0.2;282193920;3212341248;287244288;3269255168;352591087;300192817;58011;25970;0;25718784;2364;108;/data/work/bc/380b574cda5e3006db80ad371e0926;-;-
24;cpu05;11/9b44a1;nf-119b44a14d45cd350ef25d387c8f3320;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE;SPT5_T15_REP2_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (SPT5_T15_REP2_T1);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1669980652198;1669980663000;1669980672000;19802;9000;-;232.3;0.2;252231680;3212337152;252325888;3269251072;347173792;294813759;56493;25649;0;25407488;3252;121;/data/work/11/9b44a14d45cd350ef25d387c8f3320;-;-
32;cpu05;ec/544744;nf-ec54474479a0b2fbc7b5e1d4ccecf59c;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE;SPT6_T0_REP2_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (SPT6_T0_REP2_T1);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1669980652544;1669980663000;1669980672000;19456;9000;-;234.8;0.2;257716224;3215093760;257716224;3269259264;346100774;294030620;57085;25675;0;24997888;4963;157;/data/work/ec/54474479a0b2fbc7b5e1d4ccecf59c;-;-
33;node8;9a/601fa3;nf-9a601fa3912b440a21908d805b4a0437;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE;SPT6_T15_REP1_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (SPT6_T15_REP1_T1);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1669980652573;1669980663000;1669980673000;20427;10000;-;216.2;0.2;281223168;3212374016;281325568;3269287936;352600735;300192806;58309;25970;0;25718784;3649;125;/data/work/9a/601fa3912b440a21908d805b4a0437;-;-
42;node8;1a/a2ab70;nf-1aa2ab70e8d7eb0dfdf3ac08cb60f7c8;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE;SPT7_T15_REP2_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (SPT7_T15_REP2_T1);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1669980652827;1669980661000;1669980672000;19173;10000;-;221.7;0.2;268701696;3212341248;271159296;3269255168;347183670;294813774;57282;25626;0;25395200;3487;108;/data/work/1a/a2ab70e8d7eb0dfdf3ac08cb60f7c8;-;-
