task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;node10;96/f93fa5;nf-96f93fa5c0b3d8bf5019f2d33b1c1aac;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES;genome.fa;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1669944194411;1669944198000;1669944198000;3589;0;-;81.4;0.0;3293184;5632000;3293184;5636096;12473995;5519;427;20;0;16384;6;0;/data/work/96/f93fa5c0b3d8bf5019f2d33b1c1aac;-;-
2;cpu05;dd/795e0e;nf-dd795e0e8733593df746e4975d0391c6;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED;genes.gtf;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf);COMPLETED;0;-;quay.io/biocontainers/perl:5.26.2;2;14400000;-;12884901888;1;1669944194333;1669944206000;1669944208000;13667;1000;-;96.5;0.0;2932736;11567104;2932736;11571200;12240071;401950;1653;66;0;409600;2;1;/data/work/dd/795e0e8733593df746e4975d0391c6;-;-
3;cpu05;bf/7a12fe;nf-bf7a12fef1b73bbe85df3858103b5226;NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.8.3;1;14400000;-;6442450944;1;1669944194373;1669944204000;1669944207000;12627;1000;-;6.0;0.0;2854912;11567104;2854912;11571200;684723;3041;248;17;0;12288;2;1;/data/work/bf/7a12fef1b73bbe85df3858103b5226;-;-
6;node10;8f/553fe0;nf-8f553fe0d690bb14953676ef73c38591;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS;genome.fa.sizes;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes);COMPLETED;0;-;quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0;1;14400000;-;6442450944;1;1669944202476;1669944206000;1669944207000;4524;0;-;59.3;0.0;2936832;11567104;2936832;11571200;47200;619;144;33;0;12288;3;0;/data/work/8f/553fe0d690bb14953676ef73c38591;-;-
4;cpu05;d2/9c6f19;nf-d29c6f19f8112f5f2b4a150071bc731a;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:BWA_INDEX;genome.fa;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:BWA_INDEX (genome.fa);COMPLETED;0;-;quay.io/biocontainers/bwa:0.7.17--hed695b0_7;6;21600000;-;53687091200;1;1669944194242;1669944203000;1669944212000;17758;6000;-;77.8;0.1;132669440;151502848;132669440;151506944;56622535;33436141;1683;70;0;33476608;311;441;/data/work/d2/9c6f19f8112f5f2b4a150071bc731a;-;-
5;cpu05;87/151773;nf-871517737a98d38f4d36e10d19900452;NFCORE_CHIPSEQ:CHIPSEQ:KHMER_UNIQUEKMERS;genome.fa;NFCORE_CHIPSEQ:CHIPSEQ:KHMER_UNIQUEKMERS (genome.fa);COMPLETED;0;-;quay.io/biocontainers/khmer:3.0.0a3--py37haa7609a_2;2;14400000;-;12884901888;1;1669944194294;1669944208000;1669944212000;17706;2000;-;150.5;0.0;45412352;1058365440;47030272;1059999744;16913006;3449;2472;23;0;16384;6;35;/data/work/87/1517737a98d38f4d36e10d19900452;-;-
23;cpu05;21/129242;nf-211292423a70b52a0cec8e3c9857af52;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE;SPT5_T15_REP1_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (SPT5_T15_REP1_T1);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1669944212109;1669944216000;1669944225000;12891;9000;-;238.9;0.2;274751488;3212328960;274751488;3267145728;352591023;300192816;57720;25970;0;25718784;3814;122;/data/work/21/1292423a70b52a0cec8e3c9857af52;-;-
26;node10;a5/f3bf7b;nf-a5f3bf7bb52ebcc18f9ec078cc52379a;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE;SPT5_T15_REP2_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (SPT5_T15_REP2_T1);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1669944212169;1669944218000;1669944228000;15831;10000;-;216.2;0.2;286093312;3212341248;286195712;3269255168;347183719;294813774;57206;25649;0;25407488;3648;114;/data/work/a5/f3bf7bb52ebcc18f9ec078cc52379a;-;-
34;cpu05;71/785ed6;nf-71785ed6dc68590c12f3251a4ad221cd;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE;SPT6_T0_REP2_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (SPT6_T0_REP2_T1);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1669944212462;1669944220000;1669944231000;18538;11000;-;213.9;0.2;268328960;3212378112;268431360;3269292032;346109056;294030574;56134;25675;0;25096192;3898;125;/data/work/71/785ed6dc68590c12f3251a4ad221cd;-;-
35;cpu14;93/7886a2;nf-937886a22b4530804dbb184e96edd6a8;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE;SPT6_T15_REP1_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (SPT6_T15_REP1_T1);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1669944212491;1669944218000;1669944229000;16509;11000;-;221.0;0.2;270413824;3212341248;275214336;3267158016;352599069;300192815;58125;25947;0;25726976;3831;125;/data/work/93/7886a22b4530804dbb184e96edd6a8;-;-
