task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
2;cpu14;f6/fb8c91;nf-f6fb8c911412bb942a237aad6212248d;NFCORE_CHIPSEQ:CHIPSEQ:KHMER_UNIQUEKMERS;genome.fa;NFCORE_CHIPSEQ:CHIPSEQ:KHMER_UNIQUEKMERS (genome.fa);COMPLETED;0;-;quay.io/biocontainers/khmer:3.0.0a3--py37haa7609a_2;2;14400000;-;12884901888;1;1669979866765;1669979869000;1669979871000;4235;2000;-;186.4;0.0;56778752;1131556864;56778752;1131560960;16913020;3449;2472;23;0;16384;16;48;/data/work/f6/fb8c911412bb942a237aad6212248d;-;-
5;cpu05;bd/564128;nf-bd564128982bf5608064a33b5b7ca3a3;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES;genome.fa;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1669979866661;1669979875000;1669979877000;10339;2000;-;5.5;0.0;4878336;12394496;4878336;12398592;12473999;5518;427;20;0;16384;14;2;/data/work/bd/564128982bf5608064a33b5b7ca3a3;-;-
3;node10;87/64a41d;nf-8764a41df32c919502e7519c7ec70614;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED;genes.gtf;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf);COMPLETED;0;-;quay.io/biocontainers/perl:5.26.2;2;14400000;-;12884901888;1;1669979866696;1669979878000;1669979880000;13304;1000;-;49.0;0.0;2920448;11567104;2920448;11571200;12240066;401950;1653;66;126976;409600;2;0;/data/work/87/64a41df32c919502e7519c7ec70614;-;-
1;node10;3d/2a0d0c;nf-3d2a0d0c4d317e567ebcde259fb08113;NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.8.3;1;14400000;-;6442450944;1;1669979866729;1669979877000;1669979879000;12271;1000;-;13.2;0.0;2953216;11567104;2953216;11571200;684720;3042;248;17;0;12288;2;0;/data/work/3d/2a0d0c4d317e567ebcde259fb08113;-;-
6;node8;9f/b9ad41;nf-9fb9ad412b9b474b55858e371a2f51fb;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS;genome.fa.sizes;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes);COMPLETED;0;-;quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0;1;14400000;-;6442450944;1;1669979878966;1669979880000;1669979881000;2034;0;-;58.7;0.0;2973696;11567104;2973696;11571200;47004;610;143;33;0;12288;3;2;/data/work/9f/b9ad412b9b474b55858e371a2f51fb;-;-
4;node8;3a/955596;nf-3a9555968b6ad73e47d19da733618732;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:BWA_INDEX;genome.fa;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:BWA_INDEX (genome.fa);COMPLETED;0;-;quay.io/biocontainers/bwa:0.7.17--hed695b0_7;6;21600000;-;53687091200;1;1669979866613;1669979874000;1669979883000;16387;7000;-;67.4;0.1;132718592;151502848;132718592;151506944;56622334;33436132;1683;70;0;33476608;440;431;/data/work/3a/9555968b6ad73e47d19da733618732;-;-
26;node8;bd/ca148a;nf-bdca148a8cda3360ab80d66bb20c90b9;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE;SPT5_T15_REP2_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (SPT5_T15_REP2_T1);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1669979884468;1669979887000;1669979897000;12532;10000;-;221.6;0.2;281673728;3212337152;281776128;3269251072;347175283;294813765;57195;25649;0;25415680;4410;133;/data/work/bd/ca148a8cda3360ab80d66bb20c90b9;-;-
21;node10;2d/df51d9;nf-2ddf51d96f9f9c60a3238d1eb21687a5;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE;SPT5_T0_REP2_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (SPT5_T0_REP2_T1);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1669979884342;1669979891000;1669979901000;16658;10000;-;211.4;0.2;243113984;3212378112;243113984;3267194880;346111378;294030575;56373;25675;0;24981504;4317;133;/data/work/2d/df51d96f9f9c60a3238d1eb21687a5;-;-
35;cpu14;1b/a13024;nf-1ba13024e6d830025bfadb47740ddd8a;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE;SPT6_T15_REP1_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (SPT6_T15_REP1_T1);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1669979884686;1669979891000;1669979902000;17314;10000;-;216.8;0.2;277868544;3212345344;277868544;3269259264;352599364;300192815;57415;25970;0;25710592;2803;123;/data/work/1b/a13024e6d830025bfadb47740ddd8a;-;-
34;node8;26/cabe3e;nf-26cabe3e322103a5eee67df9e413d32e;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE;SPT6_T0_REP2_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (SPT6_T0_REP2_T1);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1669979884715;1669979891000;1669979901000;16285;10000;-;225.4;0.2;260022272;3212378112;264843264;3267194880;346111143;294030565;57039;25675;0;24997888;5021;122;/data/work/26/cabe3e322103a5eee67df9e413d32e;-;-
