task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;cpu14;0e/a5dae2;nf-0ea5dae2ec1cfb652d4221e8d26560c2;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES;genome.fa;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1669965537350;1669965547000;1669965548000;10650;1000;-;21.2;0.0;3211264;5632000;3211264;5636096;12474016;5519;427;20;0;16384;2;0;/data/work/0e/a5dae2ec1cfb652d4221e8d26560c2;-;-
5;node10;4c/6b5925;nf-4c6b5925deb9b08622c53f74f5be1917;NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.8.3;1;14400000;-;6442450944;1;1669965537391;1669965544000;1669965546000;8609;0;-;41.0;0.0;3002368;11567104;3002368;11571200;684720;3042;248;17;0;12288;2;0;/data/work/4c/6b5925deb9b08622c53f74f5be1917;-;-
3;node10;b2/e19ec4;nf-b2e19ec4bbc556f2e0f47ddb047c5b2a;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED;genes.gtf;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf);COMPLETED;0;-;quay.io/biocontainers/perl:5.26.2;2;14400000;-;12884901888;1;1669965537424;1669965546000;1669965547000;9576;0;-;65.9;0.0;2916352;11567104;2916352;11571200;12240067;401950;1653;66;0;409600;2;1;/data/work/b2/e19ec4bbc556f2e0f47ddb047c5b2a;-;-
4;node8;05/62190f;nf-0562190ff2425fbf34d8cc08ba25f526;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:BWA_INDEX;genome.fa;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:BWA_INDEX (genome.fa);COMPLETED;0;-;quay.io/biocontainers/bwa:0.7.17--hed695b0_7;6;21600000;-;53687091200;1;1669965537463;1669965541000;1669965547000;9537;5000;-;91.7;0.1;132591616;151502848;132591616;151506944;56622334;33436132;1682;70;0;33476608;330;420;/data/work/05/62190ff2425fbf34d8cc08ba25f526;-;-
2;cpu05;5b/efbdbb;nf-5befbdbb77064f2ad0fb8aa329dfda79;NFCORE_CHIPSEQ:CHIPSEQ:KHMER_UNIQUEKMERS;genome.fa;NFCORE_CHIPSEQ:CHIPSEQ:KHMER_UNIQUEKMERS (genome.fa);COMPLETED;0;-;quay.io/biocontainers/khmer:3.0.0a3--py37haa7609a_2;2;14400000;-;12884901888;1;1669965537499;1669965547000;1669965549000;11501;2000;-;188.1;0.0;54243328;1063194624;54243328;1063198720;16913006;3449;2472;23;0;16384;14;41;/data/work/5b/efbdbb77064f2ad0fb8aa329dfda79;-;-
6;node10;06/f9dd9f;nf-06f9dd9fe94a476a80e8e5e8590779b1;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS;genome.fa.sizes;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes);COMPLETED;0;-;quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0;1;14400000;-;6442450944;1;1669965549759;1669965552000;1669965553000;3241;0;-;61.5;0.0;2957312;11567104;2957312;11571200;47201;619;144;33;0;12288;3;0;/data/work/06/f9dd9fe94a476a80e8e5e8590779b1;-;-
38;cpu05;3a/4a9cbe;nf-3a4a9cbe8855b98572c7751a256e1efe;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE;SPT7_INPUT_REP2_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (SPT7_INPUT_REP2_T1);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1669965550992;1669965553000;1669965560000;9008;7000;-;241.7;0.1;184471552;3208200192;184471552;3273216000;309436426;260236685;50116;22657;0;20357120;4361;124;/data/work/3a/4a9cbe8855b98572c7751a256e1efe;-;-
8;node8;66/d092cd;nf-66d092cd88523acc8663b4f019e3a22a;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE;SPT5_INPUT_REP2_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (SPT5_INPUT_REP2_T1);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1669965550364;1669965559000;1669965567000;16636;7000;-;246.6;0.1;168923136;3208134656;168923136;3269251072;309437802;260236676;50331;22657;0;20357120;3934;98;/data/work/66/d092cd88523acc8663b4f019e3a22a;-;-
7;node10;6e/19e34a;nf-6e19e34a9837f78db74b47e82c5ac138;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE;SPT5_INPUT_REP1_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (SPT5_INPUT_REP1_T1);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1669965550392;1669965558000;1669965566000;15608;8000;-;246.6;0.1;157331456;3208138752;157331456;3267149824;309608152;260366766;50516;22622;0;20398080;4072;101;/data/work/6e/19e34a9837f78db74b47e82c5ac138;-;-
12;cpu05;ec/327698;nf-ec32769876923e520f8191431c8e00dd;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE;SPT5_T0_REP1_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (SPT5_T0_REP1_T1);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1669965550475;1669965556000;1669965567000;16525;11000;-;200.2;0.2;281763840;3212341248;281858048;3269255168;343813013;291748040;56402;25506;0;24891392;1757;132;/data/work/ec/32769876923e520f8191431c8e00dd;-;-
