task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;node10;77/757d52;nf-77757d52cf827ce47d633f7b8804c8ff;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES;genome.fa;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1669946650143;1669946659000;1669946659000;8857;0;-;58.1;0.0;3268608;5632000;3268608;5636096;12473994;5518;427;20;0;16384;2;0;/data/work/77/757d52cf827ce47d633f7b8804c8ff;-;-
2;cpu05;fa/18e722;nf-fa18e72240b880e10d0beb857fc13fad;NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.8.3;1;14400000;-;6442450944;1;1669946650192;1669946657000;1669946660000;9808;1000;-;17.0;0.0;2904064;11567104;2904064;11571200;684723;3042;248;17;0;12288;2;1;/data/work/fa/18e72240b880e10d0beb857fc13fad;-;-
4;cpu05;f6/beb8e7;nf-f6beb8e7f150d581b48641111010ba5e;NFCORE_CHIPSEQ:CHIPSEQ:KHMER_UNIQUEKMERS;genome.fa;NFCORE_CHIPSEQ:CHIPSEQ:KHMER_UNIQUEKMERS (genome.fa);COMPLETED;0;-;quay.io/biocontainers/khmer:3.0.0a3--py37haa7609a_2;2;14400000;-;12884901888;1;1669946650233;1669946658000;1669946661000;10767;3000;-;166.9;0.0;54325248;1198653440;54325248;1198657536;16913006;3449;2472;23;0;16384;10;44;/data/work/f6/beb8e7f150d581b48641111010ba5e;-;-
5;cpu14;1b/251d9e;nf-1b251d9e713082ade4425ddacc696189;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:BWA_INDEX;genome.fa;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:BWA_INDEX (genome.fa);COMPLETED;0;-;quay.io/biocontainers/bwa:0.7.17--hed695b0_7;6;21600000;-;53687091200;1;1669946650271;1669946660000;1669946668000;17729;6000;-;76.1;0.1;132567040;151502848;132567040;151506944;56622552;33436141;1683;70;0;33476608;356;417;/data/work/1b/251d9e713082ade4425ddacc696189;-;-
3;cpu05;d5/05dca8;nf-d505dca8dc2550596ef0209e870efde6;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED;genes.gtf;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf);COMPLETED;0;-;quay.io/biocontainers/perl:5.26.2;2;14400000;-;12884901888;1;1669946650310;1669946661000;1669946663000;12690;0;-;66.3;0.0;2899968;11567104;2899968;11571200;12240070;401950;1653;66;0;409600;2;1;/data/work/d5/05dca8dc2550596ef0209e870efde6;-;-
8;cpu05;6a/f9d98c;nf-6af9d98c85a7c4c65536ee0cd9403020;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE;SPT5_INPUT_REP2_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (SPT5_INPUT_REP2_T1);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1669946662843;1669946668000;1669946676000;13157;7000;-;245.3;0.1;167636992;3208134656;167636992;3269251072;309436371;260236683;49861;22636;0;20455424;3824;120;/data/work/6a/f9d98c85a7c4c65536ee0cd9403020;-;-
28;node10;f3/085a6e;nf-f3085a6eadd07e50c55d837456163feb;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE;SPT6_INPUT_REP1_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (SPT6_INPUT_REP1_T1);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1669946663237;1669946669000;1669946676000;12763;7000;-;247.4;0.1;170364928;3208122368;170364928;3269238784;309615996;260366765;49720;22622;0;20398080;4096;98;/data/work/f3/085a6eadd07e50c55d837456163feb;-;-
30;cpu14;31/dd8899;nf-31dd88994ef878c2be43dbea0bb11c14;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE;SPT6_INPUT_REP2_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (SPT6_INPUT_REP2_T1);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1669946663303;1669946664000;1669946672000;8697;7000;-;247.6;0.1;183365632;3208204288;183365632;3269312512;309436493;260236685;50580;22657;0;20385792;4556;118;/data/work/31/dd88994ef878c2be43dbea0bb11c14;-;-
37;node8;11/ef8d53;nf-11ef8d53b744b91deef743e6b92709d4;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE;SPT7_INPUT_REP1_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (SPT7_INPUT_REP1_T1);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1669946663525;1669946668000;1669946676000;12475;7000;-;246.3;0.1;163057664;3208146944;163057664;3267158016;309616301;260366753;50158;22622;0;20398080;4133;107;/data/work/11/ef8d53b744b91deef743e6b92709d4;-;-
38;node8;dc/72b0b9;nf-dc72b0b9b7f9ccd4e6f6daddaaa47c44;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE;SPT7_INPUT_REP2_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (SPT7_INPUT_REP2_T1);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1669946663558;1669946669000;1669946676000;12442;7000;-;246.9;0.1;174346240;3208138752;175333376;3267158016;309437614;260236678;50746;22657;0;20373504;4334;137;/data/work/dc/72b0b9b7f9ccd4e6f6daddaaa47c44;-;-
