task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
5;cpu14;de/5a7c31;nf-de5a7c3116a25fbac608c13f7c8a67f8;NFCORE_CHIPSEQ:CHIPSEQ:KHMER_UNIQUEKMERS;genome.fa;NFCORE_CHIPSEQ:CHIPSEQ:KHMER_UNIQUEKMERS (genome.fa);COMPLETED;0;-;quay.io/biocontainers/khmer:3.0.0a3--py37haa7609a_2;2;14400000;-;12884901888;1;1669964782627;1669964790000;1669964792000;9373;2000;-;144.2;0.0;42561536;856543232;42561536;922673152;16913022;3449;2472;23;0;16384;13;33;/data/work/de/5a7c3116a25fbac608c13f7c8a67f8;-;-
4;node10;1d/5fff12;nf-1d5fff129b18e9b0ef3fa54e79c58ff5;NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.8.3;1;14400000;-;6442450944;1;1669964782673;1669964790000;1669964792000;9327;1000;-;8.4;0.0;2916352;11567104;2916352;11571200;684719;3041;248;17;0;12288;2;1;/data/work/1d/5fff129b18e9b0ef3fa54e79c58ff5;-;-
1;cpu05;7b/d45d8d;nf-7bd45d8d16d1c54014c5ae4cf0342930;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES;genome.fa;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1669964782713;1669964791000;1669964791000;8287;0;-;32.8;0.0;3178496;5632000;3178496;5636096;12473999;5519;427;20;0;16384;2;0;/data/work/7b/d45d8d16d1c54014c5ae4cf0342930;-;-
3;node10;b8/394eb2;nf-b8394eb22afcd4669160a5f12022c08f;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED;genes.gtf;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf);COMPLETED;0;-;quay.io/biocontainers/perl:5.26.2;2;14400000;-;12884901888;1;1669964782788;1669964790000;1669964792000;9212;1000;-;37.0;0.0;2916352;11567104;2916352;11571200;12240067;401950;1653;66;0;409600;2;2;/data/work/b8/394eb22afcd4669160a5f12022c08f;-;-
2;node8;8d/92f334;nf-8d92f33431d25059c620ef11538bce4a;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:BWA_INDEX;genome.fa;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:BWA_INDEX (genome.fa);COMPLETED;0;-;quay.io/biocontainers/bwa:0.7.17--hed695b0_7;6;21600000;-;53687091200;1;1669964782752;1669964791000;1669964798000;15248;6000;-;75.2;0.1;132841472;151502848;132841472;151506944;56622334;33436132;1682;70;0;33476608;391;485;/data/work/8d/92f33431d25059c620ef11538bce4a;-;-
42;node8;f0/845c73;nf-f0845c739b8c2e9560f77c4767379262;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS;genome.fa.sizes;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes);COMPLETED;0;-;quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0;1;14400000;-;6442450944;1;1669964796200;1669964799000;1669964800000;3800;0;-;62.1;0.0;2920448;11567104;2920448;11571200;47003;610;143;33;0;12288;2;0;/data/work/f0/845c739b8c2e9560f77c4767379262;-;-
9;node8;e0/5eb661;nf-e05eb661ca02b42f6a57cc62b6516786;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE;SPT5_INPUT_REP2_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (SPT5_INPUT_REP2_T1);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1669964795335;1669964800000;1669964807000;11665;7000;-;241.6;0.1;168751104;3208155136;168751104;3267166208;309437396;260236631;50410;22636;0;20467712;4254;103;/data/work/e0/5eb661ca02b42f6a57cc62b6516786;-;-
26;cpu05;0b/8d9212;nf-0b8d921271733bcfe8dd64540c4ab439;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE;SPT6_INPUT_REP1_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (SPT6_INPUT_REP1_T1);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1669964795657;1669964802000;1669964810000;14343;8000;-;242.0;0.1;178950144;3208146944;180551680;3269255168;309614375;260366762;50056;22601;0;20447232;4435;129;/data/work/0b/8d921271733bcfe8dd64540c4ab439;-;-
28;cpu05;1f/13db61;nf-1f13db61206e42c8fb3d04e597d99472;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE;SPT6_INPUT_REP2_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (SPT6_INPUT_REP2_T1);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1669964795788;1669964801000;1669964809000;13212;8000;-;239.2;0.1;141324288;3202121728;141324288;3269242880;309436534;260236662;50198;22636;0;20373504;3919;121;/data/work/1f/13db61206e42c8fb3d04e597d99472;-;-
36;cpu14;2c/398069;nf-2c398069e3b094911449f60aa230627f;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE;SPT7_INPUT_REP1_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (SPT7_INPUT_REP1_T1);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1669964796019;1669964801000;1669964809000;12981;7000;-;246.1;0.1;163975168;3208146944;163975168;3269255168;309614675;260366773;50598;22601;0;20443136;4472;137;/data/work/2c/398069e3b094911449f60aa230627f;-;-
