task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
5;cpu14;d0/b2490c;nf-d0b2490c116781ff0949a05e2ad6f6e8;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES;genome.fa;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1669934595089;1669934602000;1669934604000;8911;0;-;63.0;0.0;3289088;5632000;3289088;5636096;12474014;5518;427;20;0;16384;2;3;/data/work/d0/b2490c116781ff0949a05e2ad6f6e8;-;-
1;cpu14;f1/6575ce;nf-f16575cefa70288a790b20838db8c6f8;NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.8.3;1;14400000;-;6442450944;1;1669934595247;1669934604000;1669934605000;9753;0;-;38.8;0.0;2916352;11567104;2916352;11571200;684740;3042;248;17;811008;12288;2;1;/data/work/f1/6575cefa70288a790b20838db8c6f8;-;-
4;node8;0d/8c0cc4;nf-0d8c0cc4966eb799f84e5549226b1569;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:BWA_INDEX;genome.fa;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:BWA_INDEX (genome.fa);COMPLETED;0;-;quay.io/biocontainers/bwa:0.7.17--hed695b0_7;6;21600000;-;53687091200;1;1669934595137;1669934600000;1669934610000;14863;7000;-;70.1;0.1;132763648;151502848;132763648;151506944;56622327;33436132;1682;70;0;33476608;448;444;/data/work/0d/8c0cc4966eb799f84e5549226b1569;-;-
2;cpu05;36/a28434;nf-36a28434f154c7828890ac687e7ff66c;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED;genes.gtf;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf);COMPLETED;0;-;quay.io/biocontainers/perl:5.26.2;2;14400000;-;12884901888;1;1669934595175;1669934606000;1669934608000;12825;0;-;47.1;0.0;2932736;11567104;2932736;11571200;12240069;401950;1653;66;0;409600;2;0;/data/work/36/a28434f154c7828890ac687e7ff66c;-;-
3;cpu05;70/1c9948;nf-701c9948635eb04d66e2a98b08019367;NFCORE_CHIPSEQ:CHIPSEQ:KHMER_UNIQUEKMERS;genome.fa;NFCORE_CHIPSEQ:CHIPSEQ:KHMER_UNIQUEKMERS (genome.fa);COMPLETED;0;-;quay.io/biocontainers/khmer:3.0.0a3--py37haa7609a_2;2;14400000;-;12884901888;1;1669934595211;1669934606000;1669934609000;13789;2000;-;158.9;0.0;54628352;1131646976;54628352;1198759936;16913005;3449;2472;23;0;16384;11;42;/data/work/70/1c9948635eb04d66e2a98b08019367;-;-
6;node10;66/f13cca;nf-66f13ccac3eebc4a840c27995f687f2f;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS;genome.fa.sizes;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes);COMPLETED;0;-;quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0;1;14400000;-;6442450944;1;1669934607241;1669934613000;1669934615000;7759;0;-;3.2;0.0;2924544;11567104;2924544;11571200;47200;618;144;33;0;12288;2;1;/data/work/66/f13ccac3eebc4a840c27995f687f2f;-;-
21;node8;82/c4c60e;nf-82c4c60ef7d2777862722fb78df1938f;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE;SPT5_T15_REP1_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (SPT5_T15_REP1_T1);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1669934607906;1669934609000;1669934619000;11094;10000;-;235.5;0.2;277794816;3212316672;277794816;3269238784;352600879;300192807;58231;25970;0;25772032;3917;122;/data/work/82/c4c60ef7d2777862722fb78df1938f;-;-
7;node10;5b/3a3ed7;nf-5b3a3ed716273e2abbd709e6511422a3;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE;SPT5_INPUT_REP1_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (SPT5_INPUT_REP1_T1);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1669934607667;1669934614000;1669934623000;15333;9000;-;216.9;0.2;230117376;3212345344;230117376;3271356416;309616148;260366768;50110;22622;0;20402176;3933;106;/data/work/5b/3a3ed716273e2abbd709e6511422a3;-;-
9;cpu14;c1/c416a8;nf-c1c416a8e1b7e02004cbbc346bdaebe9;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE;SPT5_INPUT_REP2_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (SPT5_INPUT_REP2_T1);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1669934607704;1669934614000;1669934622000;14296;8000;-;225.8;0.2;224215040;3215097856;224215040;3269259264;309436594;260236683;49882;22636;11841536;20377600;4024;93;/data/work/c1/c416a8e1b7e02004cbbc346bdaebe9;-;-
12;cpu05;59/793d36;nf-59793d369b0b7268fbf8c026f1aad618;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE;SPT5_T0_REP1_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (SPT5_T0_REP1_T1);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1669934607778;1669934615000;1669934625000;17222;10000;-;218.1;0.2;273620992;3212341248;278622208;3267158016;343813432;291780837;56585;25507;0;24797184;3957;116;/data/work/59/793d369b0b7268fbf8c026f1aad618;-;-
