task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
3;cpu14;27/ba2020;nf-27ba20201c7edf8dbf32cc8e1f40c690;NFCORE_CHIPSEQ:CHIPSEQ:KHMER_UNIQUEKMERS;genome.fa;NFCORE_CHIPSEQ:CHIPSEQ:KHMER_UNIQUEKMERS (genome.fa);COMPLETED;0;-;quay.io/biocontainers/khmer:3.0.0a3--py37haa7609a_2;2;14400000;-;12884901888;1;1669970340354;1669970344000;1669970346000;5646;2000;-;182.2;0.0;55742464;1331781632;57360384;1333415936;16913023;3449;2472;23;0;16384;17;45;/data/work/27/ba20201c7edf8dbf32cc8e1f40c690;-;-
5;node8;fd/0a0f22;nf-fd0a0f2235f99c7224d46902ca2ae502;NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.8.3;1;14400000;-;6442450944;1;1669970340322;1669970347000;1669970349000;8678;1000;-;7.3;0.0;2920448;11567104;2920448;11571200;684522;3032;247;17;0;12288;2;0;/data/work/fd/0a0f2235f99c7224d46902ca2ae502;-;-
4;node10;3a/e0fb6b;nf-3ae0fb6bda7b19566bdb1a2f0197c552;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES;genome.fa;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1669970340393;1669970351000;1669970352000;11607;1000;-;61.9;0.0;3289088;5632000;3289088;5636096;12473994;5518;427;20;0;16384;2;1;/data/work/3a/e0fb6bda7b19566bdb1a2f0197c552;-;-
2;cpu05;43/297f1e;nf-43297f1e22c86f2a6753f28ea4afc09e;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:BWA_INDEX;genome.fa;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:BWA_INDEX (genome.fa);COMPLETED;0;-;quay.io/biocontainers/bwa:0.7.17--hed695b0_7;6;21600000;-;53687091200;1;1669970340235;1669970346000;1669970354000;13765;6000;-;82.4;0.1;132636672;151502848;132636672;151506944;56622535;33436141;1683;70;0;33476608;287;467;/data/work/43/297f1e22c86f2a6753f28ea4afc09e;-;-
1;node8;72/8b912a;nf-728b912aa7d43e0c050d637f02b644d6;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED;genes.gtf;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf);COMPLETED;0;-;quay.io/biocontainers/perl:5.26.2;2;14400000;-;12884901888;1;1669970340281;1669970348000;1669970353000;12719;2000;-;25.2;0.0;10993664;32063488;10993664;32079872;12239869;401941;1652;66;0;409600;11;1;/data/work/72/8b912aa7d43e0c050d637f02b644d6;-;-
42;cpu05;7a/b022b5;nf-7ab022b533f37aa0589e91a26ed9970c;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS;genome.fa.sizes;NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes);COMPLETED;0;-;quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0;1;14400000;-;6442450944;1;1669970353844;1669970358000;1669970359000;5156;0;-;30.2;0.0;2928640;11567104;2928640;11571200;47205;619;144;33;0;12288;2;2;/data/work/7a/b022b533f37aa0589e91a26ed9970c;-;-
6;cpu05;4b/32c3f5;nf-4b32c3f5d1aec2484eb12e459fd36a32;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE;SPT5_INPUT_REP1_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (SPT5_INPUT_REP1_T1);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1669970353033;1669970356000;1669970364000;10967;7000;-;246.3;0.1;160841728;3208146944;162033664;3269255168;309614470;260399515;49568;22623;0;20508672;4161;112;/data/work/4b/32c3f5d1aec2484eb12e459fd36a32;-;-
9;node10;52/71367e;nf-5271367e067a2fd0c2f7c8abec36130f;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE;SPT5_INPUT_REP2_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (SPT5_INPUT_REP2_T1);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1669970353118;1669970356000;1669970364000;10882;7000;-;242.6;0.1;160608256;3208130560;160608256;3271344128;309437740;260236682;50127;22657;0;20369408;4050;90;/data/work/52/71367e067a2fd0c2f7c8abec36130f;-;-
27;node8;be/836817;nf-be836817df6ea8d414f59da448b7f0aa;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE;SPT5_T15_REP2_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (SPT5_T15_REP2_T1);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1669970353455;1669970357000;1669970367000;13545;10000;-;210.8;0.2;265564160;3212337152;270422016;3269251072;347175579;294813750;57360;25649;0;25407488;3936;132;/data/work/be/836817df6ea8d414f59da448b7f0aa;-;-
23;node8;c1/275523;nf-c12755238ec1653d47fe93c0cbc39c03;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE;SPT5_T0_REP2_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (SPT5_T0_REP2_T1);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1669970353293;1669970359000;1669970370000;16707;11000;-;215.6;0.2;276402176;3212824576;276402176;3267166208;346110468;294030566;56863;25675;0;24997888;4825;131;/data/work/c1/2755238ec1653d47fe93c0cbc39c03;-;-
25;node10;f3/e932b5;nf-f3e932b5555e89f551a8d88b3c210dd1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE;SPT5_T15_REP1_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (SPT5_T15_REP1_T1);COMPLETED;0;-;quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0;6;21600000;-;53687091200;1;1669970353327;1669970358000;1669970369000;15673;11000;-;215.6;0.2;269156352;3212341248;270761984;3271352320;352592836;300192816;57697;25970;0;25812992;2907;118;/data/work/f3/e932b5555e89f551a8d88b3c210dd1;-;-
