task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;node10;d6/3bbbe5;nf-d63bbbe5a72a793b608e39493226c0ec;makeBWAIndex;Mammoth_MT_Krause.fasta;makeBWAIndex (Mammoth_MT_Krause.fasta);COMPLETED;0;-;nfcore/eager:2.4.6;1;600000;-;8589934592;1;1669865388125;1669865405000;1669865405000;16875;95;-;27.9;0.0;5853184;10113024;5873664;10264576;129373;47103;162;42;0;81920;25;0;/data/work/d6/3bbbe5a72a793b608e39493226c0ec;-;-
2;node8;f6/b0ff15;nf-f6b0ff15ee3771d385140972134c89e5;makeFastaIndex;Mammoth_MT_Krause.fasta;makeFastaIndex (Mammoth_MT_Krause.fasta);COMPLETED;0;-;nfcore/eager:2.4.6;1;600000;-;4294967296;1;1669865388160;1669865402000;1669865402000;13840;16;-;38.1;0.0;0;0;0;0;69311;223;127;13;0;4096;0;0;/data/work/f6/b0ff15ee3771d385140972134c89e5;-;-
3;cpu14;8a/3a5f9b;nf-8a3a5f9bbe6f85055664f31dc26731ce;makeSeqDict;Mammoth_MT_Krause.fasta;makeSeqDict (Mammoth_MT_Krause.fasta);COMPLETED;0;-;nfcore/eager:2.4.6;1;600000;-;8589934592;1;1669865388197;1669865400000;1669865402000;13803;1899;-;89.3;0.1;95784960;13435351040;95784960;13435383808;23344140;634633;7348;207;0;708608;13;1;/data/work/8a/3a5f9bbe6f85055664f31dc26731ce;-;-
7;node10;61/a5109d;nf-61a5109dfe7a0690f3204087c74bdc71;indexinputbam;JK2706;indexinputbam (JK2706);COMPLETED;0;-;nfcore/eager:2.4.6;1;600000;-;4294967296;1;1669865388278;1669865410000;1669865410000;21722;63;-;54.5;0.0;11272192;19623936;11272192;19640320;765190;1786557;149;13;0;1789952;9;5;/data/work/61/a5109dfe7a0690f3204087c74bdc71;-;-
8;node8;7e/ab8f6b;nf-7eab8f6bf7a8d73f73404464938d641e;fastqc;JK2701_L7;fastqc (JK2701_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669865388314;1669865400000;1669865404000;15686;4301;-;154.1;0.2;289226752;3839766528;289394688;3895074816;36850059;1781273;11586;9103;0;2273280;4;5;/data/work/7e/ab8f6bf7a8d73f73404464938d641e;-;-
9;cpu14;63/ee3505;nf-63ee3505f0c1e7ad2e2a447280bea127;fastqc;JK2702_L8;fastqc (JK2702_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669865388356;1669865408000;1669865411000;22644;3280;-;192.3;0.2;227020800;3835551744;227020800;3895074816;36855789;1768680;11593;9012;0;2260992;9;5;/data/work/63/ee3505f0c1e7ad2e2a447280bea127;-;-
13;cpu14;44/811961;nf-44811961f4325c038a81a050f75233c5;fastqc;JK2708_L8;fastqc (JK2708_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669865388500;1669865403000;1669865407000;18500;4242;-;146.7;0.2;263376896;3839766528;263376896;3895074816;38273558;1835912;14378;9180;0;2310144;4;3;/data/work/44/811961f4325c038a81a050f75233c5;-;-
14;cpu05;68/700764;nf-68700764c5ae93392791cc71f0e4b0a9;fastqc;JK2809_L7;fastqc (JK2809_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669865388534;1669865406000;1669865411000;22466;4258;-;145.1;0.2;264396800;3839766528;264396800;3895074816;38166175;1844104;14049;9177;0;2342912;4;3;/data/work/68/700764c5ae93392791cc71f0e4b0a9;-;-
24;node8;6d/033f13;nf-6d033f13d546da1128ddf41724fdabd5;fastqc;JK2719_L7;fastqc (JK2719_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669865388869;1669865405000;1669865409000;20131;4233;-;181.4;0.2;270262272;3835551744;270262272;3895074816;43873309;1837832;25317;9113;0;2301952;4;6;/data/work/6d/033f13d546da1128ddf41724fdabd5;-;-
6;cpu05;e0/b3885b;nf-e0b3885bc6fb2421013f618156c2b43c;indexinputbam;JK2705;indexinputbam (JK2705);COMPLETED;0;-;nfcore/eager:2.4.6;1;600000;-;4294967296;1;1669865388239;1669865404000;1669865404000;15761;27;-;80.0;0.0;3252224;5615616;3252224;5632000;537180;309;142;13;0;4096;3;0;/data/work/e0/b3885bc6fb2421013f618156c2b43c;-;-
15;node10;82/d70ce1;nf-82d70ce1a77bf89c8f4127605f9bcb1e;fastqc;JK2710_L7;fastqc (JK2710_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669865388568;1669865413000;1669865417000;28432;4272;-;164.0;0.2;273711104;3839766528;273727488;3895074816;39675385;1846337;17119;9126;0;2248704;4;4;/data/work/82/d70ce1a77bf89c8f4127605f9bcb1e;-;-
16;cpu14;b6/16e5d3;nf-b616e5d3df6e0fd350ae4dd00abe6876;fastqc;JK2711_L8;fastqc (JK2711_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669865388637;1669865405000;1669865410000;21363;4270;-;166.7;0.2;274313216;3837648896;274313216;3895074816;39667744;1835744;17098;9132;0;2318336;4;4;/data/work/b6/16e5d3df6e0fd350ae4dd00abe6876;-;-
18;node10;52/a65820;nf-52a6582005737912e3d3e271c00a4749;fastqc;JK2713_L7;fastqc (JK2713_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669865388703;1669865407000;1669865412000;23297;4276;-;165.9;0.2;272945152;3837648896;272945152;3895074816;41076712;1850527;19853;9134;0;2306048;4;4;/data/work/52/a6582005737912e3d3e271c00a4749;-;-
34;cpu05;08/7daf13;nf-087daf137960eab24bd230e68d28bcf0;fastqc;JK2729_L8;fastqc (JK2729_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669865389195;1669865414000;1669865418000;28805;4284;-;170.5;0.2;261214208;3835551744;261214208;3836080128;48031034;1836025;33437;9137;0;2347008;4;6;/data/work/08/7daf137960eab24bd230e68d28bcf0;-;-
51;node8;f5/858592;nf-f5858592f8d0c5638f5fede2b0d682d8;fastqc;JK2743_L7;fastqc (JK2743_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669865389643;1669865407000;1669865413000;23357;5321;-;166.1;0.2;291528704;3835551744;291528704;3895074816;55058677;1788444;47203;9039;0;2297856;4;5;/data/work/f5/858592f8d0c5638f5fede2b0d682d8;-;-
21;cpu14;ed/6c70a6;nf-ed6c70a67828217939177bfe4722907d;fastqc;JK2716_L7;fastqc (JK2716_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669865388771;1669865411000;1669865415000;26229;4268;-;179.1;0.2;274456576;3835551744;274456576;3837517824;42476357;1846571;22591;9131;0;2363392;4;2;/data/work/ed/6c70a67828217939177bfe4722907d;-;-
56;node8;ed/5e2b58;nf-ed5e2b58e5291c0c5c37d4ab72cb5883;fastqc;JK2848_L7;fastqc (JK2848_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669865389862;1669865411000;1669865416000;26138;5305;-;152.7;0.2;281739264;3839766528;281739264;3895074816;55549956;1797541;48002;9063;0;2322432;4;8;/data/work/ed/5e2b58e5291c0c5c37d4ab72cb5883;-;-
57;cpu05;c4/e6339f;nf-c4e6339ff441915e67748ace23d9059e;fastqc;JK2749_L7;fastqc (JK2749_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669865389922;1669865409000;1669865414000;24078;5276;-;150.3;0.2;286048256;3839766528;286171136;3895074816;57859611;1789985;52673;9040;0;2277376;6;5;/data/work/c4/e6339ff441915e67748ace23d9059e;-;-
