task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
6;cpu14;ce/10e6d0;nf-ce10e6d07b405f85dac230ce8ca5951b;indexinputbam;JK2705;indexinputbam (JK2705);COMPLETED;0;-;nfcore/eager:2.4.6;1;600000;-;4294967296;1;1669830534443;1669830554000;1669830554000;19557;54;-;47.5;0.0;3350528;5615616;3350528;5632000;537193;309;142;13;0;4096;3;0;/data/work/ce/10e6d07b405f85dac230ce8ca5951b;-;-
2;node10;20/535fee;nf-20535fee6fc88e0232f86b58f88aa17c;makeFastaIndex;Mammoth_MT_Krause.fasta;makeFastaIndex (Mammoth_MT_Krause.fasta);COMPLETED;0;-;nfcore/eager:2.4.6;1;600000;-;4294967296;1;1669830534365;1669830548000;1669830548000;13635;17;-;106.7;0.0;3280896;5615616;3280896;5632000;69522;233;127;13;0;4096;3;2;/data/work/20/535fee6fc88e0232f86b58f88aa17c;-;-
10;cpu05;7d/c31222;nf-7dc31222fa2034c3345dbdefed1c4641;fastqc;JK2803_L7;fastqc (JK2803_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669830534575;1669830555000;1669830558000;23425;3254;-;171.1;0.2;254398464;3835551744;254398464;3895074816;36803458;1780912;11373;9018;0;2150400;4;2;/data/work/7d/c31222fa2034c3345dbdefed1c4641;-;-
17;cpu14;15/c008f4;nf-15c008f40eb325c3d147fee223638601;fastqc;JK2812_L7;fastqc (JK2812_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669830534776;1669830549000;1669830553000;18224;3325;-;185.9;0.2;248492032;3835551744;248492032;3836080128;39504033;1846216;16661;9135;0;2215936;4;4;/data/work/15/c008f40eb325c3d147fee223638601;-;-
7;cpu05;47/062f08;nf-47062f08737598be757d4ef834035b9b;indexinputbam;JK2706;indexinputbam (JK2706);COMPLETED;0;-;nfcore/eager:2.4.6;1;600000;-;4294967296;1;1669830534477;1669830563000;1669830563000;28523;82;-;43.5;0.0;11128832;19623936;11128832;19640320;765193;1786557;149;13;0;1789952;9;9;/data/work/47/062f08737598be757d4ef834035b9b;-;-
9;cpu14;72/7f941e;nf-727f941ee66879ca198fb9e8c53f8527;fastqc;JK2702_L8;fastqc (JK2702_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669830534544;1669830556000;1669830560000;25456;3264;-;171.4;0.2;260308992;3835551744;260308992;3895074816;36855273;1768681;11591;9012;0;2129920;4;4;/data/work/72/7f941ee66879ca198fb9e8c53f8527;-;-
15;node10;b2/0735a8;nf-b20735a8b719af2a575789838d396bb8;fastqc;JK2710_L7;fastqc (JK2710_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669830534746;1669830550000;1669830555000;20254;4273;-;163.9;0.2;270548992;3837648896;270548992;3895074816;39674874;1846341;17118;9126;0;2232320;4;3;/data/work/b2/0735a8b719af2a575789838d396bb8;-;-
50;node8;15/b3e5b9;nf-15b3e5b9c214d37c62fb1489b0cc493a;fastqc;JK2845_L7;fastqc (JK2845_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669830535874;1669830552000;1669830558000;22126;5251;-;155.6;0.2;282013696;3839766528;282013696;3895074816;54214094;1805822;45393;9074;0;2416640;4;3;/data/work/15/b3e5b9c214d37c62fb1489b0cc493a;-;-
63;node8;21/4ac710;nf-214ac71033d0ce6ecf4b74e680436daa;fastqc;JK2755_L7;fastqc (JK2755_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669830536228;1669830555000;1669830560000;23772;5247;-;161.1;0.2;277352448;3839766528;277352448;3895074816;60661116;1794893;58145;9051;0;2383872;4;3;/data/work/21/4ac71033d0ce6ecf4b74e680436daa;-;-
8;node8;51/506a2a;nf-51506a2aa3fedc6b02dfc4a26b24cebd;fastqc;JK2701_L7;fastqc (JK2701_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669830534512;1669830550000;1669830553000;18488;3281;-;192.1;0.2;227565568;3835551744;227565568;3895074816;36850310;1781275;11586;9011;0;2224128;4;4;/data/work/51/506a2aa3fedc6b02dfc4a26b24cebd;-;-
