task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;cpu14;f3/12551c;nf-f312551c979fe78aa9066d4f1119236e;makeBWAIndex;Mammoth_MT_Krause.fasta;makeBWAIndex (Mammoth_MT_Krause.fasta);COMPLETED;0;-;nfcore/eager:2.4.6;1;600000;-;8589934592;1;1669881359707;1669881373000;1669881374000;14293;104;-;26.7;0.0;5808128;10113024;5832704;10264576;129395;47103;162;42;0;81920;24;18;/data/work/f3/12551c979fe78aa9066d4f1119236e;-;-
2;cpu05;6e/5e99bb;nf-6e5e99bbe2031cfef55118bf47dd14d1;makeFastaIndex;Mammoth_MT_Krause.fasta;makeFastaIndex (Mammoth_MT_Krause.fasta);COMPLETED;0;-;nfcore/eager:2.4.6;1;600000;-;4294967296;1;1669881359758;1669881371000;1669881371000;11242;17;-;71.9;0.0;0;0;0;0;69525;232;127;13;0;4096;0;0;/data/work/6e/5e99bbe2031cfef55118bf47dd14d1;-;-
3;node10;bf/99a4b3;nf-bf99a4b316084f3661659f0875b2a8cd;makeSeqDict;Mammoth_MT_Krause.fasta;makeSeqDict (Mammoth_MT_Krause.fasta);COMPLETED;0;-;nfcore/eager:2.4.6;1;600000;-;8589934592;1;1669881359799;1669881376000;1669881378000;18201;2001;-;87.0;0.1;97865728;13487996928;97865728;13495173120;23344080;634633;7342;207;0;741376;13;5;/data/work/bf/99a4b316084f3661659f0875b2a8cd;-;-
6;node8;e5/9e577b;nf-e59e577b8c50c06facb52f0c0cb9d11b;indexinputbam;JK2705;indexinputbam (JK2705);COMPLETED;0;-;nfcore/eager:2.4.6;1;600000;-;4294967296;1;1669881359842;1669881380000;1669881380000;20158;23;-;92.3;0.0;3264512;5615616;3264512;5632000;536964;300;142;13;0;4096;3;3;/data/work/e5/9e577b8c50c06facb52f0c0cb9d11b;-;-
7;cpu14;6d/196521;nf-6d196521603ef7eca7b95797edf19820;indexinputbam;JK2706;indexinputbam (JK2706);COMPLETED;0;-;nfcore/eager:2.4.6;1;600000;-;4294967296;1;1669881359878;1669881376000;1669881377000;17122;106;-;34.3;0.0;9400320;15425536;9400320;15441920;765212;1786557;149;13;0;1789952;7;1;/data/work/6d/196521603ef7eca7b95797edf19820;-;-
9;node10;b2/1adb08;nf-b21adb08f810a19f473583d0a84f9834;fastqc;JK2702_L8;fastqc (JK2702_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669881359951;1669881371000;1669881375000;15049;3297;-;169.2;0.2;258965504;3835551744;258965504;3895074816;36855508;1768680;11592;9104;0;2211840;4;5;/data/work/b2/1adb08f810a19f473583d0a84f9834;-;-
10;node8;60/4e998d;nf-604e998d94b8920ab33e9189608eeaca;fastqc;JK2803_L7;fastqc (JK2803_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669881359990;1669881378000;1669881381000;21010;3282;-;175.2;0.2;256671744;3835551744;256671744;3895074816;36803240;1780900;11373;9018;0;2314240;9;7;/data/work/60/4e998d94b8920ab33e9189608eeaca;-;-
11;cpu14;63/b32f82;nf-63b32f82f2cfa5d050e7aff17aba8c64;fastqc;JK2804_L8;fastqc (JK2804_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669881360023;1669881379000;1669881382000;21977;3243;-;131.7;0.2;225349632;3771604992;225349632;3826913280;25064540;877436;8462;4503;0;1146880;4;2;/data/work/63/b32f82f2cfa5d050e7aff17aba8c64;-;-
22;node8;4c/4947bb;nf-4c4947bb0bc9ad0ef1517ae8e23b8875;fastqc;JK2717_L8;fastqc (JK2717_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669881360409;1669881380000;1669881384000;23591;4300;-;182.6;0.2;270946304;3835551744;270946304;3895074816;42456203;1835253;22550;9134;0;2322432;4;7;/data/work/4c/4947bb0bc9ad0ef1517ae8e23b8875;-;-
40;cpu05;b7/91932a;nf-b791932a43030c5dc0a81289f9e72d2e;fastqc;JK2735_L8;fastqc (JK2735_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669881360991;1669881378000;1669881383000;22009;4288;-;184.0;0.2;273367040;3835551744;273367040;3895074816;50799987;1783499;38844;9054;0;2359296;4;4;/data/work/b7/91932a43030c5dc0a81289f9e72d2e;-;-
52;node10;3e/66570f;nf-3e66570fda203883a66b7ffffe4654f0;fastqc;JK2744_L8;fastqc (JK2744_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669881361277;1669881379000;1669881384000;22723;5282;-;153.2;0.2;284360704;3839766528;284467200;3895074816;54981146;1783179;47071;9051;0;2306048;4;1;/data/work/3e/66570fda203883a66b7ffffe4654f0;-;-
8;cpu05;6a/cb6b9e;nf-6acb6b9e695a7783877f07d8226ec712;fastqc;JK2701_L7;fastqc (JK2701_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669881359916;1669881381000;1669881385000;25084;3248;-;189.4;0.2;230805504;3835551744;230805504;3836080128;36851042;1781282;11588;9011;0;2244608;4;3;/data/work/6a/cb6b9e695a7783877f07d8226ec712;-;-
12;cpu05;8a/9ac644;nf-8a9ac6446ab1f49c499b664c19a6bf35;fastqc;JK2707_L7;fastqc (JK2707_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669881360053;1669881373000;1669881377000;16947;3289;-;183.2;0.2;249425920;3835551744;249425920;3895074816;38274802;1848723;14386;9228;0;2215936;4;5;/data/work/8a/9ac6446ab1f49c499b664c19a6bf35;-;-
14;node10;32/0fe0ed;nf-320fe0ed2dbf2fdd845af1ddd96f2b89;fastqc;JK2809_L7;fastqc (JK2809_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669881360090;1669881374000;1669881378000;17910;4363;-;179.4;0.2;273768448;3839766528;273768448;3895074816;38167196;1844104;14054;9131;0;2342912;4;4;/data/work/32/0fe0ed2dbf2fdd845af1ddd96f2b89;-;-
15;cpu14;6d/e1eaf4;nf-6de1eaf4038ac593c6af67b44fc66061;fastqc;JK2710_L7;fastqc (JK2710_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669881360156;1669881374000;1669881378000;17844;4275;-;153.4;0.2;268615680;3839766528;268615680;3895074816;39675149;1846337;17118;9126;0;2363392;4;2;/data/work/6d/e1eaf4038ac593c6af67b44fc66061;-;-
44;cpu14;6c/d4e12c;nf-6cd4e12c5b9ae3229b2201e81ecc8ef4;fastqc;JK2839_L7;fastqc (JK2839_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669881361091;1669881381000;1669881388000;26909;6311;-;181.2;0.2;296730624;3837648896;296730624;3895074816;51535267;1796715;40164;9061;0;2355200;4;3;/data/work/6c/d4e12c5b9ae3229b2201e81ecc8ef4;-;-
