task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
67;cpu05;a9/8c7a1e;nf-a98c7a1e5c00ceb0d333b233f233623f;fastqc;JK2759_L8;fastqc (JK2759_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669872258759;1669872270000;1669872276000;17241;6266;-;161.8;0.2;301797376;3839766528;301879296;3895074816;61951748;1784682;60743;9052;0;2338816;5;5;/data/work/a9/8c7a1e5c00ceb0d333b233f233623f;-;-
69;cpu05;7c/b9b703;nf-7cb9b703d837a5edf36c92cacd075c0d;fastqc;JK2761_L7;fastqc (JK2761_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669872258852;1669872273000;1669872278000;19148;5303;-;177.6;0.2;287207424;3835551744;287207424;3895074816;63463523;1796968;63640;9052;0;2416640;5;6;/data/work/7c/b9b703d837a5edf36c92cacd075c0d;-;-
71;cpu05;ed/f67bce;nf-edf67bce77b0c68b43ae58e89b741b79;fastqc;JK2863_L7;fastqc (JK2863_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669872258886;1669872275000;1669872280000;21114;5288;-;178.1;0.2;286990336;3835551744;286990336;3895074816;62249364;1813456;61087;9083;0;2367488;5;5;/data/work/ed/f67bce77b0c68b43ae58e89b741b79;-;-
73;cpu05;3f/1347a1;nf-3f1347a14cdb789a4e28f9b59b575204;fastqc;JK2765_L8;fastqc (JK2765_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669872258945;1669872267000;1669872273000;14055;5286;-;182.7;0.2;284844032;3835551744;284844032;3895074816;64739329;1783633;66193;9051;0;2281472;5;3;/data/work/3f/1347a14cdb789a4e28f9b59b575204;-;-
74;node8;d6/46cbab;nf-d646cbab43e5a454c8276b08310855d5;fastqc;JK2866_L7;fastqc (JK2866_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669872258973;1669872275000;1669872280000;21027;5267;-;181.1;0.2;286654464;3835551744;286654464;3895074816;63586097;1809056;63702;9078;0;2244608;5;5;/data/work/d6/46cbab43e5a454c8276b08310855d5;-;-
60;node8;2b/c4fdf7;nf-2bc4fdf72f8f4b5125f05e695b20741f;fastqc;JK2752_L7;fastqc (JK2752_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669872258509;1669872277000;1669872284000;25491;7324;-;165.5;0.2;310415360;3839766528;310415360;3895074816;59264222;1795278;55423;9053;0;2326528;5;5;/data/work/2b/c4fdf72f8f4b5125f05e695b20741f;-;-
1;cpu05;f8/0ac6ce;nf-f80ac6cea49019b0d56a105a1a876dc9;makeBWAIndex;Mammoth_MT_Krause.fasta;makeBWAIndex (Mammoth_MT_Krause.fasta);COMPLETED;0;-;nfcore/eager:2.4.6;1;600000;-;8589934592;1;1669872256689;1669872283000;1669872284000;27311;92;-;39.4;0.0;5754880;10113024;5783552;10264576;129377;47103;162;42;0;81920;24;16;/data/work/f8/0ac6cea49019b0d56a105a1a876dc9;-;-
143;node10;2e/24185a;nf-2e24185a8e1c69a91b939c777e3f4bf9;adapter_removal;JK2758_L7;adapter_removal (JK2758_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669872260799;1669872280000;1669872290000;29201;9697;-;146.3;0.3;462307328;8990539776;462307328;9057427456;95138952;62026939;778653;1689663;0;21053440;390973;333;/data/work/2e/24185a8e1c69a91b939c777e3f4bf9;-;-
158;cpu14;65/978c46;nf-65978c464517aa615bc749b831500d10;adapter_removal;JK2761_L7;adapter_removal (JK2761_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669872260905;1669872278000;1669872290000;29095;10300;-;142.9;0.4;537792512;8990539776;537792512;8993239040;99435328;65289510;829835;1778604;0;22179840;456298;416;/data/work/65/978c464517aa615bc749b831500d10;-;-
45;node8;35/45dde7;nf-3545dde7baa6d11dd6506b9c5329a90c;fastqc;JK2740_L7;fastqc (JK2740_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669872258105;1669872285000;1669872290000;31895;5278;-;155.3;0.2;289071104;3839766528;289071104;3895074816;53657424;1785631;44470;9035;0;2330624;5;7;/data/work/35/45dde7baa6d11dd6506b9c5329a90c;-;-
