task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
70;node10;70/c474e6;nf-70c474e6c9399be8c8e319e449f568b1;fastqc;JK2762_L8;fastqc (JK2762_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669871505820;1669871520000;1669871526000;20180;5298;-;178.9;0.2;284229632;3835551744;284770304;3895074816;63465826;1784677;63583;9053;0;2203648;4;3;/data/work/70/c474e6c9399be8c8e319e449f568b1;-;-
74;node10;79/1b48ff;nf-791b48ff3d609d3132a7834374a749ac;fastqc;JK2866_L7;fastqc (JK2866_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669871505882;1669871526000;1669871531000;25118;5279;-;181.9;0.2;285978624;3835551744;285978624;3895074816;63586818;1809065;63704;9078;0;2281472;4;3;/data/work/79/1b48ff3d609d3132a7834374a749ac;-;-
150;node8;3b/6e30df;nf-3b6e30df5c970e439ae8fecaa889b8d7;adapter_removal;JK2759_L8;adapter_removal (JK2759_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669871507618;1669871517000;1669871527000;19382;9782;-;150.8;0.3;475795456;8990539776;475795456;8993239040;95609665;62662269;781909;1692425;0;21229568;380829;350;/data/work/3b/6e30df5c970e439ae8fecaa889b8d7;-;-
186;node8;21/7c57d8;nf-217c57d85d1df3c225bfd62da2b45db4;adapter_removal;JK2765_L8;adapter_removal (JK2765_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669871507799;1669871514000;1669871525000;17201;10718;-;148.6;0.4;530292736;8990539776;530292736;8993239040;104252517;69254511;873398;1870561;0;23400448;464955;401;/data/work/21/7c57d85d1df3c225bfd62da2b45db4;-;-
71;cpu05;41/a1932b;nf-41a1932b40f49a5bbde0089a4f06cc1e;fastqc;JK2863_L7;fastqc (JK2863_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669871505788;1669871526000;1669871532000;26212;6277;-;169.7;0.2;299986944;3839766528;299986944;3895074816;62249366;1813457;61087;9083;0;2367488;4;3;/data/work/41/a1932b40f49a5bbde0089a4f06cc1e;-;-
120;node8;10/6528f4;nf-106528f4c97eee14cbf7b9932c7032c9;adapter_removal;JK2851_L7;adapter_removal (JK2851_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669871507383;1669871529000;1669871537000;29617;7935;-;150.3;0.3;451092480;8990539776;451092480;9057427456;78155296;48566561;640205;1424565;0;16105472;367960;354;/data/work/10/6528f4c97eee14cbf7b9932c7032c9;-;-
143;cpu14;8a/e00392;nf-8ae00392901d60f15c47913a1f39b4b3;adapter_removal;JK2758_L7;adapter_removal (JK2758_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669871507590;1669871525000;1669871535000;27410;9549;-;148.4;0.4;488914944;8992403456;488914944;8993239040;95139076;62027127;760399;1689675;0;21065728;371666;367;/data/work/8a/e00392901d60f15c47913a1f39b4b3;-;-
178;cpu14;b4/96a7c7;nf-b496a7c764b13cc03cda9c76ae405101;adapter_removal;JK2764_L7;adapter_removal (JK2764_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669871507769;1669871525000;1669871536000;28231;10526;-;147.3;0.4;542969856;8990539776;542969856;9057427456;103731801;68552561;834612;1867521;0;23306240;461656;393;/data/work/b4/96a7c764b13cc03cda9c76ae405101;-;-
54;node10;52/ec5933;nf-52ec5933f8c032f22a628dd00ff2dc42;fastqc;JK2746_L7;fastqc (JK2746_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669871505282;1669871528000;1669871533000;27718;5297;-;151.0;0.2;281923584;3839766528;282001408;3895074816;56459028;1788598;49939;9038;0;2224128;4;6;/data/work/52/ec5933f8c032f22a628dd00ff2dc42;-;-
73;cpu05;9e/079dce;nf-9e079dce10b94b3e94c266d4ff1a789d;fastqc;JK2765_L8;fastqc (JK2765_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669871505910;1669871528000;1669871533000;27090;5254;-;172.2;0.2;273698816;3837648896;273698816;3895074816;64739330;1783633;66193;9051;0;2330624;4;3;/data/work/9e/079dce10b94b3e94c266d4ff1a789d;-;-
