task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
6;cpu14;ac/fb3a08;nf-acfb3a08e9b89fc297e254036a5c12b7;indexinputbam;JK2705;indexinputbam (JK2705);COMPLETED;0;-;nfcore/eager:2.4.6;1;600000;-;4294967296;1;1669841274844;1669841286000;1669841286000;11156;28;-;78.7;0.0;3125248;5615616;3125248;5632000;537192;309;142;13;0;4096;3;0;/data/work/ac/fb3a08e9b89fc297e254036a5c12b7;-;-
2;node8;60/c69f61;nf-60c69f61edffd080913d40101598d8fd;makeFastaIndex;Mammoth_MT_Krause.fasta;makeFastaIndex (Mammoth_MT_Krause.fasta);COMPLETED;0;-;nfcore/eager:2.4.6;1;600000;-;4294967296;1;1669841274718;1669841288000;1669841288000;13282;19;-;68.8;0.0;3186688;5615616;3186688;5632000;69309;223;127;13;0;4096;3;3;/data/work/60/c69f61edffd080913d40101598d8fd;-;-
1;cpu14;84/d12eb2;nf-84d12eb2283b5c71c30d7b2e94e5e67a;makeBWAIndex;Mammoth_MT_Krause.fasta;makeBWAIndex (Mammoth_MT_Krause.fasta);COMPLETED;0;-;nfcore/eager:2.4.6;1;600000;-;8589934592;1;1669841274762;1669841289000;1669841289000;14238;103;-;35.2;0.0;5783552;10113024;5812224;10264576;129390;47103;162;42;0;81920;22;3;/data/work/84/d12eb2283b5c71c30d7b2e94e5e67a;-;-
3;cpu05;b9/285a92;nf-b9285a921c160e01531174e0589ca7ca;makeSeqDict;Mammoth_MT_Krause.fasta;makeSeqDict (Mammoth_MT_Krause.fasta);COMPLETED;0;-;nfcore/eager:2.4.6;1;600000;-;8589934592;1;1669841274803;1669841294000;1669841296000;21197;1899;-;87.5;0.1;96993280;13487996928;96993280;13488029696;23344152;634633;7355;207;0;671744;13;0;/data/work/b9/285a921c160e01531174e0589ca7ca;-;-
7;node8;ec/b065b3;nf-ecb065b3759b03fe7d6e1a0f7a082acd;indexinputbam;JK2706;indexinputbam (JK2706);COMPLETED;0;-;nfcore/eager:2.4.6;1;600000;-;4294967296;1;1669841274882;1669841291000;1669841291000;16118;62;-;54.5;0.0;11231232;19623936;11231232;19640320;764979;1786548;149;13;0;1789952;10;4;/data/work/ec/b065b3759b03fe7d6e1a0f7a082acd;-;-
202;node8;fd/218c3a;nf-fd218c3a4bf1ca416ef12a6e40985531;output_documentation;-;output_documentation;COMPLETED;0;-;nfcore/eager:2.4.6;1;600000;-;1073741824;1;1669841278942;1669841296000;1669841296000;17058;387;-;70.4;0.0;3276800;5615616;3276800;5632000;8457111;7767692;573;13;0;7770112;8;0;/data/work/fd/218c3a4bf1ca416ef12a6e40985531;-;-
11;cpu05;53/400840;nf-53400840974cb2205ee5b953a585e151;fastqc;JK2804_L8;fastqc (JK2804_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669841275066;1669841303000;1669841305000;29934;2279;-;155.5;0.1;144252928;3767390208;144252928;3826913280;25064266;877438;8461;4549;0;1122304;5;4;/data/work/53/400840974cb2205ee5b953a585e151;-;-
31;cpu14;d0/688de7;nf-d0688de706da17f9bb950363db35411a;fastqc;JK2726_L8;fastqc (JK2726_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669841275713;1669841299000;1669841304000;28287;5277;-;152.8;0.2;276267008;3839766528;276267008;3895074816;46636061;1829963;30712;9121;0;2461696;4;3;/data/work/d0/688de706da17f9bb950363db35411a;-;-
89;node8;3c/c844c7;nf-3cc844c72448035a7755cb4e71f665c3;adapter_removal;JK2720_L8;adapter_removal (JK2720_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669841277530;1669841301000;1669841304000;26470;3481;-;152.0;0.1;215875584;8990535680;215875584;9057427456;39433088;19809905;245780;534490;0;6774784;137255;138;/data/work/3c/c844c72448035a7755cb4e71f665c3;-;-
203;node10;7c/dda8bd;nf-7cdda8bdb801257ce5d63c79cbf5535c;get_software_versions;-;get_software_versions;COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669841278970;1669841296000;1669841305000;26030;8667;-;168.6;0.3;417005568;9087799296;417005568;9087815680;175740206;32029;68298;665;0;688128;66;19;/data/work/7c/dda8bdb801257ce5d63c79cbf5535c;-;-
