task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
2;node10;ee/a4438e;nf-eea4438eed54b0a2a4fd641b0eb84219;makeFastaIndex;Mammoth_MT_Krause.fasta;makeFastaIndex (Mammoth_MT_Krause.fasta);COMPLETED;0;-;nfcore/eager:2.4.6;1;600000;-;4294967296;1;1669889725135;1669889744000;1669889744000;18865;21;-;63.4;0.0;3346432;5615616;3346432;5632000;69521;232;127;13;0;4096;4;0;/data/work/ee/a4438eed54b0a2a4fd641b0eb84219;-;-
11;cpu14;79/3e698a;nf-793e698a38faa9628a0717a5ac9b37c7;fastqc;JK2804_L8;fastqc (JK2804_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669889725435;1669889744000;1669889747000;21565;3327;-;135.3;0.2;226177024;3771584512;226177024;3771600896;25064538;877436;8463;4503;0;1077248;6;2;/data/work/79/3e698a38faa9628a0717a5ac9b37c7;-;-
77;node8;ab/b05995;nf-abb059954a280c2e41c316a0aa0d77af;adapter_removal;JK2708_L8;adapter_removal (JK2708_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669889727607;1669889746000;1669889748000;20393;1605;-;161.3;0.1;100139008;8990535680;100139008;8993239040;22147734;6623882;80186;178201;0;2289664;21913;29;/data/work/ab/b059954a280c2e41c316a0aa0d77af;-;-
202;cpu05;e0/273bc6;nf-e0273bc63d8701576b0ccdce5e88154a;output_documentation;-;output_documentation;COMPLETED;0;-;nfcore/eager:2.4.6;1;600000;-;1073741824;1;1669889729431;1669889748000;1669889749000;19569;383;-;73.4;0.0;3194880;5615616;3194880;5632000;8457327;7767701;573;13;0;7770112;7;0;/data/work/e0/273bc63d8701576b0ccdce5e88154a;-;-
1;cpu14;1a/4fa8de;nf-1a4fa8def664adaa338b2edd1a637691;makeBWAIndex;Mammoth_MT_Krause.fasta;makeBWAIndex (Mammoth_MT_Krause.fasta);COMPLETED;0;-;nfcore/eager:2.4.6;1;600000;-;8589934592;1;1669889725179;1669889748000;1669889748000;22821;106;-;17.2;0.0;5779456;10113024;5812224;10264576;129394;47103;162;42;0;81920;23;19;/data/work/1a/4fa8def664adaa338b2edd1a637691;-;-
7;node8;3a/e86ea2;nf-3ae86ea228e7ad289031541f00b29b17;indexinputbam;JK2706;indexinputbam (JK2706);COMPLETED;0;-;nfcore/eager:2.4.6;1;600000;-;4294967296;1;1669889725303;1669889751000;1669889751000;25697;74;-;46.9;0.0;3190784;5615616;3190784;5632000;764980;1786548;149;13;0;1789952;4;1;/data/work/3a/e86ea228e7ad289031541f00b29b17;-;-
34;node10;6d/a10171;nf-6da101711c13fcc86cc5e90cd330ecfd;fastqc;JK2729_L8;fastqc (JK2729_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669889726211;1669889746000;1669889752000;25789;6264;-;176.9;0.2;312905728;3837648896;315863040;3895074816;48032056;1836026;33441;9137;0;2478080;5;2;/data/work/6d/a101711c13fcc86cc5e90cd330ecfd;-;-
3;node10;2e/ab3357;nf-2eab3357b1d605229ee519ccd60cf27d;makeSeqDict;Mammoth_MT_Krause.fasta;makeSeqDict (Mammoth_MT_Krause.fasta);COMPLETED;0;-;nfcore/eager:2.4.6;1;600000;-;8589934592;1;1669889725227;1669889748000;1669889750000;24773;1820;-;92.2;0.1;92618752;13433253888;92618752;13495173120;23344094;634633;7344;207;0;774144;14;4;/data/work/2e/ab3357b1d605229ee519ccd60cf27d;-;-
6;cpu05;d1/13db1a;nf-d113db1a7072926b04b36abefbedb045;indexinputbam;JK2705;indexinputbam (JK2705);COMPLETED;0;-;nfcore/eager:2.4.6;1;600000;-;4294967296;1;1669889725267;1669889755000;1669889756000;30733;25;-;88.1;0.0;3194880;5615616;3194880;5632000;537179;309;142;13;0;4096;4;2;/data/work/d1/13db1a7072926b04b36abefbedb045;-;-
9;node8;9e/a9d8f1;nf-9ea9d8f1ce081d84ef092db69e848491;fastqc;JK2702_L8;fastqc (JK2702_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669889725340;1669889749000;1669889753000;27660;4296;-;156.1;0.2;284807168;3839766528;284884992;3839782912;36855811;1768671;11594;9012;0;2318336;5;2;/data/work/9e/a9d8f1ce081d84ef092db69e848491;-;-
27;cpu05;e2/149350;nf-e2149350fe5e1cb34d77eef3cc9fbb76;fastqc;JK2722_L7;fastqc (JK2722_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669889725960;1669889750000;1669889755000;29040;4278;-;185.0;0.2;272515072;3837562880;272515072;3895074816;45274778;1840202;28074;9117;0;2338816;5;5;/data/work/e2/149350fe5e1cb34d77eef3cc9fbb76;-;-
32;cpu05;fb/14abbb;nf-fb14abbb8282f17d0e65868c4945f0f6;fastqc;JK2827_L7;fastqc (JK2827_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669889726151;1669889752000;1669889757000;30849;4370;-;168.6;0.2;255561728;3835551744;255561728;3836080128;46198395;1848182;29736;9138;0;2478080;6;2;/data/work/fb/14abbb8282f17d0e65868c4945f0f6;-;-
75;cpu05;54/b4d2b4;nf-54b4d2b4bda6da69117b7450e0dd40e7;adapter_removal;JK2804_L8;adapter_removal (JK2804_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669889727509;1669889755000;1669889755000;27491;267;-;106.1;0.0;3350528;5615616;3350528;5632000;701784;455600;158;50;0;462848;4;1;/data/work/54/b4d2b4bda6da69117b7450e0dd40e7;-;-
44;node10;dc/88dd98;nf-dc88dd98f55c31f13dea82191b4fd96a;adapter_removal;JK2803_L7;adapter_removal (JK2803_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669889727541;1669889749000;1669889750000;22459;1048;-;172.8;0.0;3379200;5689344;3379200;5754880;17541718;3056867;42950;89090;0;1069056;12;1;/data/work/dc/88dd98f55c31f13dea82191b4fd96a;-;-
79;cpu14;66/2f9936;nf-662f99367cff9e99de625ad0de791c46;adapter_removal;JK2710_L7;adapter_removal (JK2710_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669889727668;1669889757000;1669889759000;31332;2005;-;161.9;0.1;88756224;8990535680;88756224;9057427456;26397067;9823646;124615;266836;0;3448832;19550;35;/data/work/66/2f99367cff9e99de625ad0de791c46;-;-
10;cpu05;5d/dc80d8;nf-5ddc80d8369df6ba02278391185e703d;fastqc;JK2803_L7;fastqc (JK2803_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669889725398;1669889758000;1669889761000;35602;3268;-;171.8;0.2;254713856;3835551744;254713856;3895074816;36803455;1780909;11373;9018;0;2174976;5;2;/data/work/5d/dc80d8369df6ba02278391185e703d;-;-
16;cpu14;9d/e791b6;nf-9de791b6489f4dd4fc97038517054d10;fastqc;JK2711_L8;fastqc (JK2711_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669889725646;1669889755000;1669889759000;33354;4272;-;174.1;0.2;275922944;3835551744;275922944;3895074816;39669028;1835744;17103;9132;0;2453504;5;3;/data/work/9d/e791b6489f4dd4fc97038517054d10;-;-
26;node8;ad/263049;nf-ad263049b704789f3fcef0b80b4cfef4;fastqc;JK2821_L7;fastqc (JK2821_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669889725989;1669889754000;1669889758000;32011;4285;-;179.6;0.2;268926976;3835551744;269262848;3837382656;43519956;1842582;24507;9128;0;2351104;5;5;/data/work/ad/263049b704789f3fcef0b80b4cfef4;-;-
80;node8;6c/5c6677;nf-6c5c6677cd4fbcbf6c21ab9a9875098d;adapter_removal;JK2711_L8;adapter_removal (JK2711_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669889727700;1669889761000;1669889764000;36300;2083;-;158.8;0.0;82653184;8990535680;82653184;8993239040;26469152;9920489;125315;267272;0;3432448;14643;26;/data/work/6c/5c6677cd4fbcbf6c21ab9a9875098d;-;-
82;node10;bc/a97b8c;nf-bca97b8c56a020529df406d3ef99fc89;adapter_removal;JK2713_L7;adapter_removal (JK2713_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669889727733;1669889759000;1669889762000;34267;2573;-;157.7;0.1;163577856;8990535680;163577856;8993239040;30693506;13086540;164012;355764;0;4538368;87684;86;/data/work/bc/a97b8c56a020529df406d3ef99fc89;-;-
90;node8;07/8bf2f0;nf-078bf2f06403c0208acf1bc8486e9157;adapter_removal;JK2821_L7;adapter_removal (JK2821_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669889728017;1669889759000;1669889763000;34983;3382;-;156.3;0.2;223494144;8990535680;223494144;8993239040;37745895;18227298;244721;534246;0;6127616;132970;135;/data/work/07/8bf2f06403c0208acf1bc8486e9157;-;-
203;node8;07/87e58d;nf-0787e58d11e601fdad99a20b50123c41;get_software_versions;-;get_software_versions;COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669889729459;1669889751000;1669889761000;31541;8812;-;165.1;0.3;428118016;9085702144;428118016;9085718528;176009475;32018;68401;667;0;1097728;61;19;/data/work/07/87e58d11e601fdad99a20b50123c41;-;-
17;cpu14;6e/ecdc40;nf-6eecdc40db031d3062b8c373f8e69375;fastqc;JK2812_L7;fastqc (JK2812_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669889725617;1669889759000;1669889763000;37383;4285;-;151.6;0.2;264736768;3839766528;264826880;3895074816;39504040;1846214;16661;9135;0;2383872;5;7;/data/work/6e/ecdc40db031d3062b8c373f8e69375;-;-
38;node10;df/79bf62;nf-df79bf622ea3242ac3485c47fb321f3a;fastqc;JK2833_L7;fastqc (JK2833_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669889726335;1669889754000;1669889758000;31665;4324;-;177.2;0.2;255045632;3835551744;255045632;3895074816;48860851;1807401;34937;9075;0;2285568;5;4;/data/work/df/79bf622ea3242ac3485c47fb321f3a;-;-
92;node8;ae/17bc95;nf-ae17bc95534a5c974a0b026c287c7686;adapter_removal;JK2723_L8;adapter_removal (JK2723_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669889728105;1669889754000;1669889758000;29895;4043;-;156.7;0.1;202592256;8990535680;202592256;8993239040;43754449;23106393;284241;623561;0;7909376;113696;130;/data/work/ae/17bc95534a5c974a0b026c287c7686;-;-
22;cpu05;d4/16f381;nf-d416f3817d2e224a4e78b9af00e5db3d;fastqc;JK2717_L8;fastqc (JK2717_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669889725821;1669889763000;1669889767000;41179;4279;-;162.3;0.2;264589312;3837648896;264589312;3895074816;42455654;1835262;22547;9134;0;2301952;5;2;/data/work/d4/16f3817d2e224a4e78b9af00e5db3d;-;-
30;cpu14;8b/8d342d;nf-8b8d342dcca424af7f1949b7efe24c8e;fastqc;JK2725_L7;fastqc (JK2725_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669889726083;1669889759000;1669889764000;37917;4285;-;183.1;0.2;263921664;3835551744;263921664;3895074816;46675153;1841202;30809;9120;0;2330624;5;6;/data/work/8b/8d342dcca424af7f1949b7efe24c8e;-;-
96;node8;ea/677da8;nf-ea677da8a5ab38b6bd1480eb60effda3;adapter_removal;JK2827_L7;adapter_removal (JK2827_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669889728199;1669889757000;1669889761000;32801;4165;-;153.5;0.1;188153856;8990535680;188153856;9057427456;45827820;24295251;329412;712315;0;8114176;116091;102;/data/work/ea/677da8a5ab38b6bd1480eb60effda3;-;-
98;node10;8b/7326b2;nf-8b7326b273b1b1ec02be3c309fd02b72;adapter_removal;JK2729_L8;adapter_removal (JK2729_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669889728263;1669889756000;1669889761000;32737;4935;-;150.5;0.2;257478656;8990535680;257478656;9057427456;52397143;29698967;373699;801703;0;10227712;203274;204;/data/work/8b/7326b273b1b1ec02be3c309fd02b72;-;-
18;node8;46/3ea9f2;nf-463ea9f238302e185a64b916a2484b4b;fastqc;JK2713_L7;fastqc (JK2713_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669889725686;1669889767000;1669889771000;45314;4268;-;151.8;0.2;265789440;3839766528;265879552;3895074816;41075990;1850518;19851;9134;0;2301952;10;5;/data/work/46/3ea9f238302e185a64b916a2484b4b;-;-
