task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
75;cpu05;83/9f218e;nf-839f218e9e3e4423f951720af6bcd0e4;adapter_removal;JK2804_L8;adapter_removal (JK2804_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669890490143;1669890501000;1669890502000;11857;253;-;109.3;0.0;3268608;5615616;3268608;5632000;701784;455600;158;50;0;462848;5;0;/data/work/83/9f218e9e3e4423f951720af6bcd0e4;-;-
3;cpu05;6d/61a3c1;nf-6d61a3c1b64c0aea728d5f3e651bbd89;makeSeqDict;Mammoth_MT_Krause.fasta;makeSeqDict (Mammoth_MT_Krause.fasta);COMPLETED;0;-;nfcore/eager:2.4.6;1;600000;-;8589934592;1;1669890487802;1669890499000;1669890501000;13198;1980;-;89.1;0.1;93040640;13433253888;93040640;13495173120;23344128;634633;7349;207;0;724992;13;1;/data/work/6d/61a3c1b64c0aea728d5f3e651bbd89;-;-
48;cpu14;97/91d8ee;nf-9791d8eed6888f3e4541b26f0e932e02;adapter_removal;JK2803_L7;adapter_removal (JK2803_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669890490172;1669890503000;1669890504000;13828;848;-;167.7;0.0;3338240;5615616;3338240;5632000;17541754;3056868;41707;89090;0;1069056;5;0;/data/work/97/91d8eed6888f3e4541b26f0e932e02;-;-
2;node10;e5/5a5763;nf-e55a57635a310be417eee1f8e763bfae;makeFastaIndex;Mammoth_MT_Krause.fasta;makeFastaIndex (Mammoth_MT_Krause.fasta);COMPLETED;0;-;nfcore/eager:2.4.6;1;600000;-;4294967296;1;1669890487715;1669890499000;1669890500000;12285;20;-;95.0;0.0;3313664;5615616;3313664;5632000;69521;232;127;13;0;4096;3;0;/data/work/e5/5a57635a310be417eee1f8e763bfae;-;-
1;cpu14;6b/9af1f3;nf-6b9af1f3d1a48fd260cda8028d10f287;makeBWAIndex;Mammoth_MT_Krause.fasta;makeBWAIndex (Mammoth_MT_Krause.fasta);COMPLETED;0;-;nfcore/eager:2.4.6;1;600000;-;8589934592;1;1669890487762;1669890505000;1669890506000;18238;97;-;28.4;0.0;5615616;10113024;5648384;10264576;129396;47103;162;42;0;81920;24;10;/data/work/6b/9af1f3d1a48fd260cda8028d10f287;-;-
10;node10;39/792dd0;nf-39792dd0fa7fe02f55a9a57cb62400df;fastqc;JK2803_L7;fastqc (JK2803_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669890487989;1669890502000;1669890505000;17011;3281;-;168.9;0.2;258801664;3835551744;258801664;3895074816;36803705;1780909;11375;9018;0;2150400;4;4;/data/work/39/792dd0fa7fe02f55a9a57cb62400df;-;-
47;node8;81/0effe3;nf-810effe3198109a86dccbe856e353e89;adapter_removal;JK2702_L8;adapter_removal (JK2702_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669890490115;1669890504000;1669890505000;14885;979;-;168.7;0.0;10833920;92483584;10833920;159203328;17826914;3327137;44766;89131;0;1183744;12;9;/data/work/81/0effe3198109a86dccbe856e353e89;-;-
76;node8;82/202371;nf-82202371c18b479d5d2bf15117a52b20;adapter_removal;JK2707_L7;adapter_removal (JK2707_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669890490203;1669890506000;1669890508000;17797;1598;-;165.3;0.1;94494720;8990535680;94494720;8993239040;22100393;6560766;82525;177915;0;2322432;23452;34;/data/work/82/202371c18b479d5d2bf15117a52b20;-;-
202;node8;78/67b728;nf-7867b728bcaea8fa36c43ee51396d3c5;output_documentation;-;output_documentation;COMPLETED;0;-;nfcore/eager:2.4.6;1;600000;-;1073741824;1;1669890492060;1669890501000;1669890501000;8940;423;-;64.6;0.0;11841536;16973824;11841536;16990208;8457113;7767692;573;13;0;7770112;11;12;/data/work/78/67b728bcaea8fa36c43ee51396d3c5;-;-
203;node8;80/cbee12;nf-80cbee123ded650fa479f71870030efe;get_software_versions;-;get_software_versions;COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669890492084;1669890498000;1669890508000;15916;8959;-;167.2;0.3;429670400;9085702144;429670400;9085718528;176007486;31984;68430;666;0;1036288;128;11;/data/work/80/cbee123ded650fa479f71870030efe;-;-
6;node10;78/76a23f;nf-7876a23f3995492be3bfe415c59c884a;indexinputbam;JK2705;indexinputbam (JK2705);COMPLETED;0;-;nfcore/eager:2.4.6;1;600000;-;4294967296;1;1669890487840;1669890510000;1669890510000;22160;22;-;94.1;0.0;3207168;5615616;3207168;5632000;537176;309;142;13;0;4096;3;2;/data/work/78/76a23f3995492be3bfe415c59c884a;-;-
9;cpu05;02/8edcee;nf-028edcee0b5c2bd9e0f6dbae0827e744;fastqc;JK2702_L8;fastqc (JK2702_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669890487949;1669890504000;1669890508000;20051;3261;-;171.2;0.2;259039232;3835551744;259039232;3895074816;36855515;1768680;11592;9012;0;2252800;4;2;/data/work/02/8edcee0b5c2bd9e0f6dbae0827e744;-;-
12;cpu05;3f/76c94c;nf-3f76c94c7870f7e09e60731dd02a87ad;fastqc;JK2707_L7;fastqc (JK2707_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669890488029;1669890510000;1669890515000;26971;4286;-;154.7;0.2;262045696;3835551744;262045696;3895074816;38275060;1848723;14387;9182;0;2367488;4;3;/data/work/3f/76c94c7870f7e09e60731dd02a87ad;-;-
11;cpu14;b5/7df039;nf-b57df03942d26a1dfe4b45fda9b39435;fastqc;JK2804_L8;fastqc (JK2804_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669890488060;1669890510000;1669890513000;24940;2240;-;157.0;0.2;211574784;3771604992;211664896;3826913280;25064285;877436;8461;4503;0;1118208;4;2;/data/work/b5/7df03942d26a1dfe4b45fda9b39435;-;-
14;cpu05;9c/4d8845;nf-9c4d88451f6892d30166a65871d80eb8;fastqc;JK2809_L7;fastqc (JK2809_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669890488130;1669890507000;1669890511000;22870;4298;-;155.8;0.2;274513920;3839766528;274513920;3895074816;38166687;1844104;14051;9131;0;2359296;4;3;/data/work/9c/4d88451f6892d30166a65871d80eb8;-;-
19;node10;79/76bb36;nf-7976bb36b71d97596a3d87ccd61df868;fastqc;JK2714_L8;fastqc (JK2714_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669890488272;1669890507000;1669890511000;22728;4267;-;156.9;0.2;267563008;3839766528;267563008;3839782912;41062825;1839676;19823;9137;0;2400256;4;3;/data/work/79/76bb36b71d97596a3d87ccd61df868;-;-
81;cpu14;37/d9f6e3;nf-37d9f6e3ad4e576e8d63da5bb7638f2e;adapter_removal;JK2812_L7;adapter_removal (JK2812_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669890490331;1669890513000;1669890515000;24669;2083;-;154.9;0.1;87056384;8990535680;87056384;8993239040;25623261;9125289;118468;267150;0;3100672;17644;18;/data/work/37/d9f6e3ad4e576e8d63da5bb7638f2e;-;-
92;node8;96/cb7ee8;nf-96cb7ee842308841a405ce9cdd269835;adapter_removal;JK2723_L8;adapter_removal (JK2723_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669890490684;1669890509000;1669890513000;22316;3928;-;156.1;0.1;192589824;8990535680;192589824;8993239040;43754420;23106309;287323;623555;0;7933952;126141;120;/data/work/96/cb7ee842308841a405ce9cdd269835;-;-
17;node10;18/96bb2d;nf-1896bb2d248992e7b1bf712adb85865f;fastqc;JK2812_L7;fastqc (JK2812_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669890488237;1669890509000;1669890514000;25763;4300;-;150.7;0.2;267223040;3839766528;267223040;3895074816;39504017;1846214;16661;9135;0;2375680;9;8;/data/work/18/96bb2d248992e7b1bf712adb85865f;-;-
32;cpu05;7c/691e08;nf-7c691e086c809cc8f4a9fd6c4835a890;fastqc;JK2827_L7;fastqc (JK2827_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669890488729;1669890513000;1669890519000;30271;5286;-;151.8;0.2;278609920;3839766528;278609920;3895074816;46198916;1848182;29740;9138;0;2359296;4;4;/data/work/7c/691e086c809cc8f4a9fd6c4835a890;-;-
84;node8;4a/a20ba9;nf-4aa20ba956e88d64a66e771a637a72a3;adapter_removal;JK2815_L7;adapter_removal (JK2815_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669890490448;1669890515000;1669890518000;27552;2494;-;153.2;0.1;173486080;8990535680;173486080;8993239040;29663887;12159153;164987;356184;0;4050944;93312;87;/data/work/4a/a20ba956e88d64a66e771a637a72a3;-;-
15;node10;4e/956fb3;nf-4e956fb3fe29d90d7201ce91b5b42180;fastqc;JK2710_L7;fastqc (JK2710_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669890488166;1669890512000;1669890516000;27834;4264;-;175.1;0.2;273530880;3835551744;273530880;3895074816;39675382;1846337;17119;9126;0;2400256;4;4;/data/work/4e/956fb3fe29d90d7201ce91b5b42180;-;-
18;cpu05;44/1ddcce;nf-441ddcce1c862cf8bb0b182171c08bf2;fastqc;JK2713_L7;fastqc (JK2713_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669890488306;1669890516000;1669890520000;31694;4262;-;155.4;0.2;263974912;3839766528;264065024;3895074816;41076719;1850527;19853;9134;0;2367488;4;4;/data/work/44/1ddcce1c862cf8bb0b182171c08bf2;-;-
38;cpu05;0f/f7abeb;nf-0ff7abebb9a7452dace3e0e990e88bae;fastqc;JK2833_L7;fastqc (JK2833_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669890488925;1669890519000;1669890524000;35075;4266;-;176.0;0.2;254169088;3835551744;254169088;3895074816;48860857;1807401;34937;9075;0;2330624;4;5;/data/work/0f/f7abebb9a7452dace3e0e990e88bae;-;-
77;cpu14;0e/a89817;nf-0ea898171550d606d004140a294e64b3;adapter_removal;JK2708_L8;adapter_removal (JK2708_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669890490233;1669890521000;1669890522000;31767;1549;-;162.6;0.1;109223936;8990535680;109223936;8993239040;22147993;6623937;82485;178202;0;2314240;25566;38;/data/work/0e/a898171550d606d004140a294e64b3;-;-
83;cpu14;4d/049c29;nf-4d049c294906443d0a6366a9f36ed51b;adapter_removal;JK2714_L8;adapter_removal (JK2714_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669890490416;1669890523000;1669890526000;35584;2600;-;154.0;0.1;172105728;8990535680;172105728;8993239040;30790719;13217098;157387;356345;0;4530176;89429;85;/data/work/4d/049c294906443d0a6366a9f36ed51b;-;-
91;cpu14;04/6caa31;nf-046caa312f9a08949df88c05dd2f1bd9;adapter_removal;JK2722_L7;adapter_removal (JK2722_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669890490656;1669890516000;1669890520000;29344;3879;-;152.5;0.1;200339456;8990535680;200339456;8993239040;43582823;22875093;277813;622543;0;7860224;115066;111;/data/work/04/6caa312f9a08949df88c05dd2f1bd9;-;-
98;node8;a4/492fba;nf-a4492fbad1b69f0ebf11461e7cc5c0fe;adapter_removal;JK2729_L8;adapter_removal (JK2729_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669890490870;1669890511000;1669890516000;25130;4815;-;151.0;0.2;275251200;8990535680;275251200;8993239040;52396966;29699037;375500;801706;0;10104832;203000;184;/data/work/a4/492fbad1b69f0ebf11461e7cc5c0fe;-;-
23;node10;47/dcd9e0;nf-47dcd9e07c8610cf4d1ebe1cf0fa95ba;fastqc;JK2818_L7;fastqc (JK2818_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669890488438;1669890518000;1669890523000;34562;4269;-;158.3;0.2;265216000;3839746048;265216000;3839762432;42181224;1845787;21892;9138;0;2342912;4;5;/data/work/47/dcd9e07c8610cf4d1ebe1cf0fa95ba;-;-
31;node10;35/00fbef;nf-3500fbef03d6ef83dde712e99ff2e653;fastqc;JK2726_L8;fastqc (JK2726_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669890488699;1669890515000;1669890521000;32301;5280;-;152.3;0.2;281309184;3839766528;281362432;3895074816;46635785;1829964;30710;9121;0;2359296;4;4;/data/work/35/00fbef03d6ef83dde712e99ff2e653;-;-
79;cpu14;6c/897dde;nf-6c897ddec96d6d840bf5af03672b339f;adapter_removal;JK2710_L7;adapter_removal (JK2710_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669890490296;1669890518000;1669890520000;29704;1921;-;154.7;0.1;86048768;8990535680;86048768;8993239040;26397034;9823608;121000;266841;0;3411968;15104;27;/data/work/6c/897ddec96d6d840bf5af03672b339f;-;-
