task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
6;cpu05;06/4f5c7d;nf-064f5c7d5b8876d0ac539c204ba6db57;indexinputbam;JK2705;indexinputbam (JK2705);COMPLETED;0;-;nfcore/eager:2.4.6;1;600000;-;4294967296;1;1669829756174;1669829768000;1669829769000;12826;167;-;16.9;0.0;3227648;5615616;3227648;5632000;537179;309;142;13;0;4096;2;0;/data/work/06/4f5c7d5b8876d0ac539c204ba6db57;-;-
3;node10;8f/94181c;nf-8f94181c17ec6e443c04d0c307212286;makeSeqDict;Mammoth_MT_Krause.fasta;makeSeqDict (Mammoth_MT_Krause.fasta);COMPLETED;0;-;nfcore/eager:2.4.6;1;600000;-;8589934592;1;1669829756205;1669829769000;1669829773000;16795;3033;-;57.4;0.1;83152896;13431111680;83152896;13431611392;23344144;634633;7354;207;0;671744;14;0;/data/work/8f/94181c17ec6e443c04d0c307212286;-;-
1;cpu14;54/30c4a8;nf-5430c4a807026365813b0a00161d14f8;makeBWAIndex;Mammoth_MT_Krause.fasta;makeBWAIndex (Mammoth_MT_Krause.fasta);COMPLETED;0;-;nfcore/eager:2.4.6;1;600000;-;8589934592;1;1669829756242;1669829771000;1669829773000;16758;721;-;5.4;0.0;3244032;5615616;3244032;5632000;129389;47102;162;42;0;81920;2;0;/data/work/54/30c4a807026365813b0a00161d14f8;-;-
10;node8;56/dd9ab0;nf-56dd9ab0d723b92639eb1d1f89f05ec3;fastqc;JK2803_L7;fastqc (JK2803_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669829756354;1669829773000;1669829777000;20646;3338;-;168.7;0.2;272281600;3839766528;272359424;3895074816;36802983;1780903;11372;9018;0;2150400;5;1;/data/work/56/dd9ab0d723b92639eb1d1f89f05ec3;-;-
92;node10;77/a6b54d;nf-77a6b54da9de9bce75ec77d0526a9c0c;adapter_removal;JK2708_L8;adapter_removal (JK2708_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669829756758;1669829775000;1669829778000;21242;1870;-;127.7;0.0;73666560;8990535680;73666560;8993234944;22147953;6623926;82230;178201;0;2289664;9556;12;/data/work/77/a6b54da9de9bce75ec77d0526a9c0c;-;-
100;cpu05;85/d107cc;nf-85d107cca83ef4ee36ecaceff96d584b;adapter_removal;JK2812_L7;adapter_removal (JK2812_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669829757025;1669829766000;1669829768000;10975;2137;-;145.6;0.0;77795328;8990535680;77795328;9057423360;25623164;9125218;123497;267153;0;3080192;9088;12;/data/work/85/d107cca83ef4ee36ecaceff96d584b;-;-
108;node8;74/ab22f9;nf-74ab22f92257eb9dc2357a965e20ead8;fastqc;JK2725_L7;fastqc (JK2725_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669829757263;1669829773000;1669829778000;20737;4366;-;164.9;0.2;255754240;3835551744;255754240;3836080128;46674917;1841195;30810;9120;0;2256896;7;7;/data/work/74/ab22f92257eb9dc2357a965e20ead8;-;-
8;cpu14;a8/b06a0c;nf-a8b06a0c6825f69b263eb367fd22d005;fastqc;JK2701_L7;fastqc (JK2701_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669829756297;1669829776000;1669829780000;23703;3432;-;156.7;0.2;269135872;3839766528;269209600;3895074816;36849775;1781284;11583;9011;0;2154496;5;6;/data/work/a8/b06a0c6825f69b263eb367fd22d005;-;-
88;node8;5b/7423a2;nf-5b7423a20409b30eb798488eff2e8bd7;adapter_removal;JK2804_L8;adapter_removal (JK2804_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669829756677;1669829778000;1669829779000;22323;550;-;53.6;0.0;3219456;5615616;3219456;5632000;701566;455590;158;50;0;462848;2;1;/data/work/5b/7423a20409b30eb798488eff2e8bd7;-;-
2;cpu05;ce/90bbfb;nf-ce90bbfb028f7743d1c2820547e838af;makeFastaIndex;Mammoth_MT_Krause.fasta;makeFastaIndex (Mammoth_MT_Krause.fasta);COMPLETED;0;-;nfcore/eager:2.4.6;1;600000;-;4294967296;1;1669829756268;1669829784000;1669829784000;27732;21;-;65.3;0.0;3276800;5615616;3276800;5632000;69523;232;127;13;0;4096;2;2;/data/work/ce/90bbfb028f7743d1c2820547e838af;-;-
