task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
8;cpu14;91/c3e173;nf-91c3e173ff3151d721425a9f4b1228f8;fastqc;JK2701_L7;fastqc (JK2701_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669869995037;1669870012000;1669870015000;19963;3638;-;170.5;0.2;279154688;3839766528;283172864;3839782912;36850548;1781282;11587;9011;0;2215936;5;3;/data/work/91/c3e173ff3151d721425a9f4b1228f8;-;-
83;node8;ca/065270;nf-ca065270337715a1925c4e55b5acc0d8;adapter_removal;JK2714_L8;adapter_removal (JK2714_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669869997409;1669870012000;1669870015000;17591;2640;-;154.8;0.1;166928384;8990535680;166928384;8993239040;30790431;13217039;166168;356348;0;4550656;91711;95;/data/work/ca/065270337715a1925c4e55b5acc0d8;-;-
91;node10;9e/469c87;nf-9e469c87658bc936495fde539c687a2f;adapter_removal;JK2722_L7;adapter_removal (JK2722_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669869997669;1669870016000;1669870020000;22331;3789;-;151.6;0.1;203730944;8990535680;203730944;8993239040;43582795;22875073;286333;622543;0;7823360;135891;127;/data/work/9e/469c87658bc936495fde539c687a2f;-;-
106;cpu05;3a/0d43b8;nf-3a0d43b80701512daa1339287d47d68a;adapter_removal;JK2737_L7;adapter_removal (JK2737_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669869998071;1669870009000;1669870017000;18929;6985;-;138.4;0.3;354234368;8990539776;354234368;8993239040;65064664;39188867;492793;1067181;0;13369344;270838;255;/data/work/3a/0d43b80701512daa1339287d47d68a;-;-
170;cpu05;9d/d7a24d;nf-9dd7a24da51ed332aa40f5095eeef842;adapter_removal;JK2764_L7;adapter_removal (JK2764_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669869998841;1669870006000;1669870018000;19159;10656;-;145.3;0.4;534470656;8990539776;534470656;8993239040;103732380;68552479;855035;1867522;0;23285760;458877;392;/data/work/9d/d7a24da51ed332aa40f5095eeef842;-;-
3;node8;1f/280c74;nf-1f280c74787ea5ff98db684ba6d6347f;makeSeqDict;Mammoth_MT_Krause.fasta;makeSeqDict (Mammoth_MT_Krause.fasta);COMPLETED;0;-;nfcore/eager:2.4.6;1;600000;-;8589934592;1;1669869994883;1669870015000;1669870017000;22117;1926;-;89.2;0.1;89190400;13433253888;89190400;13495173120;23343931;634624;7354;207;0;696320;14;0;/data/work/1f/280c74787ea5ff98db684ba6d6347f;-;-
42;cpu14;06/d2ce10;nf-06d2ce10b2d2225cfa9cd5513aed6e43;fastqc;JK2737_L7;fastqc (JK2737_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669869996105;1669870014000;1669870020000;23895;5368;-;156.1;0.2;288440320;3839766528;288440320;3839782912;52257299;1785692;41714;9034;0;2461696;5;6;/data/work/06/d2ce10b2d2225cfa9cd5513aed6e43;-;-
72;cpu05;b8/300ca6;nf-b8300ca682ab1602d9b74d3f1d2b3f41;fastqc;JK2764_L7;fastqc (JK2764_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669869996995;1669870011000;1669870019000;22005;7284;-;181.3;0.2;302264320;3839746048;302264320;3895074816;64864848;1791434;66383;9044;0;2342912;5;7;/data/work/b8/300ca682ab1602d9b74d3f1d2b3f41;-;-
75;node10;ed/cd3061;nf-edcd306161a9b75bd5eb9a9e2531845a;adapter_removal;JK2804_L8;adapter_removal (JK2804_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669869997179;1669870010000;1669870011000;13821;518;-;54.7;0.0;3272704;5615616;3272704;5632000;701779;455599;158;50;0;462848;2;0;/data/work/ed/cd306161a9b75bd5eb9a9e2531845a;-;-
84;cpu14;5d/99ac32;nf-5d99ac32be025f001cd90049c6584223;adapter_removal;JK2815_L7;adapter_removal (JK2815_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669869997439;1669870017000;1669870019000;21561;2440;-;152.3;0.0;77492224;8990535680;77492224;8993239040;29664051;12159088;164618;356187;0;4071424;91208;91;/data/work/5d/99ac32be025f001cd90049c6584223;-;-
