task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;node8;dd/ce96ee;nf-ddce96ee1a3411464ddb2c2b7473eabf;makeBWAIndex;Mammoth_MT_Krause.fasta;makeBWAIndex (Mammoth_MT_Krause.fasta);COMPLETED;0;-;nfcore/eager:2.4.6;1;600000;-;8589934592;1;1669818446091;1669818462000;1669818462000;15909;87;-;31.4;0.0;3182592;5615616;3182592;5632000;129159;47094;162;42;0;81920;4;0;/data/work/dd/ce96ee1a3411464ddb2c2b7473eabf;-;-
34;cpu14;c8/109f04;nf-c8109f04e399c8a0d6359251c7fe8318;fastqc;JK2729_L8;fastqc (JK2729_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669818447216;1669818464000;1669818468000;20784;4303;-;182.3;0.2;267108352;3835551744;268406784;3895074816;48031051;1836027;33438;9137;0;2228224;5;6;/data/work/c8/109f04e399c8a0d6359251c7fe8318;-;-
39;node10;3e/1d1d22;nf-3e1d1d22f01ae6a69250b7e3f0ce8be6;fastqc;JK2734_L7;fastqc (JK2734_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669818447341;1669818468000;1669818472000;24659;4359;-;175.1;0.2;274415616;3835551744;279240704;3895074816;50857291;1789204;38982;9045;0;2240512;5;6;/data/work/3e/1d1d22f01ae6a69250b7e3f0ce8be6;-;-
61;node8;5d/b436ff;nf-5db436ff80b984069c815d1cf4e195df;fastqc;JK2753_L8;fastqc (JK2753_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669818447961;1669818464000;1669818469000;21039;5278;-;153.4;0.2;280748032;3839766528;280915968;3895074816;59162521;1782628;55297;9048;0;2170880;5;3;/data/work/5d/b436ff80b984069c815d1cf4e195df;-;-
87;cpu05;89/6d808e;nf-896d808e5c777313663ee583e7646310;adapter_removal;JK2818_L7;adapter_removal (JK2818_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669818448850;1669818470000;1669818473000;24150;2994;-;155.7;0.1;153092096;8990535680;153092096;9057427456;33705187;15193391;201009;445213;0;5095424;72856;70;/data/work/89/6d808e5c777313663ee583e7646310;-;-
3;cpu05;ea/205d14;nf-ea205d1448baef04a5f29f9a41cf0327;makeSeqDict;Mammoth_MT_Krause.fasta;makeSeqDict (Mammoth_MT_Krause.fasta);COMPLETED;0;-;nfcore/eager:2.4.6;1;600000;-;8589934592;1;1669818446189;1669818472000;1669818474000;27811;1828;-;92.0;0.1;95207424;13435351040;95207424;13435383808;23344113;634633;7347;207;0;778240;14;1;/data/work/ea/205d1448baef04a5f29f9a41cf0327;-;-
14;cpu14;10/8141f8;nf-108141f857360c8fb7e92db6b0f51398;fastqc;JK2809_L7;fastqc (JK2809_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669818446474;1669818469000;1669818474000;27526;5368;-;169.8;0.2;283463680;3839766528;283553792;3895074816;38167726;1844104;14055;9131;0;2420736;5;4;/data/work/10/8141f857360c8fb7e92db6b0f51398;-;-
53;node8;3a/fbd76b;nf-3afbd76b700bb65f69adff70f62f2430;adapter_removal;JK2803_L7;adapter_removal (JK2803_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669818448483;1669818469000;1669818470000;21517;1031;-;171.0;0.0;3268608;5615616;3268608;5632000;17541505;3056824;43620;89090;0;1069056;6;0;/data/work/3a/fbd76b700bb65f69adff70f62f2430;-;-
81;node10;fa/35b3eb;nf-fa35b3ebaf005a0fc1a869e34b83f6c5;adapter_removal;JK2812_L7;adapter_removal (JK2812_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669818448665;1669818474000;1669818476000;27335;2008;-;161.8;0.1;86802432;8990535680;86802432;8993239040;25623202;9125268;123367;267155;0;3092480;18703;23;/data/work/fa/35b3ebaf005a0fc1a869e34b83f6c5;-;-
106;cpu14;33/e9efcc;nf-33e9efcca9184206c4085a21508983ae;adapter_removal;JK2737_L7;adapter_removal (JK2737_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669818449428;1669818469000;1669818475000;25572;6194;-;152.5;0.2;303484928;8990539776;303484928;8993239040;65064670;39188798;486666;1067179;0;13373440;224631;206;/data/work/33/e9efcca9184206c4085a21508983ae;-;-
