task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
7;cpu14;55/6644a0;nf-556644a010c6b9602c4199a18a2b9a09;indexinputbam;JK2706;indexinputbam (JK2706);COMPLETED;0;-;nfcore/eager:2.4.6;1;600000;-;4294967296;1;1669835827670;1669835852000;1669835853000;25330;52;-;64.0;0.0;11329536;19623936;11329536;19640320;765207;1786557;149;13;0;1789952;9;9;/data/work/55/6644a010c6b9602c4199a18a2b9a09;-;-
10;node8;1b/e536ab;nf-1be536ab277f1fb5ce820b64847a9476;fastqc;JK2803_L7;fastqc (JK2803_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669835827774;1669835847000;1669835850000;22226;3263;-;175.5;0.2;258248704;3835551744;258248704;3895074816;36802980;1780903;11372;9018;0;2220032;4;5;/data/work/1b/e536ab277f1fb5ce820b64847a9476;-;-
38;cpu05;e4/c707f1;nf-e4c707f12e41e366cdb77a27aced7e62;fastqc;JK2833_L7;fastqc (JK2833_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669835828692;1669835841000;1669835846000;17308;5280;-;176.3;0.2;287535104;3839766528;287612928;3895074816;48861621;1807402;34940;9075;0;2293760;4;3;/data/work/e4/c707f12e41e366cdb77a27aced7e62;-;-
56;cpu14;bf/f88f0d;nf-bff88f0d8a28df5632656651688c784c;fastqc;JK2848_L7;fastqc (JK2848_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669835829221;1669835845000;1669835850000;20779;5289;-;163.8;0.2;295940096;3839766528;295940096;3895074816;55550187;1797551;48003;9063;0;2277376;4;5;/data/work/bf/f88f0d8a28df5632656651688c784c;-;-
93;node10;8b/59e892;nf-8b59e8924e67772f639135eb9ad9c313;adapter_removal;JK2824_L7;adapter_removal (JK2824_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669835830503;1669835847000;1669835851000;20497;3748;-;153.9;0.1;208900096;8990535680;208900096;9057427456;41786999;21261289;291350;623277;0;7086080;138500;117;/data/work/8b/59e8924e67772f639135eb9ad9c313;-;-
113;cpu05;a6/bcc611;nf-a6bcc6119f8af8eaefcd44a2ac6a4a72;adapter_removal;JK2744_L8;adapter_removal (JK2744_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669835831139;1669835846000;1669835853000;21861;7324;-;150.4;0.3;356528128;8990539776;356528128;8993239040;74003483;46180716;572414;1247063;0;15699968;270792;242;/data/work/a6/bcc6119f8af8eaefcd44a2ac6a4a72;-;-
6;node8;17/73aa5c;nf-1773aa5cdf44702094e243149aef29f2;indexinputbam;JK2705;indexinputbam (JK2705);COMPLETED;0;-;nfcore/eager:2.4.6;1;600000;-;4294967296;1;1669835827629;1669835854000;1669835854000;26371;25;-;86.5;0.0;3297280;5615616;3297280;5632000;536962;300;142;13;0;4096;3;1;/data/work/17/73aa5cdf44702094e243149aef29f2;-;-
20;node10;fb/f78ae1;nf-fbf78ae1db2db5387164c123a691675d;fastqc;JK2815_L7;fastqc (JK2815_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669835828112;1669835849000;1669835853000;24888;4290;-;174.5;0.2;267853824;3835551744;268623872;3895074816;40845305;1849506;19282;9136;0;2433024;4;4;/data/work/fb/f78ae1db2db5387164c123a691675d;-;-
65;cpu14;6d/66437d;nf-6d66437dd310dd7e7a41a18bf80e2318;fastqc;JK2857_L7;fastqc (JK2857_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669835829510;1669835850000;1669835855000;25490;5276;-;157.0;0.2;280748032;3839766528;280748032;3839782912;59571712;1815072;55854;9085;0;2338816;4;2;/data/work/6d/66437dd310dd7e7a41a18bf80e2318;-;-
70;node8;a0/bd3f77;nf-a0bd3f77d52bdb7363a188a50ce87ad9;fastqc;JK2762_L8;fastqc (JK2762_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669835829663;1669835849000;1669835855000;25337;6278;-;185.3;0.2;282025984;3835551744;282025984;3895074816;63346088;1784672;63469;9053;0;2379776;4;4;/data/work/a0/bd3f77d52bdb7363a188a50ce87ad9;-;-
