task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
79;cpu05;b9/5f6fe9;nf-b95f6fe9c66704fd65539ccce83bbf43;adapter_removal;JK2710_L7;adapter_removal (JK2710_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669817726261;1669817742000;1669817745000;18739;2045;-;157.8;0.0;81408000;8990535680;81408000;8993239040;26397075;9823613;121849;266837;0;3383296;14042;21;/data/work/b9/5f6fe9c66704fd65539ccce83bbf43;-;-
83;cpu05;0a/7ecda2;nf-0a7ecda2ac7928c59507fd6f7460f994;adapter_removal;JK2714_L8;adapter_removal (JK2714_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669817726392;1669817742000;1669817745000;18608;2542;-;151.2;0.1;161234944;8990535680;161234944;9057427456;30790695;13217107;163708;356342;0;4530176;92273;88;/data/work/0a/7ecda2ac7928c59507fd6f7460f994;-;-
75;cpu05;7f/1df4c1;nf-7f1df4c1aaf5a56453d537eb2d61bf98;adapter_removal;JK2804_L8;adapter_removal (JK2804_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669817726140;1669817747000;1669817748000;21860;239;-;115.4;0.0;10141696;90521600;10141696;156909568;701782;455600;158;50;0;462848;65;0;/data/work/7f/1df4c1aaf5a56453d537eb2d61bf98;-;-
78;node8;cb/b7a114;nf-cbb7a114e4e0e14f4cbd10bc395cf8ba;adapter_removal;JK2809_L7;adapter_removal (JK2809_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669817726201;1669817735000;1669817736000;9799;1416;-;160.8;0.1;92311552;8990535680;92311552;8993239040;21581930;6091060;86117;178122;0;2060288;28415;29;/data/work/cb/b7a114e4e0e14f4cbd10bc395cf8ba;-;-
77;cpu14;af/335488;nf-af3354884a06aa7e99b54e92ea1e2200;adapter_removal;JK2708_L8;adapter_removal (JK2708_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669817726230;1669817735000;1669817736000;9770;1569;-;161.2;0.1;104353792;8990535680;104353792;8993239040;22147948;6623913;80495;178202;0;2289664;26741;30;/data/work/af/3354884a06aa7e99b54e92ea1e2200;-;-
81;cpu14;65/b53c26;nf-65b53c2667abfe9e1a42dd7a0bb364cb;adapter_removal;JK2812_L7;adapter_removal (JK2812_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669817726360;1669817740000;1669817742000;15640;1837;-;152.6;0.1;84344832;8990535680;84344832;8993239040;25623221;9125262;130560;267152;0;3076096;25751;36;/data/work/65/b53c2667abfe9e1a42dd7a0bb364cb;-;-
84;node10;3f/8091c7;nf-3f8091c73fc37dbaac5fbdbe48d2d930;adapter_removal;JK2815_L7;adapter_removal (JK2815_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669817726423;1669817743000;1669817746000;19577;2411;-;155.7;0.0;76918784;8990535680;76918784;9057427456;29664076;12159129;165489;356183;0;4096000;96242;81;/data/work/3f/8091c73fc37dbaac5fbdbe48d2d930;-;-
7;cpu14;fb/66fb83;nf-fb66fb831c091e1432c615c4ed34bc19;indexinputbam;JK2706;indexinputbam (JK2706);COMPLETED;0;-;nfcore/eager:2.4.6;1;600000;-;4294967296;1;1669817723869;1669817743000;1669817743000;19131;89;-;39.6;0.0;11436032;19623936;11436032;19640320;765207;1786557;149;13;0;1789952;9;3;/data/work/fb/66fb831c091e1432c615c4ed34bc19;-;-
48;cpu14;1f/46616b;nf-1f46616bf5559322c568334cd9c6a639;adapter_removal;JK2803_L7;adapter_removal (JK2803_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669817726111;1669817740000;1669817741000;14889;893;-;175.9;0.0;3244032;5615616;3244032;5632000;17541731;3056859;43165;89089;0;1069056;5;1;/data/work/1f/46616bf5559322c568334cd9c6a639;-;-
85;node8;08/9df45c;nf-089df45c6ccbee2dab7156cb26e9d70c;adapter_removal;JK2716_L7;adapter_removal (JK2716_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669817726453;1669817748000;1669817751000;24547;3028;-;157.5;0.1;162304000;8990535680;162304000;8993239040;34989676;16349418;210699;444691;0;5648384;79583;90;/data/work/08/9df45c6ccbee2dab7156cb26e9d70c;-;-
