task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
6;cpu14;10/8df898;nf-108df898372cb558aa837f4258970275;indexinputbam;JK2705;indexinputbam (JK2705);COMPLETED;0;-;nfcore/eager:2.4.6;1;600000;-;4294967296;1;1669876764763;1669876784000;1669876784000;19237;21;-;100.0;0.0;3268608;5615616;3268608;5632000;537197;310;142;13;0;4096;3;4;/data/work/10/8df898372cb558aa837f4258970275;-;-
119;node10;7c/0c9ca3;nf-7c0c9ca370d8ee5a264f56020120fb3b;adapter_removal;JK2750_L8;adapter_removal (JK2750_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669876768334;1669876780000;1669876788000;19666;8432;-;149.2;0.3;430690304;8990539776;430690304;8993239040;82645984;52773257;667434;1425198;0;17891328;336239;295;/data/work/7c/0c9ca370d8ee5a264f56020120fb3b;-;-
128;cpu05;d4/538636;nf-d453863684948d301bc27c20cb6ba08b;adapter_removal;JK2759_L8;adapter_removal (JK2759_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669876768638;1669876779000;1669876789000;20362;9648;-;149.0;0.3;474124288;8990539776;474124288;9057427456;95610406;62662191;773366;1692422;0;21282816;398124;404;/data/work/d4/53863684948d301bc27c20cb6ba08b;-;-
130;cpu05;42/507968;nf-4250796848e914b84f93ae1d9d4991c0;adapter_removal;JK2761_L7;adapter_removal (JK2761_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669876768666;1669876777000;1669876787000;18334;10215;-;147.2;0.4;554557440;8992403456;554557440;9057427456;99435420;65289698;817893;1778604;0;22216704;472205;439;/data/work/42/50796848e914b84f93ae1d9d4991c0;-;-
2;cpu05;4f/c8f6e4;nf-4fc8f6e48a49c784d24d951978e37a82;makeFastaIndex;Mammoth_MT_Krause.fasta;makeFastaIndex (Mammoth_MT_Krause.fasta);COMPLETED;0;-;nfcore/eager:2.4.6;1;600000;-;4294967296;1;1669876764677;1669876789000;1669876789000;24323;12;-;135.2;0.0;0;0;0;0;69526;233;127;13;0;4096;0;0;/data/work/4f/c8f6e48a49c784d24d951978e37a82;-;-
7;node8;4d/d3b8c9;nf-4dd3b8c9361ee5a303f08d891fd51596;indexinputbam;JK2706;indexinputbam (JK2706);COMPLETED;0;-;nfcore/eager:2.4.6;1;600000;-;4294967296;1;1669876764799;1669876795000;1669876795000;30201;88;-;31.0;0.0;11304960;19623936;11304960;19640320;764978;1786548;149;13;0;1789952;8;9;/data/work/4d/d3b8c9361ee5a303f08d891fd51596;-;-
91;cpu14;85/46da83;nf-8546da83e0be047925bd429429eaee96;adapter_removal;JK2722_L7;adapter_removal (JK2722_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669876767471;1669876787000;1669876791000;23529;3697;-;152.8;0.1;208904192;8990535680;208904192;8993239040;43582848;22875087;271021;622543;0;7843840;129803;126;/data/work/85/46da83e0be047925bd429429eaee96;-;-
94;cpu05;ca/d5dc67;nf-cad5dc67f2d5afb5d06214b5f949970a;adapter_removal;JK2725_L7;adapter_removal (JK2725_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669876767558;1669876781000;1669876786000;18442;4465;-;153.5;0.1;189427712;8990535680;189427712;8993239040;47879098;26137748;325890;711473;0;8941568;108575;105;/data/work/ca/d5dc67f2d5afb5d06214b5f949970a;-;-
106;cpu05;4e/bdcbc3;nf-4ebdcbc328ad04d5f9876e3c182f0762;adapter_removal;JK2737_L7;adapter_removal (JK2737_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669876767932;1669876784000;1669876790000;22068;6269;-;149.8;0.2;301907968;8990539776;301907968;9057427456;65064584;39188751;487469;1067185;0;13414400;233576;210;/data/work/4e/bdcbc328ad04d5f9876e3c182f0762;-;-
121;node10;4e/07404d;nf-4e07404de225851fc354ac237687a4ce;adapter_removal;JK2752_L7;adapter_removal (JK2752_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669876768397;1669876782000;1669876791000;22603;8764;-;149.8;0.3;424865792;8990539776;424865792;8993239040;86546344;55501659;685206;1511803;0;18931712;320569;290;/data/work/4e/07404de225851fc354ac237687a4ce;-;-
127;cpu14;65/0f5bd0;nf-650f5bd0772dcb33727cf2b68ad6b681;adapter_removal;JK2758_L7;adapter_removal (JK2758_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669876768577;1669876782000;1669876792000;23423;9763;-;146.6;0.3;461381632;8990539776;461381632;8993239040;95139791;62027250;760081;1689673;0;21135360;375924;337;/data/work/65/0f5bd0772dcb33727cf2b68ad6b681;-;-
132;node8;55/22084b;nf-5522084bade28da571668c7c316d41fb;adapter_removal;JK2863_L7;adapter_removal (JK2863_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669876768716;1669876788000;1669876798000;29284;9561;-;148.8;0.3;481955840;8990539776;481955840;9057427456;94318868;60701974;804910;1780689;0;20074496;402553;345;/data/work/55/22084bade28da571668c7c316d41fb;-;-
80;cpu05;f5/25026f;nf-f525026ff40d2c95da734f7fe48687b4;adapter_removal;JK2711_L8;adapter_removal (JK2711_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669876767117;1669876797000;1669876799000;31883;1977;-;160.1;0.1;85966848;8990535680;85966848;8993239040;26469318;9920428;125100;267276;0;3391488;19366;23;/data/work/f5/25026ff40d2c95da734f7fe48687b4;-;-
81;node10;ec/58ad40;nf-ec58ad402bee2ae2be5d2816f02a08f2;adapter_removal;JK2812_L7;adapter_removal (JK2812_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669876767175;1669876799000;1669876801000;33825;2014;-;162.3;0.0;82911232;8990535680;82911232;8993239040;25623204;9125277;119906;267153;0;3104768;15802;17;/data/work/ec/58ad402bee2ae2be5d2816f02a08f2;-;-
85;node10;fb/1bca68;nf-fb1bca68d406b4ba0cfcfac2c15faf49;adapter_removal;JK2716_L7;adapter_removal (JK2716_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669876767297;1669876793000;1669876796000;28703;2986;-;152.2;0.1;138067968;8990535680;138067968;9057427456;34989826;16349347;216519;444694;0;5648384;73230;75;/data/work/fb/1bca68d406b4ba0cfcfac2c15faf49;-;-
87;cpu14;b0/7b0660;nf-b07b06604d7b3cce969bb89109714b7a;adapter_removal;JK2818_L7;adapter_removal (JK2818_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669876767358;1669876790000;1669876793000;25642;2958;-;156.8;0.1;165220352;8990535680;165220352;8993239040;33705252;15193407;199613;445217;0;5136384;82518;78;/data/work/b0/7b06604d7b3cce969bb89109714b7a;-;-
115;cpu14;3a/350d85;nf-3a350d85f7150f73862b1fee0878ff74;adapter_removal;JK2746_L7;adapter_removal (JK2746_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669876768208;1669876782000;1669876790000;21792;7952;-;145.9;0.3;430350336;8990539776;430350336;9057427456;77953680;48976776;608458;1333963;0;16683008;340572;319;/data/work/3a/350d85f7150f73862b1fee0878ff74;-;-
122;node8;bf/1d05c7;nf-bf1d05c76f4888d7570e69a8ddd41068;adapter_removal;JK2753_L8;adapter_removal (JK2753_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669876768430;1669876790000;1669876799000;30570;8896;-;148.4;0.4;492240896;8990539776;492240896;8993239040;86967115;56069577;700941;1514280;0;19030016;391000;408;/data/work/bf/1d05c76f4888d7570e69a8ddd41068;-;-
