task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
117;node10;3e/535114;nf-3e5351146748c725f9c08782bf6923d9;adapter_removal;JK2848_L7;adapter_removal (JK2848_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669825972838;1669825987000;1669825995000;22162;7243;-;151.1;0.3;370049024;8990539776;370049024;8993239040;74114455;45532135;608955;1335530;0;15130624;307740;288;/data/work/3e/5351146748c725f9c08782bf6923d9;-;-
78;cpu05;47/11b172;nf-4711b17283310ccb4b8c0e161de19f91;adapter_removal;JK2809_L7;adapter_removal (JK2809_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669825971574;1669825993000;1669825995000;23426;1378;-;157.3;0.1;98234368;8990535680;98234368;8993239040;21582125;6091016;83279;178121;0;2060288;33446;33;/data/work/47/11b17283310ccb4b8c0e161de19f91;-;-
80;cpu05;77/02a9ce;nf-7702a9ce70b7a30d6c7bf47f3ac23174;adapter_removal;JK2711_L8;adapter_removal (JK2711_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669825971660;1669825991000;1669825993000;21340;1991;-;157.9;0.0;80547840;8990535680;80547840;8993239040;26469402;9920468;124239;267272;0;3391488;14747;23;/data/work/77/02a9ce70b7a30d6c7bf47f3ac23174;-;-
111;cpu14;6c/231c28;nf-6c231c2838568223363a813a302749ef;adapter_removal;JK2842_L7;adapter_removal (JK2842_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669825972637;1669825994000;1669826000000;27363;6307;-;153.5;0.2;313970688;8990539776;313970688;9057427456;66032637;39464576;525776;1157465;0;13086720;232236;214;/data/work/6c/231c2838568223363a813a302749ef;-;-
120;node8;d0/0a644c;nf-d00a644cc132c5fb212e553780e15ffa;adapter_removal;JK2851_L7;adapter_removal (JK2851_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669825972900;1669825982000;1669825990000;17100;7921;-;150.4;0.3;460226560;8990539776;460226560;8993239040;78155156;48566308;651643;1424558;0;16039936;367500;327;/data/work/d0/0a644cc132c5fb212e553780e15ffa;-;-
130;cpu14;5b/47c7aa;nf-5b47c7aa0438de7511d64b5e7ecfbf21;adapter_removal;JK2758_L7;adapter_removal (JK2758_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669825973110;1669825991000;1669826001000;27890;9822;-;147.6;0.3;473804800;8990539776;473804800;8993239040;95139635;62026947;759175;1689671;0;21118976;386032;329;/data/work/5b/47c7aa0438de7511d64b5e7ecfbf21;-;-
131;cpu05;d4/72731a;nf-d472731a31d44c07365121262b147890;adapter_removal;JK2759_L8;adapter_removal (JK2759_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669825973143;1669825986000;1669825995000;21857;9581;-;150.3;0.3;476495872;8990539776;476495872;9057427456;95609882;62662264;768496;1692422;0;21274624;394461;340;/data/work/d4/72731a31d44c07365121262b147890;-;-
137;node10;8f/af423d;nf-8faf423d71ad447c2e3a70312794c8a8;adapter_removal;JK2860_L7;adapter_removal (JK2860_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669825973173;1669825985000;1669825994000;20827;9027;-;150.0;0.4;497778688;8990539776;497778688;8993239040;90278219;57667718;765732;1691646;0;19070976;418826;323;/data/work/8f/af423d71ad447c2e3a70312794c8a8;-;-
149;node10;56/ce9471;nf-56ce94716c3012b69bd8477092267a60;adapter_removal;JK2762_L8;adapter_removal (JK2762_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669825973263;1669825982000;1669825993000;19737;10452;-;149.3;0.4;541982720;8990539776;541982720;8993239040;99931641;65958418;812950;1781499;0;22343680;445557;527;/data/work/56/ce94716c3012b69bd8477092267a60;-;-
159;node10;06/a87f17;nf-06a87f17673b16b70f41b43e65ced438;adapter_removal;JK2764_L7;adapter_removal (JK2764_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669825973292;1669825980000;1669825991000;17708;10746;-;146.8;0.4;519094272;8990539776;519094272;9057427456;103731742;68552514;848002;1867525;0;23293952;445336;386;/data/work/06/a87f17673b16b70f41b43e65ced438;-;-
150;node8;63/c617d4;nf-63c617d48ccdd817482a86678463d16e;adapter_removal;JK2863_L7;adapter_removal (JK2863_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669825973322;1669825985000;1669825995000;21678;9646;-;151.2;0.4;494866432;8992403456;494866432;8993239040;94318997;60702073;818773;1780688;0;20074496;407890;353;/data/work/63/c617d48ccdd817482a86678463d16e;-;-
162;node8;0f/90b2ac;nf-0f90b2ac00a07cc41e96024e0e031696;adapter_removal;JK2765_L8;adapter_removal (JK2765_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669825973352;1669825980000;1669825991000;17648;10662;-;147.7;0.4;524947456;8990539776;524947456;8993239040;104252573;69254602;865457;1870560;0;23449600;429797;412;/data/work/0f/90b2ac00a07cc41e96024e0e031696;-;-
7;node8;4e/c10fa0;nf-4ec10fa087bb51ca823e36f0887775a3;indexinputbam;JK2706;indexinputbam (JK2706);COMPLETED;0;-;nfcore/eager:2.4.6;1;600000;-;4294967296;1;1669825969182;1669826002000;1669826002000;32818;86;-;41.8;0.0;11309056;19623936;11309056;19640320;764977;1786548;149;13;0;1789952;9;4;/data/work/4e/c10fa087bb51ca823e36f0887775a3;-;-
81;node10;ea/a2d324;nf-eaa2d324b6443f5e25103624936d8e16;adapter_removal;JK2812_L7;adapter_removal (JK2812_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669825971692;1669825992000;1669825994000;22308;1943;-;161.5;0.1;87613440;8990535680;87613440;9057427456;25623193;9125269;131544;267155;0;3076096;14483;26;/data/work/ea/a2d324b6443f5e25103624936d8e16;-;-
