task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
78;node10;93/69690a;nf-9369690a95d4ff87ab5c2ab7f934e9f5;adapter_removal;JK2809_L7;adapter_removal (JK2809_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669895737788;1669895755000;1669895757000;19212;1607;-;162.7;0.1;92196864;8990535680;92196864;8993239040;21582126;6091036;81422;178121;0;2060288;18543;26;/data/work/93/69690a95d4ff87ab5c2ab7f934e9f5;-;-
84;cpu14;d2/20b5bb;nf-d220b5bb4899e8633265b0d56ddf1874;adapter_removal;JK2815_L7;adapter_removal (JK2815_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669895737997;1669895751000;1669895753000;15003;2371;-;158.6;0.0;78815232;8990535680;78815232;8993239040;29664077;12159105;157729;356187;0;4112384;89913;86;/data/work/d2/20b5bb4899e8633265b0d56ddf1874;-;-
6;node8;2b/fb0bc6;nf-2bfb0bc63f10e5b1eb9c17a4afb0b486;indexinputbam;JK2705;indexinputbam (JK2705);COMPLETED;0;-;nfcore/eager:2.4.6;1;600000;-;4294967296;1;1669895735401;1669895756000;1669895756000;20599;32;-;65.8;0.0;3182592;5615616;3182592;5632000;536968;300;142;13;0;4096;3;0;/data/work/2b/fb0bc63f10e5b1eb9c17a4afb0b486;-;-
37;cpu05;7b/5da5f6;nf-7b5da5f626e05a2ce57678c32ea0ad4a;adapter_removal;JK2701_L7;adapter_removal (JK2701_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669895737602;1669895749000;1669895750000;12398;946;-;174.8;0.0;3289088;5615616;3289088;5632000;17804653;3297508;45145;88986;0;1179648;5;0;/data/work/7b/5da5f626e05a2ce57678c32ea0ad4a;-;-
75;node10;75/fb2418;nf-75fb2418f5b2a136b274521db6918643;adapter_removal;JK2804_L8;adapter_removal (JK2804_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669895737665;1669895758000;1669895758000;20335;251;-;107.3;0.0;3211264;5615616;3211264;5632000;701779;455600;158;50;0;462848;5;1;/data/work/75/fb2418f5b2a136b274521db6918643;-;-
39;node8;60/a3ae6a;nf-60a3ae6a64def9acb799761b9419a3a8;adapter_removal;JK2803_L7;adapter_removal (JK2803_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669895737695;1669895753000;1669895754000;16305;1023;-;171.0;0.0;3293184;5615616;3293184;5632000;17541542;3056867;40457;89089;0;1069056;5;1;/data/work/60/a3ae6a64def9acb799761b9419a3a8;-;-
76;cpu14;50/276328;nf-5027632858a1a20d7b136864b0ba0d72;adapter_removal;JK2707_L7;adapter_removal (JK2707_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669895737754;1669895750000;1669895752000;14246;1549;-;168.2;0.1;96526336;8990535680;96526336;9057427456;22100695;6560837;83639;177913;0;2281472;25448;31;/data/work/50/27632858a1a20d7b136864b0ba0d72;-;-
79;node8;70/b79414;nf-70b79414e762eac6822e6455bf54788c;adapter_removal;JK2710_L7;adapter_removal (JK2710_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669895737818;1669895753000;1669895755000;17182;1940;-;151.4;0.0;81616896;8990535680;81616896;9057427456;26396888;9823671;125592;266843;0;3424256;17960;24;/data/work/70/b79414e762eac6822e6455bf54788c;-;-
81;cpu05;a0/655f90;nf-a0655f901458e711889b4060fafc7ee5;adapter_removal;JK2812_L7;adapter_removal (JK2812_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669895737875;1669895756000;1669895758000;20125;1997;-;158.0;0.1;86200320;8990535680;86200320;8993239040;25623210;9125285;124381;267151;0;3104768;16533;19;/data/work/a0/655f901458e711889b4060fafc7ee5;-;-
83;cpu05;a9/db3cee;nf-a9db3cee6d54287e02f04782194fb57a;adapter_removal;JK2714_L8;adapter_removal (JK2714_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669895737938;1669895753000;1669895756000;18062;2527;-;154.1;0.1;170733568;8990535680;170733568;8993239040;30790697;13217083;156541;356344;0;4538368;92086;87;/data/work/a9/db3cee6d54287e02f04782194fb57a;-;-
85;cpu05;28/cfba28;nf-28cfba28def4ace65a6200b330c6deab;adapter_removal;JK2716_L7;adapter_removal (JK2716_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669895737969;1669895751000;1669895754000;16031;3059;-;154.8;0.1;153993216;8990535680;153993216;9057427456;34989895;16349449;204085;444689;0;5640192;76562;82;/data/work/28/cfba28def4ace65a6200b330c6deab;-;-
88;cpu14;53/e2296c;nf-53e2296cf80041844b1cf87887c7a570;adapter_removal;JK2719_L7;adapter_removal (JK2719_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669895738121;1669895753000;1669895757000;18879;3359;-;148.4;0.1;216645632;8990535680;216645632;9057427456;39286457;19612324;245190;533616;0;6705152;145769;132;/data/work/53/e2296cf80041844b1cf87887c7a570;-;-
80;node10;a7/2a614e;nf-a72a614e20bf4d499960344d67642d0a;adapter_removal;JK2711_L8;adapter_removal (JK2711_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669895737848;1669895757000;1669895760000;22152;2040;-;155.1;0.0;82046976;8990535680;82046976;9057427456;26469410;9920503;125285;267272;0;3424256;14642;14;/data/work/a7/2a614e20bf4d499960344d67642d0a;-;-
77;node8;36/13c3f7;nf-3613c3f7fee3a181de09bddd315b335e;adapter_removal;JK2708_L8;adapter_removal (JK2708_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669895737725;1669895758000;1669895759000;21275;1369;-;155.4;0.1;95064064;8990535680;95064064;8993239040;22147753;6623918;88695;178202;0;2297856;34143;39;/data/work/36/13c3f7fee3a181de09bddd315b335e;-;-
93;cpu05;56/197846;nf-56197846f033c4306e52fae3b796212c;adapter_removal;JK2824_L7;adapter_removal (JK2824_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669895738246;1669895764000;1669895768000;29754;3709;-;156.1;0.1;207896576;8990535680;207896576;8993239040;41787125;21261451;275307;623272;0;7102464;128414;92;/data/work/56/197846f033c4306e52fae3b796212c;-;-
101;node8;43/177d11;nf-43177d11660c840690496adae420a0a1;adapter_removal;JK2732_L8;adapter_removal (JK2732_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669895738533;1669895758000;1669895764000;25467;5528;-;152.1;0.2;257040384;8990535680;257040384;9057427456;56718139;32995494;410036;890774;0;11268096;178509;171;/data/work/43/177d11660c840690496adae420a0a1;-;-
106;node10;cf/ea7956;nf-cfea795608dfe73d2736102acb21bad2;adapter_removal;JK2737_L7;adapter_removal (JK2737_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669895738681;1669895763000;1669895769000;30319;6268;-;150.8;0.2;306823168;8990539776;306823168;9057427456;65064654;39188868;490230;1067180;0;13316096;237900;226;/data/work/cf/ea795608dfe73d2736102acb21bad2;-;-
96;cpu14;0f/b39f84;nf-0fb39f843dad8ad39b9f68ca17720dcf;adapter_removal;JK2827_L7;adapter_removal (JK2827_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669895738341;1669895763000;1669895768000;29659;4011;-;155.7;0.1;199290880;8990535680;199290880;8993239040;45828005;24295214;324824;712308;0;8093696;121479;118;/data/work/0f/b39f843dad8ad39b9f68ca17720dcf;-;-
97;cpu05;38/73ee66;nf-3873ee66386d72b4fed0a4fc98f6a39e;adapter_removal;JK2728_L7;adapter_removal (JK2728_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669895738371;1669895759000;1669895764000;25629;4790;-;152.0;0.2;287297536;8990535680;287297536;8993239040;52175467;29400187;337935;800406;0;10043392;188048;165;/data/work/38/73ee66386d72b4fed0a4fc98f6a39e;-;-
117;cpu05;34/bd0407;nf-34bd040709876c1c5af7134585f085b8;adapter_removal;JK2848_L7;adapter_removal (JK2848_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669895738996;1669895767000;1669895774000;35004;7477;-;150.7;0.3;369098752;8990539776;369098752;9057427456;74114658;45532459;615894;1335537;0;15122432;300127;262;/data/work/34/bd040709876c1c5af7134585f085b8;-;-
