task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
77;cpu05;bd/4dbded;nf-bd4dbded9949de021fa4d9b80f82c928;adapter_removal;JK2708_L8;adapter_removal (JK2708_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669894245686;1669894257000;1669894258000;12314;1355;-;156.2;0.1;101343232;8990535680;101343232;9057427456;22147986;6623929;82963;178203;0;2289664;33347;37;/data/work/bd/4dbded9949de021fa4d9b80f82c928;-;-
75;node10;e5/06c232;nf-e506c23261b7f0a049dc8be5ea05527b;adapter_removal;JK2804_L8;adapter_removal (JK2804_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669894245620;1669894261000;1669894262000;16380;240;-;107.1;0.0;3260416;5615616;3260416;5632000;701779;455600;158;50;0;462848;5;1;/data/work/e5/06c23261b7f0a049dc8be5ea05527b;-;-
37;cpu14;38/b47691;nf-38b4769105f523f832b7147854fe3311;adapter_removal;JK2701_L7;adapter_removal (JK2701_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669894245533;1669894256000;1669894257000;11467;914;-;171.2;0.0;3244032;5615616;3244032;5632000;17804719;3297501;46394;88986;0;1183744;5;4;/data/work/38/b4769105f523f832b7147854fe3311;-;-
80;cpu05;c6/e13cf0;nf-c6e13cf04745297a3fc259403f19353a;adapter_removal;JK2711_L8;adapter_removal (JK2711_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669894245773;1669894262000;1669894264000;18227;2012;-;160.2;0.1;84795392;8990535680;84795392;9057427456;26469304;9920433;122831;267275;0;3399680;16574;23;/data/work/c6/e13cf04745297a3fc259403f19353a;-;-
84;node10;b4/52590f;nf-b452590f020876392ef6d94d22f58b2b;adapter_removal;JK2815_L7;adapter_removal (JK2815_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669894245884;1669894264000;1669894266000;20116;2269;-;153.7;0.0;70758400;8990535680;70758400;8993239040;29664110;12159136;174353;356187;0;4050944;14460;16;/data/work/b4/52590f020876392ef6d94d22f58b2b;-;-
110;node8;85/ca7015;nf-85ca70158d01fc592361c7833db72aec;adapter_removal;JK2741_L8;adapter_removal (JK2741_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669894246690;1669894265000;1669894272000;25310;6899;-;148.5;0.3;376553472;8990539776;376553472;9057427456;69682078;42884506;534930;1157993;0;14561280;294836;297;/data/work/85/ca70158d01fc592361c7833db72aec;-;-
1;cpu14;2a/7b38d1;nf-2a7b38d191bcb1b490b35795776d2fdc;makeBWAIndex;Mammoth_MT_Krause.fasta;makeBWAIndex (Mammoth_MT_Krause.fasta);COMPLETED;0;-;nfcore/eager:2.4.6;1;600000;-;8589934592;1;1669894243222;1669894268000;1669894268000;24778;94;-;38.8;0.0;5738496;10113024;5775360;10264576;129396;47103;162;42;0;81920;26;6;/data/work/2a/7b38d191bcb1b490b35795776d2fdc;-;-
82;cpu14;60/01e935;nf-6001e93562dc47e2b2b5956bfa4e7cfc;adapter_removal;JK2713_L7;adapter_removal (JK2713_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669894245832;1669894261000;1669894263000;17168;2478;-;150.1;0.1;162361344;8990535680;162361344;8993239040;30693530;13086526;169474;355764;0;4521984;92012;93;/data/work/60/01e93562dc47e2b2b5956bfa4e7cfc;-;-
87;cpu05;a9/6f6e88;nf-a96f6e88ae59ff6340e7f788ddb1a7de;adapter_removal;JK2818_L7;adapter_removal (JK2818_L7);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669894245945;1669894265000;1669894268000;22055;2861;-;156.9;0.1;171118592;8990535680;171118592;9057427456;33705178;15193407;199443;445219;0;5066752;92827;86;/data/work/a9/6f6e88ae59ff6340e7f788ddb1a7de;-;-
86;cpu14;3d/9a64c2;nf-3d9a64c29266fcf4e862ae0b04f090b6;adapter_removal;JK2717_L8;adapter_removal (JK2717_L8);COMPLETED;0;-;nfcore/eager:2.4.6;2;600000;-;4294967296;1;1669894245977;1669894263000;1669894266000;20023;2916;-;152.3;0.1;141185024;8990535680;141185024;8993239040;35112052;16513598;210355;445413;0;5701632;80500;67;/data/work/3d/9a64c29266fcf4e862ae0b04f090b6;-;-
